Hi.	Здрасти.
We talked on the telephone.	Говорихме по телефона.
We want a house of our own.	Искаме собствена къща.
We won't be able to escape.	Няма да можем да се измъкнем.
We'll work the problem out.	Ще решим проблема.
We'll work the problem out.	Ще решим въпроса.
We've got our own problems.	Ние си имаме наши собствени грижи.
We've resolved the problem.	Ние разрешихме проблема.
What are you interested in?	От какво се интересуваш?
What are you talking about?	Ама какви ги говориш?
What browser are you using?	Кой браузър използваш?
What's the temperature now?	Каква е температурата сега?
What's the temperature now?	Сега каква е температурата?
What's your favorite sport?	Кой е любимият ти спорт?
What's your last name, Tom?	Каква е твоята фамилия, Том?
What's your last name, Tom?	Каква е Вашата фамилия, Том?
Where have you been lately?	Къде си ходил напоследък?
Where have you been lately?	Къде се загуби напоследък?
Where is the ticket office?	Къде се намира билетната каса?
Where is the ticket office?	Къде е билетната каса?
Where's the nearest museum?	Къде е най-близкият музей?
Where's the ticket counter?	Къде е гишето за билети?
Which floor do you live on?	На кой етаж живееш?
Which judge heard the case?	Кой съдия гледа делото?
Who invented the telephone?	Кой е изобретил телефона?
Who's your favorite singer?	Кой е любимият ти певец?
Who's your favorite singer?	Кой е любимият Ви певец?
Why don't you wear a dress?	Защо не си сложиш рокля?
Why is your French so good?	Защо френският ти е толкова добър?
Why not take your coat off?	Защо не си свалите палтото?
Would you like some coffee?	Искате ли кафе?
Write it down here, please.	Запиши го тук, моля.
You can smoke in this room.	В тази стая е позволено да се пуши.
You can smoke in this room.	В тази стая е разрешено да се пуши.
You haven't changed at all.	Не си се променил изобщо.
You like French, don't you?	Френският ти харесва, нали?
You make me feel so guilty.	Караш ме да се чувствам толкова виновен.
You need a taxi, don't you?	Трябва ти такси, нали?
You need to get a real job.	Трябва да си намериш истинска работа.
You need to get a real job.	Трябва да си намерите истинска работа.
You should use a deodorant.	Трябва да използваш дезодорант.
You should use a deodorant.	Трябва да използвате дезодорант.
You speak French very well.	Ти говориш френски много добре.
You speak French very well.	Вие говорите френски много добре.
You won't be safe anywhere.	Никъде няма да бъдеш защитен.
You won't be safe anywhere.	Никъде няма да бъдеш защитена.
You won't get away with it.	Няма да ти се размине.
You've told me that before.	И преди си ми го казвал.
You've told me that before.	И преди си ми го казвала.
You've told me that before.	Казвал си ми това и друг път.
You've told me that before.	Казвала си ми това и друг път.
Your gums are in bad shape.	Венците Ви са в лошо състояние.
"Who helped you?" "Tom did."	"Кой ти помогна?" "Том"
A carrot is a healthy snack.	Морковът е здравословна лека закуска.
A new school is being built.	Строи се ново училище.
A nurse took my temperature.	Една медицинска сестра ми измери температурата.
A nurse took my temperature.	Една сестра ми премери температурата.
A terrible fate awaited him.	Ужасна съдба го очакваше.
Am I missing something here?	Да не би нещо да пропускам?
An elephant has a long nose.	Слонът има дълъг нос.
Apparently, the bus is late.	Очевидно автобусът закъснява.
Are you afraid of something?	Да не би нещо да те плаши?
Are you afraid of something?	Страх ли те е от нещо?
Are you afraid of something?	Да не те е страх от нещо?
Are you afraid of something?	Страх ли ви е от нещо?
Are you an exchange student?	Ти студент по обмен ли си?
Are you an exchange student?	Вие студент по обмен ли сте?
Are you coming to the party?	Вие ще дойдете ли на купона?
Are you coming to the party?	Ще дойде ли на купона?
Are you scared of something?	Страх ли те е от нещо?
Are you scared of something?	Страх ли ви е от нещо?
Are you trying to hit on me?	Да ме свалиш ли се опитваш?
Back away from the computer.	Дръпни се от компютъра.
Basho was the greatest poet.	Башо е най-великият поет.
Basho was the greatest poet.	Башо бил най-великият поет.
Basho was the greatest poet.	Башо беше най-великият поет.
Be more careful from now on.	От сега нататък бъди по-внимателен.
Be more careful from now on.	От сега нататък бъди по-внимателна.
Both children were punished.	И двете деца бяха наказани.
Butter is sold by the pound.	Маслото се продава на фунт.
Can the price be discounted?	Цената може ли да се сваля?
Canada is larger than Japan.	Канада е по-голяма от Япония.
Choose your favorite racket.	Избери си любимата ракета.
Christmas is soon, isn't it?	Коледа наближава, нали?
Could you do me a big favor?	Може ли да ми направиш една голяма услуга?
Could you sign here, please?	Може ли да подпишеш тук, ако обичаш?
Could you sign here, please?	Бихте ли се подписали тук, моля?
Could you solve the problem?	Можеш ли да разрешиш този проблем?
Could you solve the problem?	Можте ли да разрешите този проблем?
Could you solve the problem?	Можеш ли да решиш тази задача?
Could you solve the problem?	Можете ли да решите тази задача?
Could you take this, please?	Можеш ли да вземеш това, ако обичаш.
Did you get what I sent you?	Получи ли това, което ти изпратих?
Do whatever makes you happy.	Прави това, което те прави щастлив.
Do whatever makes you happy.	Правете това, което ви прави щастливи.
Do you find Mary attractive?	Намираш ли Мери за привлекателна?
Do you have shoes and socks?	Имаш ли обувки и чорапи?
Do you really not like them?	Наистина ли не ги харесваш?
Does Tom know where Mary is?	Том знае ли къде е Мери?
Does Tom live far from here?	Том далече от тук ли живее?
Does Tom really want to win?	Том действително ли иска да спечели?
Does Tom really want to win?	Том наистина ли иска да спечели?
Does Tom really want to win?	Том действително ли иска да победи?
Does Tom really want to win?	Том наистина ли иска да победи?
Don't believe what she says.	Не вярвай на това, което тя казва.
Don't expose it to the rain.	Не го излагайте на дъжд.
Don't expose it to the rain.	Не го излагай на дъжд.
Don't give me that sad look.	Не ме гледай така тъжно.
Don't make any dinner plans.	Не прави никакви планове за вечеря.
Don't make any sudden moves.	Не прави никакви внезапни движения.
Don't make any sudden moves.	Не правете никакви внезапни движения.
Don't push the wrong button.	Гледай да не натиснеш грешното копче.
Don't run across the street.	Не пресичайте улицата бежешком.
Don't rush me. I'm thinking.	Не ме пришпорвай. Мисля.
Don't send me notes anymore.	Повече не ми изпращай бележки.
Don't shoot. I'm coming out.	Не стреляй. Излизам.
Don't shoot. I'm coming out.	Не стреляйте. Излизам.
Don't talk in the classroom.	Не говори в класната стая.
Don't talk in the classroom.	Не говорете в класната стая.
Don't walk alone after dark.	Не ходи сам след мръкване.
Don't worry. You'll make it.	Не бой се, ще се справиш.
Everyone makes that mistake.	Всички правят тази грешка.
Excuse me, I have a request.	Извинете, аз имам една молба.
Excuse me, I have a request.	Извинете, имам молба.
Excuse me, how much is this?	Извинете, колко е това?
Fishing is not allowed here.	Риболовът тук не е разрешен.
Fresh fruit is good for you.	Свежите плодове са полезни за теб.
Further testing is required.	Изисква се да се направят още изпитания.
Good night and sweet dreams.	Лека нощ и сладки сънища.
Hardly anyone reads my blog.	Почти никой не ми чете блога.
Have there been any changes?	Има ли някакви промени?
Have you counted the towels?	Преброи ли кърпите?
Have you counted the towels?	Преброихте ли кърпите?
He could not breathe deeply.	Той не можеше да диша дълбоко.
He got engaged to my cousin.	Той се сгоди за братовчедка ми.
He is giving me a hard time.	Той ми създава големи трудности.
He is glad to hear the news.	Той се радва да чуе новината.
He is known as a great poet.	Той е известен като велик поет.
He is standing on the stage.	Той стои на сцената.
He jumped across the puddle.	Той прескочи локвата.
He kept silent all day long.	През целия ден той мълча.
He likes baseball very much.	Той много обича бейзбол.
He lost everything he owned.	Той изгуби всичко, което притежаваше.
He made fun of me in public.	Той ми се подигра публично.
He prefers French to German.	Той предпочита френския пред немския.
He seemed to have been rich.	Той изглеждаше сякаш някога е бил богат.
He won't make it to old age.	Той няма да доживее до старост.
He's able to speak Japanese.	Той може да говори японски.
He's asking you to help him.	Той те моли да му помогнеш.
He's asking you to help him.	Той ви моли да му помогнете.
Her dream is to visit Paris.	Мечтата ѝ е да посети Париж.
His hair was long last year.	Косата му беше дълга миналата година.
Hold your horses, young man.	Успокой малко нещата, млади човече.
How do I get to the airport?	Как да стигна до летището?
How far is it to the museum?	Колко е далече музеят?
How long have you been away?	Колко дълго те нямаше?
How long have you been away?	Колко дълго те е нямало?
How long have you been away?	Колко дълго ви е нямало?
How much money do I owe you?	Колко ти дължа?
How much money do I owe you?	Колко ви дължа?
How old is the Eiffel Tower?	Колко е стара Айфеловата кула?
I almost forgot my passport.	За малко да си забравя паспорта.
I am looking for my glasses.	Търся си очилата.
I am more handsome than you.	По-хубав съм от теб.
I am running short of money.	Свършват ми парите.
I bought it for ten dollars.	Купих го за 10 долара.
I can speak French a little.	Мога съвсем малко да говоря на френски.
I can speak a little French.	Аз знам малко френски.
I can't believe Tom is dead.	Не мога да повярвам, че Том е мъртъв.
I can't believe no one died.	Не мога да повярвам, че никой не е умрял.
I can't do anything for Tom.	Не мога да направя нищо за Том.
I can't go with you tonight.	Не мога да дойда с тебе тази вечер.
I can't stand his arrogance.	Не мога да понасям арогантността му.
I didn't hear the door open.	Не чух вратата да се отваря.
I don't believe that at all.	Това не го вярвам изобщо.
I don't care what you think.	Не ме интересува какво мислиш ти.
I don't know which is which.	Не знам кой кой е.
I don't know which is which.	Не знам кое какво е.
I don't speak French at all.	Аз изобщо не говоря френски.
I don't speak French at all.	Изобщо не говоря френски.
I don't think he is sincere.	Не мисля, че е искрен.
I don't want to be involved.	Не искам да бъда въвлечен.
I don't want to study today.	Не искам да уча днес.
I don't want to study today.	Аз не искам да уча днес.
I feel ill at ease with her.	С нея се чувствам неловко.
I forgot to lock the drawer.	Забравих да заключа шкафчето.
I forgot to lock the drawer.	Забравих да заключа чекмеджето.
I have difficulty in French.	Имам затруднения с френския.
I have finished my homework.	Написах си домашното.
I have no idea how it works.	Идея нямам как става.
I have no idea how it works.	Нямам идея как работи това.
I have no idea how it works.	Нямам идея как работи.
I have no idea what that is.	Нямам идея какво е това.
I have no idea where Tom is.	Нямам представа къде е Том.
I have no idea where we are.	Нямам никаква представа къде се намираме.
I have no problem with that.	Нямам проблем с това.
I have no time for visitors.	Нямам време за посетители.
I have one question for you.	Имам един въпрос към теб.
I have plans Saturday night.	Имам планове за събота вечерта.
I have preparations to make.	Трябва да се подготвя.
I have some good ideas, too.	Аз също имам някои добри идеи.
I have some paperwork to do.	Имам да свърша тука с едни документи.
I have to admit I'm curious.	Трябва да си призная, че съм любопитен.
I have to admit I'm curious.	Трябва да си призная, че ми е любопитно.
I have to admit I'm curious.	Трябва да си призная, че съм любопитна.
I have to decide what to do.	Трябва да реша какво да правя.
I have to deny that request.	Ще трябва да откажа тази молба.
I have to deny that request.	Трябва да откажа на тази молба.
I have to do the same thing.	Аз трябва да направя същото.
I have to do this by myself.	Това трябва да го направя сам.
I have to do this by myself.	Това трябва да го направя сама.
I have to get on that train.	Трябва да се кача на онзи влак.
I have to give Tom a chance.	Трябва да дам шанс на Том.
I have to go back to Boston.	Трябва да се върна в Бостън.
I have to go back to Boston.	Трябва да се върна до Босътн.
I have to say goodnight now.	Сега ще трябва да ви пожелая "лека нощ".
I have to say goodnight now.	Сега ще трябва да ти кажа "лека нощ".
I have to take off my socks.	Трябва да си събуя чорапите.
I have to wait here for Tom.	Трябва да чакам Том тук.
I haven't said anything yet.	Още нищо не съм казал.
I haven't said anything yet.	Още нищо не съм казала.
I haven't seen Tom in years.	Не съм виждал Том от години.
I haven't seen Tom in years.	Не съм виждала Том от години.
I haven't seen you in weeks.	Не съм те виждал няколко седмици.
I haven't seen you in weeks.	Не съм те виждала няколко седмици.
I haven't seen you in weeks.	Не съм Ви виждал няколко седмици.
I haven't seen you in weeks.	Не съм Ви виждала няколко седмици.
I haven't seen you in years.	Не съм те виждал от години.
I haven't seen you in years.	Не съм те виждала от години.
I haven't seen you in years.	Не съм Ви виждал от години.
I haven't seen you in years.	Не съм Ви виждала от години.
I haven't slept well lately.	Напоследък не спя добре.
I haven't spoken to Tom yet.	Още не съм говорил с Том.
I haven't spoken to Tom yet.	Още не съм говорила с Том.
I heard about what happened.	Чух какво се е случило.
I heard every word you said.	Аз чух всяка дума, която каза.
I heard every word you said.	Чух всяка дума, която ти каза.
I heard what Tom had to say.	Изслушах каквото Том имаше да казва.
I heard you last night, Tom.	Чух те миналата нощ, Том.
I know everything about you.	Знам всичко за теб.
I live in this neighborhood.	Аз живея в този квартал.
I met your father yesterday.	Вчера срещнах баща ти.
I met your father yesterday.	Срещнах баща ви вчера.
I opened a checking account.	Направих си чекова сметка.
I opened a checking account.	Отворих си чекова сметка.
I prefer to write in French.	Предпочитам да пиша на френски.
I put my coat on inside out.	Облякох си сакото наопаки.
I ran into a little trouble.	Имам малко неприятности.
I really appreciate it, Tom.	Наистина го оценявам, Том.
I remember locking the door.	Помня, че заключих вратата.
I remember locking the door.	Спомням си, че бях заключил вратата.
I saw Tom a few minutes ago.	Видях Том преди няколко минути.
I should've listened to you.	Трябваше да те послушам.
I should've listened to you.	Трябваше да ви послушам.
I solved the problem easily.	Реших задачата с лекота.
I solved the problem easily.	Лесно разреших проблема.
I think Tom injured himself.	Мисля, че Том се нарани.
I think Tom is going to die.	Мисля, че Том ще умре.
I think Tom is here already.	Мисля, че Том вече е тук.
I think Tom is taking a nap.	Мисля, че Том си почива.
I think Tom looks like John.	Мисля, че Том прилича на Джон.
I think Tom went to Harvard.	Мисля, че Том отиде в Харвард.
I think Tom's leg is broken.	Мисля, че кракът на Том е счупен.
I think Tom's leg is broken.	Мисля, че на Том кракът му е счупен.
I think that was very funny.	Мисля, че това беше много смешно.
I think that's a great idea.	Мисля, че това е страхотна идея.
I think we have enough food.	Мисля, че имаме достатъчно храна.
I think we have enough time.	Мисля, че имаме достатъчно време.
I think we should celebrate.	Мисля, че трябва да празнуваме.
I think we're out of danger.	Мисля, че сме извън опасност.
I think you need a vacation.	Мисля, че ти трябва една ваканция.
I think you need some sleep.	Мисля, че имаш нужда от сън.
I think you need some sleep.	Мисля, че трябва да поспиш.
I think you ought to listen.	Мисля, че ти трябва да слушаш.
I think you ought to listen.	Мисля, че трябва да слушаш.
I think you should buy this.	Мисля, че трябва да купиш това.
I think you should buy this.	Мисля, че трябва да го купиш.
I think you should buy this.	Мисля, че трябва да я купиш.
I think you should call Tom.	Мисля, че трябва да извикаш Том.
I think you should call Tom.	Мисля, че трябва да извикате Том.
I think you should meet Tom.	Мисля, че трябва да се срещнеш с Том.
I think you should meet Tom.	Мисля, че трябва да се срещнете с Том.
I think you should pick Tom.	Мисля, че трябва да избереш Том.
I think you should pick Tom.	Мисля, че трябва да изберете Том.
I think you should see this.	Мисля, че трябва да видиш това.
I think you should sit down.	Мисля, че трябва да седнеш.
I think you'd like it there.	Мисля, че ще ти хареса там.
I think you'd like it there.	Мисля, че ще ви хареса там.
I think you'd like it there.	Мисля, че там ще ви хареса.
I think you'd like it there.	Мисля, че там ще ти хареса.
I think you'd remember that.	Мисля, че това ще го запомниш.
I think you'd remember that.	Мисля, че ще запомниш това.
I think you'll be impressed.	Мисля, че ще бъдеш впечатлен.
I think you'll be impressed.	Мисля, че ще бъдеш впечатлена.
I think you're overreacting.	Мисля, че прекаляваш.
I think you're overreacting.	Мисля, че прекалявате.
I think you're the greatest.	Мисля, че ти си най-великият.
I think you're the greatest.	Мисля, че ти си най-великата.
I think you're the greatest.	Мисля, че си най-великият.
I think you're the greatest.	Мисля, че си най-великата.
I thought I could trust Tom.	Мислех, че мога да имам доверие на Том.
I thought I heard something.	Стори ми се, че чух нещо.
I thought Tom had a day off.	Мислех, че Том има почивен ден.
I thought Tom might be sick.	Помислих си, че Том може да е болен.
I thought Tom might do that.	Помислих си, че Том може да го направи.
I thought something was odd.	Помислих си, че има нещо странно.
I thought the game was over.	Помислих, че играта е свършила.
I told Tom I wouldn't do it.	Казах на Том, че аз не бих го направил.
I told Tom I wouldn't do it.	Казах на Том, че аз не бих го направила.
I told Tom not to come back.	Казах на Том да не се връща.
I went to a Halloween party.	Отидох на Хелоуин парти.
I wish I could speak French.	Ще ми се да можех да говоря френски.
I won't be able to help you.	Няма да мога да ти помогна.
I won't be back for a while.	Няма да ме има известно време.
I won't hold it against you.	Няма да ти се сърдя за това.
I won't work overtime today.	Днес няма да работя допълнително.
I wonder what became of Tom.	Чудя се какво ли е станало с Том.
I'd better get back to work.	По-добре да се захващам за работа.
I'd like a room in the back.	Искам една стая от задната страна.
I'd like to open an account.	Искам да си открия сметка.
I'd like to open an account.	Бих искал да си открия сметка.
I'd like to open an account.	Бих искала да си открия сметка.
I'll be back within an hour.	Ще се върна до един час.
I'll pay you back next week.	Ще ти върна парите следващата седмица.
I'll take two of everything.	Ще взема по две от всяка.
I'll tell you the truth now.	Сега ще ти кажа истината.
I'm certain that he'll come.	Сигурен съм, че той ще дойде.
I'm glad it makes you happy.	Радвам се, че това те прави щастлив.
I'm glad it makes you happy.	Радвам се, че това те прави щастлива.
I'm just looking, thank you.	Само разглеждам, благодаря.
I'm just looking, thank you.	Аз само гледам, мерси.
I'm not as talkative as you.	Не съм толкова приказлив като теб.
I'm not being paid for this.	Не ми плащат за това.
I'm studying French at home.	Уча френски вкъщи.
I'm sure Tom didn't mean it.	Сигурен съм, че Том не искаше да каже това.
I'm sure that he'll succeed.	Сигурен съм че ще успее.
I've already read this book.	Вече съм чел тази книга.
I've already read this book.	Вече съм чела тази книга.
I've caught a terrible cold.	Хванах ужасна настинка.
I've climbed Mt. Fuji twice.	Изкачвал съм връх Фуджи два пъти.
I've never climbed Mt. Fuji.	Никога не съм се качвал на връх Фуджи.
I've never seen that before.	Такова нещо досега не съм виждал.
I've never seen that before.	Това никога не съм го виждал.
I've never seen this before.	Това никога преди не съм го виждал.
I've never seen this before.	Това никога преди не съм го виждала.
I've thought a lot about it.	Много мислих за това.
I've told Tom all about you.	Разказах на Том всичко за тебе.
I've tried to be reasonable.	Опитах се да се държа човешки.
Is that what Tom would want?	Това ли би искал Том?
Is your mother still living?	Майка ти още ли е жива?
Is your mother still living?	Майка Ви още ли е жива?
Is your mother still living?	Майка ви още ли е жива?
It is an endangered species.	Това е застрашен вид.
It is an endangered species.	Този вид е застрашен.
It looks like Tom is sleepy.	Изглежда на Том му се спи.
It looks like no one's home.	Изглежда вкъщи няма никой.
It looks like no one's home.	Изглежда вкъщи няма никого.
It was very cold that night.	Беше много студено онази вечер.
It'll cost about 10,000 yen.	Ще струва около 10000 йени.
It'll soon be three o'clock.	Скоро ще бъде три часът.
It's about time I was going.	Време е вече да тръгвам.
It's nothing to worry about.	Няма за какво да се тревожиш.
Let me introduce you to Tom.	Нека те запозная с Том.
Let me introduce you to Tom.	Нека те представя на Том.
Let's go tomorrow afternoon.	Да отидем утре следобед.
Let's go tomorrow afternoon.	Хайде да отидем утре следобяда.
Let's grab something to eat.	Да си вземем нещо за хапване.
Let's grab something to eat.	Да си вземем нещо за ядене.
Let's not waste this chance.	Да не изпускаме този случай.
Let's not waste this chance.	Да не изпускаме този шанс.
Let's talk shop for a while.	Да поговорим малко за работа.
Lincoln set the slaves free.	Линкълн освободил робите.
Mary helped her mother cook.	Мери помогна на майка си да сготви.
Mary helped her mother cook.	Мери помагаше на майка си да готви.
Mary is young and beautiful.	Мария е млада и красива.
May I have your room number?	Може ли да ми кажете номера на Вашата стая?
May I speak to you a minute?	Може ли да говоря с теб за минутка?
Maybe I should study French.	Може би трябва да уча френски.
Mom is getting dinner ready.	Мама приготвя вечерята.
Money doesn't buy happiness.	Парите не купуват щастие.
Most people think I'm crazy.	Повечето хора ме мислят за луд.
My father runs a restaurant.	Баща ми има ресторант.
My father runs a restaurant.	Баща ми управлява ресторант.
My grades are above average.	Оценките ми са над средното ниво.
My heart wasn't in the work.	Работата не ме влечеше.
My house is near the school.	Къщата ми е близо до училището.
My mother has four brothers.	Майка ми има четирима братя.
My sister has a sweet tooth.	Сестра ми обича да яде сладко.
My uncle gave him a present.	Чичо ми му даде подарък.
My uncle gave me this watch.	Чичо ми ми даде този часовник.
My uncle gave me this watch.	Моят чичо ми даде този часовник.
My uncle gave me this watch.	Вуйчо ми ми даде този часовник.
My uncle gave me this watch.	Моят вуйчо ми даде този часовник.
Nobody else offered to help.	Никой друг не предложи да помогне.
Nobody had ever heard of it.	Никой никога не беше чувал за това.
Nothing has been proven yet.	Още нищо не е доказано.
Our best friend is a doctor.	Нашият най-добър приятел е лекар.
People should do their best.	Хората трябва да дават всичко от себе си.
Please put on your slippers.	Сложи си чехлите.
Please say it one more time.	Повторете още веднъж, ако обичате.
Please say it one more time.	Моля те, повтори го още веднъж.
Please send them my regards.	Предайте им, ако обичате, моите поздрави.
Put the car into the garage.	Прибери колата в гаража.
See what's going on outside.	Погледни какво става навън.
She decided on a blue dress.	Тя реши да вземе синя рокля.
She declined the invitation.	Тя отказа поканата.
She disappeared in the dark.	Тя изчезна в тъмнината.
She found a job as a typist.	Тя намери работа като машинописка.
She gave away all her dolls.	Тя раздаде всичките си кукли.
She gave me these old coins.	Тя ми даде тези стари монети.
She is gentle with children.	Тя е внимателна с децата.
She made fun of her husband.	Тя се подиграваше на съпруга си.
She made fun of her husband.	Тя се присмиваше на съпруга си.
She slapped him in the face.	Тя го шамароса.
Soldiers are used to danger.	Войниците са свикнали с опасностите.
Somebody has to go for help.	Някой трябва да отиде за помощ.
Speaking English isn't easy.	Да се говори на английски не е лесно.
Stand still and keep silent.	Не мърдай и не говори.
Stir the paint with a stick.	Разбъркайте боята с пръчка.
Stir the paint with a stick.	Разбъркай боята с пръчка.
Take off your socks, please.	Събуй си чорапите, ако обичаш.
Take off your socks, please.	Събуйте си чорапите, ако обичате.
Ten houses were burned down.	Десет къщи изгоряха.
Thanks for your explanation.	Благодаря ти за обяснението.
That doesn't change a thing.	Това не променя нищо.
That must've been something.	Трябва да е било нещо страхотно.
That shouldn't be a problem.	Това не би трябвало да е проблем.
That store sells men's wear.	В този магазин се продават мъжки дрехи.
That's a beautiful painting.	Тази картина е прекрасна.
That's a beautiful painting.	Тази рисунка е прекрасна.
That's a photo of my sister.	Това е снимка на сестра ми.
That's a photo of my sister.	Тук е снимана сестра ми.
That's a pretty big problem.	Това е доста голям проблем.
That's a really stupid idea.	Това е една наистина тъпа идея.
That's how I solve problems.	Ето как решавам проблемите аз.
That's not a problem at all.	Това не е никакъв проблем.
That's what I'm looking for.	Това е, което търся.
The Japanese have dark eyes.	Японците имат черни очи.
The boy got his hands dirty.	Момчето си изцапа ръцете.
The girls danced in the gym.	Момичетата танцуваха в салона.
The next flight is at 10:00.	Най-близкия полет е в 10:00.
The prisoners were set free.	Затворниците бяха освободени.
The room is fully furnished.	Стаята е изцяло обзаведена.
The television doesn't work.	Телевизорът не работи.
There's a problem with that.	Има проблем с това.
There's no problem with Tom.	С Том няма проблеми.
These oranges have gone bad.	Тези портокали са развалени.
They appointed Tom chairman.	Назначиха Том за председател.
They have to pay in advance.	Трябва да платят предварително.
They have to pay in advance.	Те трябва да платят предварително.
They made us work all night.	Накараха ни да работим цяла нощ.
This book has many pictures.	Тази книга има много илюстрации.
This would embarrass anyone.	Това би засрамило всеки.
This would embarrass anyone.	Това би засрамило всекиго.
Those clothes suit you well.	Онези дрехи ти стоят добре.
Those clothes suit you well.	Онези дрехи Ви стоят добре.
Tom almost never watches TV.	Том почти никога не гледа телевизия.
Tom buttoned up his uniform.	Том си закопча униформата.
Tom didn't see Mary anymore.	Том повече не видя Мери.
Tom doesn't like this color.	На Том този цвят не му харесва.
Tom fried himself some eggs.	Том си изпържи яйца.
Tom gave a speech in French.	Том произнесе реч на френски.
Tom has never met me before.	Том не се е срещал с мене преди.
Tom is able to speak French.	Том може да говори френски.
Tom is also studying French.	Том също учи френски.
Tom is hiding in the closet.	Том се крие в гардероба.
Tom is proficient in French.	Том владее френски.
Tom is shorter than average.	Том е по-нисък от средния ръст.
Tom laughed at Mary's jokes.	Том се смееше на шегите на Мери.
Tom laughed at Mary's jokes.	Том се смя на шегите на Мери.
Tom really doesn't like you.	Том наистина не те харесва.
Tom refused to speak French.	Том отказа да говори на френски.
Tom speaks French perfectly.	Том говори френски перфектно.
Tom speaks French very well.	Том говори френски много добре.
Tom speaks very good French.	Френският на Том е много добър.
Tom tossed the keys to Mary.	Том метна ключовете на Мери.
Tom unlocked the front gate.	Том отключи входната порта.
Tom used to bake us cookies.	Том ни правеше сладки.
Tom used to be our handyman.	Том ни беше момче за всичко.
Tom walked into Mary's room.	Том влезе в стаята на Мери.
Tom walked over to the desk.	Том отиде до бюрото.
Tom woke up with a headache.	Том се събуди с главоболие.
Tom won't be here that long.	Том няма да се задържи тук толкова.
Tom wouldn't be that stupid.	Том не би бил толкова глупав.
We agreed on an early start.	Разбрахме се да започнем рано.
We enjoyed playing baseball.	На нас ни беше приятно да играем бейзбол.
We found out where he lives.	Открихме къде живее той.
We really enjoyed ourselves.	Ние наистина се забавлявахме.
We really enjoyed ourselves.	Наистина се забавлявахме.
We were getting discouraged.	Ние се обезкуражавахме.
We were the first to arrive.	Ние пристигнахме първи.
We will start when he comes.	Ще започнем когато той дойде.
We won't be here after 2:30.	Няма да сме тук след 2:30.
We're married to each other.	Женени сме един за друг.
We're married to each other.	Ние сме женени един за друг.
We're running short of food.	Свършваме храната.
We're running short of food.	Храната ни свършва.
We're running short of food.	Храната ни е на свършване.
We've arrived a little late.	Пристигнахме малко късно.
We've got a problem up here.	Тук горе имаме проблем.
We've got something for you.	Имаме нещо за тебе.
We've got something for you.	Ние имаме нещо за теб.
What are your weekend plans?	Какви са ви плановете за уикенда?
What did Tom bring with him?	Какво донесе Том със себе си?
What did you do this summer?	Какво прави това лято?
When does Tom eat breakfast?	Том кога закусва?
When will we see each other?	Кога ще се видим?
Where are your credit cards?	Къде са ти кредитните карти?
Where are your credit cards?	Къде са ви кредитните карти?
Where in Turkey do you live?	Къде в Турция живееш?
Which club do you belong to?	В кой клуб членуваш?
Which club do you belong to?	В кой клуб членувате?
Who else was at Tom's party?	Кой друг беше на партито на Том?
Who is your favorite singer?	Кой е любимият ти певец?
Why did you come this early?	Защо дойде толкова рано?
Why did you come this early?	Защо си дошла толкова рано?
Why did you come this early?	Защо си дошъл толкова рано?
Why did you come this early?	Защо дойдохте толкова рано?
Why did you come this early?	Защо сте дошли толкова рано?
Why doesn't Tom like Boston?	Защо на Том не му харесва Бостън?
Would you like another beer?	Искаш ли още една бира?
You can't cling to the past.	Не може да лежиш на стари лаври.
You don't play golf, do you?	Ти не играеш голф, нали?
You don't play golf, do you?	Вие не играете голф, нали?
You go to school, don't you?	Ходиш на училище, нали?
You must stick to your diet.	Трябва да спазваш диетата си.
You study French, don't you?	Ти учиш френски, нали?
You study French, don't you?	Вие учите френски, нали?
Your coat is very beautiful.	Твоето палто е много хубаво.
Your coat is very beautiful.	Палтото ти е много хубаво.
Your coat is very beautiful.	Вашето палто е много хубаво.
Your coat is very beautiful.	Палтото Ви е много хубаво.
Your education is important.	Вашето образование е важно.
Your name is familiar to me.	Името ти ми е познато.
Your name is familiar to me.	Името Ви ми е познато.
A beautiful sunset, isn't it?	Красив залез, нали?
A dog is a man's best friend.	Кучето е най-добрият приятел на човека.
All I want is some breakfast.	Просто искам да закуся.
All I want is some free time.	Всичко, което искам, е само малко свободно време.
All I want to do is sit here.	Просто искам да си седя тук.
All I'm saying is be careful.	Просто ти казвам да внимаваш.
Almost everyone participated.	Участваха почти всички.
Almost everyone participated.	Почти всички участваха.
Are you able to speak French?	Можеш ли да говориш френски?
Are you able to speak French?	Можете ли да говорите френски?
Are you busy doing something?	Да не си зает с нещо?
Are you enjoying the evening?	Харесва ли ти вечерта?
Are you enjoying the evening?	Наслаждаваш ли се на вечерта?
Are you enjoying the evening?	Добре ли си прекарваш тази вечер?
Are you playing with my feet?	С краката ми ли си играеш?
Aren't you enjoying yourself?	Не се ли забавляваш?
Aren't you enjoying yourself?	Не ти ли е забавно?
Aren't you enjoying yourself?	Не се ли забавлявате?
Aren't you enjoying yourself?	Не ви ли е забавно?
Ask me what you want to know.	Питай ме каквото искаш да знаеш.
Both of them have three kids.	И двамата имат по три деца.
Can anyone here speak French?	Някой тук говори ли френски?
Can you open the door for me?	Може ли да ми отвориш вратата?
Can you tell the twins apart?	Можеш ли да различаваш близнаците?
Did they go to museum by bus?	С автобус ли ходиха до музея?
Did they go to museum by bus?	С автобус ли отидоха до музея?
