Run!	Loop!
He is eager to meet her again.	He will ehr geern wedder drapen.
He is taller than his brother.	He is grötter as sien Broder.
He painted a picture of a dog.	He deed en Bild von en Hund malen.
He was all alone in the house.	He weer ganz alleen in ’t Huus.
He whispered something to her.	He tuuster ehr wat to.
Her speech moved the audience.	Ehr Reed hett de Tokiekers anraakt.
How is your last name written?	Wo warrt dien Tonaam schreven?
How much did the glasses cost?	Woveel hett de Brill köst?
I always go to school on foot.	Ik gah jümmer to Foot na School.
I don't believe it any longer.	Ik glööv dat nich mehr.
I don't have a younger sister.	Ik heff keen jüngere Süster.
I don't have time for reading.	Ik heff keen Tied to lesen.
I have neither time nor money.	Ik heff keen Tied un ook keen Geld.
I have never climbed Mt. Fuji.	Ik bün nienich op ’n Barg Fuji ropstegen.
I knew this moment would come.	Ik wüss, dat disse Momang kummt.
I need some help with my work.	Ik bruuk en beten Hülp bi mien Arbeid.
I planted roses in the garden.	Ik heff in ’n Goorn Rosen plant.
I saw them walking arm in arm.	Ik heff jem Arm in Arm lopen sehn.
I usually drink a lot of milk.	Ik drink normalerwies veel Melk.
I will show you some pictures.	Ik wies di en poor Biller.
I write in my diary every day.	Ik schriev jeden Dag in mien Dagbook.
I wrote down her phone number.	Ik heff ehr Telefoonnummer opschreven.
I wrote this letter in French.	Ik heff dissen Breev op Franzöösch schreven.
I'll drive you to the airport.	Ik föhr di na ’n Flegerhaven.
I'm taking a shower right now.	Ik duusch mi jüst.
Is your brother's name Alexei?	Heet dien Broder Aleksej?
Isn't there a pharmacy nearby?	Gifft dat hier ümto keen Avtheek?
It's a little late for prayer.	Dat is en beten to laat för Beden.
It's not the end of the world.	Dor geiht de Welt nich von ünner.
Japan consumes a lot of paper.	Japan bruukt veel Poppeer.
Let's take a break for coffee.	Laat uns en Kaffepaus maken.
Many students bought the book.	Veel Schölers hebbt dat Book köfft.
My best friend is in Rome now.	Mien besten Fründ is jüst in Room.
My computer is my best friend.	Mien Reekner is mien besten Fründ.
My father died five years ago.	Mien Vader is vör fiev Johr doodbleven.
My opinion differs from yours.	Ik heff en anner Verscheel as du.
My sister is very intelligent.	Miene Süster is temlich plietsch.
Our neighbor has broken a rib.	Uns Naver hett sik en Ribb braken.
She forced him to eat spinach.	Se möök em Spinaat eten.
She gave him a piece of paper.	Se geev em en Stück Poppeer.
She had died before I arrived.	Se weer doodbleven, bevör ik ankamen bün.
She had nothing else to drink.	Se harr ans nix to drinken.
She has a daughter named Mary.	Se hett en Dochter, de Mary heet.
She has never danced with him.	Se hett nie mit em danst.
She isn't good enough for him.	Se is nich good noog för em.
She married him for his money.	Se hett em för sien Geld heiraadt.
She plays tennis every Sunday.	Se speelt elk Sünndag Tennis.
She pointed her finger at him.	Se deed mit ’n Finger op em wiesen.
She pulled him out of the mud.	Se deed em ut ’n Mudd ruttrecken.
She trusts him with her money.	Se vertroot em mit ehr Geld.
She walked twenty miles a day.	Se lööp twintig Mielen an ’n Dag.
She was in America last month.	Se weer vergangen Maand in Amerika.
She was wearing a strange hat.	Se harr en Hoot op, de roor utsehn deed.
The bank lent her 500 dollars.	De Bank hett ehr 500 Dollar lehnt.
The bank lent him 500 dollars.	De Bank hett em 500 Dollar lehnt.
The boy was sold into slavery.	De Jung is in de Slaveree verköfft worrn.
The bus was two minutes early.	De bus keem twee Minuten to froh.
The navy defends our seacoast.	De Marine verdeffendeert uns Küst.
The ship is now in the harbor.	Dat Schipp is nu in ’n Haven.
There are 31 days in December.	De Dezember hett 31 Daag.
There is an apple on the desk.	Dor is en Appel op ’n Disch.
There was a seal on the shore.	Dor weer en Saalhund an de Küst.
There's no need to exaggerate.	Dat gifft keen Grund to överdrieven.
They invited me to play cards.	Se hebbt mi inlaadt, Koorten to spelen.
They're both expecting babies.	Se verwacht all beid Kinner.
They're running without shoes.	Se loopt ahn Schoh.
This knife has served me well.	Dit Kniev hett mi good deent.
This school has many students.	Disse School hett veel Schölers.
Tokyo is larger than Yokohama.	Tokyo is grötter as Yokohama.
We like swimming in the ocean.	Wi swemmt geern in ’n Ozeaan.
We might have frost next week.	Tokamen Week schall dat villicht Frost geven.
We play soccer every Saturday.	Wi speelt elk Sünnavend Football.
We play soccer every Saturday.	Wi speelt elk Saterdag Football.
We still don't know the truth.	Wi kennt noch jümmer nich de Wohrheid.
We stored the hay in the barn.	Wi hebbt dat Hau in ’e Schüün lagert.
What do you have in your hand?	Wat hest du in ’e Hand?
What is the depth of the lake?	Wo deep is de See?
What kind of food do you like?	Wat för ’n Soort Eten magst du geern?
Where can I pick up my ticket?	Woneem kann ik mien Koort afhalen?
Which doctor is attending you?	Wat för ’n Dokter behannelt di?
Who was this window broken by?	’Keen hett dit Finster tweibraken?
Why doesn't he tell the truth?	Worüm seggt he nich de Wohrheid?
Why won't my dog eat dog food?	Worüm fritt mien Hund keen Hunnfoder?
Will you let me try once more?	Lettst du mi dat ees noch wedder versöken?
Would you lend me your pencil?	Lehnst du mi dien Bleesticken?
Would you like me to help you?	Wullt du, dat ik di help?
Yesterday, I bought a red car.	Ik heff güstern en rood Auto köfft.
You cannot live without water.	Een kann nich sünner Water leven.
Beijing is changing so rapidly.	Peking ännert sik so gau.
Both his grandfathers are dead.	All beid sien Grootvaders sünd dood.
Do you like playing volleyball?	Speelst du geern Volleyball?
Do you mind if I open the door?	Maakt di dat wat, wenn ik de Döör apen maak?
Don't throw away this magazine.	Smiet de Tiedschrift nich weg.
English is used by many people.	Engelsch warrt von veel Minschen bruukt.
Everybody agreed with his idea.	Elkeen deed sien Idee tostimmen.
He entered the garden secretly.	He güng stiekum in ’n Goorn.
He had his socks on inside out.	He harr sien Söcken verkehrt rüm an.
He has a son and two daughters.	He hett een Söhn un twee Döchter.
He is known as a great painter.	He is kennt as en groten Maler.
He told her that she was right.	He seed ehr, dat se recht harr.
He's just like his grandfather.	He is jüst as sien Grootvader.
How did you come by this money?	Woans büst du an dit Geld kamen?
How do you like your new class?	Wo gefallt di dien ne’e Klass?
How many guests did you invite?	Woveel Gäst hest du inlaadt?
I am terribly afraid of snakes.	Ik bün gresig bang vör Snaken.
I believe you know what I mean.	Mi dücht, du weetst, wat ik meen.
I bought two pairs of trousers.	Ik heff twee Büxen köfft.
I have almost no money with me.	Ik heff meist keen Geld bi mi.
I invited him over to my place.	Ik heff em na mi tohuus inlaadt.
I invited him over to my place.	Ik heff em to mi inlaadt.
I know almost nothing about it.	Ik weet dor meist nix över.
I quit smoking half a year ago.	Ik heff vör en halv Johr mit Smöken ophöört.
I told you that she was blonde.	Ik heff di seggt, dat se blond is.
I was expecting you last night.	Ik heff di güstern Nacht verwacht.
I was forced to work on Sunday.	Ik weer dwungen an ’n Sünndag to arbeiden.
I've always wanted to meet you.	Ik wull di al jümmer drepen.
I've never heard of this actor.	Ik heff von dissen Schauspeler noch nich höört.
If you bite me, I'll bite back.	Wenn du mi bittst, denn biet ik trügg.
It rained five successive days.	Dat regen fiev Daag an ’n Stück.
It rained gently the whole day.	Dat regent den ganze Dag sachten.
It was terribly cold yesterday.	Dat weer gresig koold güstern.
Kuala Lumpur is worth visiting.	Kuala Lumpur is en Besöök weert.
Last night I had a weird dream.	Vergangen Nacht harr ik en snaakschen Droom.
Let's measure how tall you are.	Laat uns meten, wo groot du büst.
Lincoln was opposed to slavery.	Lincoln weer gegen de Slaveree.
Mary stayed up late last night.	Mary is güstern avend laat opbleven.
My cat doesn't like to get wet.	Mien Katt warrt nich geern natt.
My sister goes to a university.	Miene Süster besöcht en Universität.
My wallet wasn't stolen by him.	He hett mien Portmaneet nich klaut.
Oranges grow in warm countries.	Appelsienen wasst in warme Länner.
Paris is the capital of France.	Paris is de Höövdstad von Frankriek.
She borrowed the book from him.	Se hett dat Book von em lehnt.
She called me in the afternoon.	Se hett mi namiddags anropen.
She did her best to rescue him.	Se hett ehr best daan, em to redden.
She has a daughter who is tall.	Se hett en grote Dochter.
She has quite a lot of clothes.	Se hett en ganzen Barg Kledaasch.
She kissed him on the forehead.	Se hett em op ’n Vörkopp küsst.
She kissed him on the forehead.	Se hett em op de Steern küsst.
She persuaded him to marry her.	Se deed em övertügen, ehr to freen.
She recognized him immediately.	Se deed em glieks kennen.
She sat next to him on the bus.	Se deed in ’n Bus blangen em sitten.
She scolded him for being late.	Se schell em ut, dat he to laat weer.
She went to England a year ago.	Se is vör een Johr na England gahn.
She's too young to get married.	Se is to jung üm to freen.
She's two years older than him.	Se is twee Johr öller as he.
Spanish is her native language.	Spaansch is ehr Moderspraak.
Strawberries are in season now.	Dat is opstunns Saison för Eerdbeern.
Sulfur burns with a blue flame.	Swevel brennt mit en blaue Flamm.
Sulfur is used to make matches.	Swevel warrt bruukt, üm Swevelsticken to maken.
Thank you for your cooperation.	Wees bedankt för dien Hülp.
That book has a bunch of pages.	Dat Book hett veel Sieden.
The book is written in Spanish.	Dat Book is op Spaansch schreven.
The garden is behind the house.	De Goorn is achter ’t Huus.
The lady is now drinking water.	De Daam drinkt nu Water.
The second lesson is very easy.	Lex twee is temlich licht.
There are many slums in Mexico.	Dat gifft veel Slums in Mexiko.
There's a monster under my bed.	Dor sitt en Monster ünner mien Bedd.
There's a monster under my bed.	Dor is en Monster ünner mien Bedd.
There's no film in this camera.	Dor is keen Film in ’e Kamera.
They are studying for the test.	Se lehrt för den Test.
They could ride and shoot well.	Se kunnen good rieden un scheten.
They had to start from scratch.	Se möten noch wedder von vörn anfangen.
This box is filled with apples.	Disse Kist is vull mit Appels.
This is the reason I came here.	Dat is de Grund, worüm as ik herkamen bün.
This is what I bought in Spain.	Dat is wat ik in Spanien köfft heff.
This old house is made of wood.	Dit ole Huus is ut Holt.
This room doesn't get much sun.	Disse Kamer kriggt nich veel Sünn af.
This table is made of good oak.	Disse Disch is ut gode Eek maakt.
Three people are still missing.	Dree Lüüd sünd noch jümmer misst.
Tom doesn't know his neighbors.	Tom kennt sien Navers nich.
We arrived here in the evening.	Wi sünd hier avends ankamen.
We had a long wait for the bus.	Wi müssen lang op ’n Bus töven.
We think we are over the worst.	Wi denkt, dat wi dör dat Slimmste dör sünd.
We took a walk along the river.	Wi möken en Spazeergang langs ’n Stroom.
What's your favorite TV series?	Wat is dien leevste TV-Serie?
What's your favorite war movie?	Wat is dien leevsten Kriegsfilm?
When did you learn how to swim?	Wannehr hest du swemmen lehrt?
Where does this street lead to?	Wo föhrt disse Straat hen?
Which is heavier, lead or gold?	Wat is sworer, Blee oder Gold?
Why are you washing your hands?	Worüm wascht du di de Hannen?
Why aren't you listening to me?	Worüm höörst du mi nich to?
Why aren't you listening to me?	Worüm höörst du nich op mi?
Would you lend me your bicycle?	Lehnst du mi dien Fohrrad?
You have no need to be ashamed.	Du musst di dor nich för schamen.
You have no need to be ashamed.	Du musst di nich schamen.
You're asking the wrong person.	Du fraagst de verkehrte Persoon.
A broken mirror brings bad luck.	En tweien Spegel bringt Unglück.
Are you busy tomorrow afternoon?	Hest du morgen namiddag to doon?
Belgium is not as big as France.	Belgien is nich so groot as Frankriek.
Both sisters are very beautiful.	De Süstern sünd all beid temlich smuck.
Come here and have a look at it.	Kaam her un kiek di dat an!
Did I understand that correctly?	Heff ik dat richtig verstahn?
Do you feel like going swimming?	Hest du Lust, swemmen to gahn?
Do you have a problem with this?	Hest du dor en Probleem mit?
Do you have any plans for today?	Hest du Plaans för vondaag?
Do you know what time they came?	Weetst du wannehr se kamen sünd?
Do you know who sings that song?	Weetst du, ’keen dat Leed singt?
Everything is all right at home.	Tohuus is allens bi de Reeg.
Have you done your homework yet?	Hest du dien Huusopgaven al maakt?
He comes back from Sydney today.	He kummt vondaag trügg ut Sydney.
He got dressed and went outside.	He hett sik antagen un is na buten gahn.
He intends to buy a new bicycle.	He will en neet Fohrrad köpen.
He is a complete stranger to me.	He is för mi en ganz Frömmen.
He is acquainted with the mayor.	He kennt den Börgermeester.
He lived to be eighty years old.	He is achtig Johr oold worrn.
He may be able to come tomorrow.	Villicht kann he morgen kamen.
He owns many valuable paintings.	He besitt veel düre Schilleraatsen.
He sat on the bench in the park.	He seet op de Bank in ’n Park.
He tried to get rid of the ants.	He wull de Pissmieren los warrn.
He will come home in a few days.	He kummt in en poor Daag na Huus.
He wiped his nose on his sleeve.	He hett sik den Snappen in ’n Mau smeert.
Helen Keller was deaf and blind.	Helen Keller weer doov un blind.
Her story turned out to be true.	Ehr Geschicht hett sik as wohr rutstellt.
His English is better than mine.	Sien Engelsch is beter as mien.
How long have you played soccer?	Wo lang hest du Football speelt?
How many languages do you speak?	Woveel Spraken snackst du?
I am thinking about my children.	Ik denk an mien Kinner.
I can only tell you what I know.	Ik kann di bloot seggen, wat ik weet.
I don't have a computer at home.	Ik heff keen Computer tohuus.
I heard someone calling my name.	Ik heff een mien Naam ropen höört.
I just ate sushi and drank beer.	Ik heff jüst Sushi eten un Beer drunken.
I received her letter last week.	Ik heff ehren Breev vergangen Week kregen.
I solved that problem by myself.	Ik heff dat Probleem al sülvs lööst.
I wasn't listening to the radio.	Ik heff keen Radio höört.
I went swimming after I woke up.	Na ’t Opkamen bün ik Swemmen gahn.
I would never have guessed that.	Dat harr ik nie dacht.
I'd like to know if that's true.	Ik wull geern weten, wat dat wohr is.
I'd rather walk than take a bus.	Ik loop lever as mit ’n Bus to föhren.
I'll follow you wherever you go.	Ik kaam mit di, egaal wo du hen geihst.
In the winter, days are shorter.	In ’n Winter sünd de Daag körter.
It is not easy to speak English.	Engelsch snacken is nich licht.
It looks a lot worse than it is.	Dat sütt veel leger ut, as dat is.
It was not easy to convince him.	Dat weer nich licht, em to övertügen.
It's all part of their strategy.	Dat is allens Deel von jemehr Strategie.
Mom made a cake for my birthday.	Mama hett för mien Geboortsdag en Koken backt.
My idea is different from yours.	Ik heff en anner Verscheel as du.
My mother cut my hair too short.	Mien Mudder hett mi de Hoor to kort sneden.
My sister showers every morning.	Mien Süster duuscht elk Morgen.
Only adults may watch that film.	Bloot Vullwussen Lüüd dröfft dissen Film ankieken.
People used to live in villages.	De Lüüd hebbt in Dörper wahnt.
She always speaks ill of others.	Se snackt jümmer slecht von annere.
She and I are in the same class.	Se un ik, wi sünd in de sülve Klass.
She appears to have few friends.	Se hett woll nich veel Frünnen.
She asked me to open the window.	Se beed mi, dat Finster apen to maken.
She attacked him with her fists.	Se hett em mit ehr Fuusten angrepen.
She bought two pounds of butter.	Se hett twee Pund Botter köfft.
She gave him something to drink.	Se geev em wat to drinken.
She had nothing to do yesterday.	Se harr güstern nix to doon.
She looked him right in the eye.	Se hett em liek in ’t Oog keken.
She visited him on October 20th.	Se hett em an ’n 20. Oktober besöcht.
She wants to play golf with him.	Se will mit em Golf spelen.
She went with him to the movies.	Se is mit em in ’t Kino gahn.
The buses run every ten minutes.	Föhrt all teihn Minuten en Bus.
The doctor told me to go to bed.	De Dokter hett mi seggt, dat ik to Bedd gahn schull.
The dog was sleeping on the mat.	De Hund hett op de Matt slapen.
The dogs bayed at the full moon.	De Hunnen hebbt den Vullmaand anblafft.
The old man leaned on his staff.	De ole Mann löhn op sien Staff.
The plane flew above the clouds.	De Fleger flöög över de Wulken.
The price of rice has come down.	De Pries för Ries is fullen.
The train was late this morning.	De Tog weer vonmorgen laat.
The train went through a tunnel.	De Tog deed dör en Tunnel föhren.
The twins looked after the baby.	De Tweeschen keken na ’t Baby.
The world needs talented people.	De Welt bruukt Lüüd mit Talent.
There are many books in my room.	Dor sünd veel Böker in mien Kamer.
There are two boats on the lake.	Dor sünd twee Bööd op ’n See.
There is nothing to worry about.	Dor is nix, wo een sik över Sorgen maken mutt.
There's a huge hole in the wall.	Dor is en groot Lock in ’e Wand.
There's enough food to go round.	Dor is noog Eten för all dor.
This computer runs on batteries.	Disse Computer löppt mit Batterien.
This sentence is not in English.	Disse Satz is nich op Engelsch.
This soup needs a bit more salt.	Disse Supp bruukt en beten mehr Solt.
Tom doesn't have enough friends.	Tom hett nich noog Frünn.
Tom put another log on the fire.	Tom deed noch en Stück Holt bi ’t Füür leggen.
Vladivostok is a city in Russia.	Wladiwostok is en Stad in Russland.
War is a crime against humanity.	Krieg is en Verbreken gegen de Minschheid.
We killed time by playing cards.	Wi hebbt de Tied mit Koortenspelen doodslahn.
What are you up to this weekend?	Wat hest du dit Wekenenn vör?
What are your plans for tonight?	Wat hest du för Plään för vonavend?
What did you buy your boyfriend?	Wat hest du dien Fründ köfft?
What's the meaning of this word?	Wat bedüüdt dit Woord?
Would you like to dance with me?	Wullt du mit mi dansen?
You can run, but you can't hide.	Du kannst weglopen, aver du kannst di nich versteken.
You can't do two things at once.	Een kann keen twee Saken opmaal doon.
You have to be over 18 to drive.	Du musst öller as 18 wesen, dat du föhren dröffst.
You know quite a lot about Sumo.	Du weetst temlich veel över Sumo.
You must read between the lines.	Du musst twüschen de Regen lesen.
"How old are you?" "I'm sixteen."	"Wo oold büst du?" "Ik bün sössteihn."
Can I borrow some money from you?	Kann ik wat Geld von di lehnen?
Can I get you something to drink?	Kann ik wat to drinken kriegen?
Can you show me how to tie a tie?	Kannst du mi wiesen, woans en Slips bunnen warrt?
Do you mind if I open the window?	Stöört di dat, wenn ik dat Finster apendo?
Don't come too close to the fire.	Kaam nich to dicht an ’t Füür ran.
Don't write me such long letters.	Schriev mi nich so lange Breev.
Even a teacher can make mistakes.	Ook en Meester kann Fehlers maken.
Everybody knows that old trapper.	Elkeen kennt den olen Trapper.
Germany produced many scientists.	Düütschland hett veel Wetenschoppers vörbröcht.
He asked if I liked Chinese food.	He fröög mi, wat ik chineesch Eten mag.
He doesn't know much about Japan.	He weet nich veel över Japan.
He fell asleep with the radio on.	He is bi dat ane Radio toslapen.
He has a lot of books on history.	He hett veel Böker över Geschicht.
He has been speaking for an hour.	He hett nu för een Stünn snackt.
He knows a lot about butterflies.	He weet veel över Botterlickers.
He lives at the top of this hill.	He leevt op ’n Topp von dissen Barg.
He sat surrounded by young girls.	He seet mank en Hümpel junge Deerns.
He seems to have known the truth.	Sütt ut, as wenn he de Wohrheid wüsst hett.
He speaks English better than me.	He snackt Engelsch beter as ik.
I am four years younger than him.	Ik bün veer Johr jünger as he.
I do not have anything in my bag.	Ik heff nix in mien Tasch.
I don't expect anything from you.	Ik verwacht nix von di.
I have two brothers and a sister.	Ik heff twee Bröder un een Süster.
I just wanted to see if you knew.	Ik wull bloot sehn, wat du dat weetst.
I know that you know that I know.	Ik weet, dat du weetst, dat ik dat weet.
I need a good pair of sunglasses.	Ik bruuk en gode Sünnbrill.
I saw a man dressed like a ninja.	Ik heff en Mann sehn, de as en Ninja antagen weer.
I think I've forgotten something.	Ik glööv, ik heff wat vergeten.
I was born on October 10th, 1972.	Ik bün an ’n 10. Oktober 1972 boren.
I will be at your house at eight.	Ik bün Klock acht bi di tohuus.
I'll give you a lift if you like.	Ik kann di mitnehmen, wenn du wullt.
I'll stay there till six o'clock.	Ik bliev dor bet Klock söss.
I'll take back everything I said.	Ik nehm allens trügg, wat ik seggt heff.
I'm going to watch a scary movie.	Ik will mi en Gruelfilm ankieken.
I've already been here two hours.	Ik bün al twee Stünnen hier.
I've just arrived at the airport.	Ik bün jüst an ’n Flegerhaven ankamen.
I've lived here for thirty years.	Ik heff hier dörtig Johr wahnt.
I've never seen a whale that big.	Ik heff noch nie so en groten Waal sehn.
It was a one hundred dollar bill.	Dat weer en Hunnert-Dollar-Schien.
It'll cost at least five dollars.	Dat schall opminnst fiev Dollar kösten.
It's a question of life or death.	Dat is en Fraag von Leven oder Dood.
Liquor is not sold at this store.	In dissen Laden warrt keen Alkohol verköfft.
Many young Romans went to Greece.	Veel junge Römers sünd na Grekenland gahn.
Mozart passed away 200 years ago.	Mozart is vör 200 Johr doodbleven.
My brother wants to study abroad.	Mien Broder will in ’t Butenland studeren.
My little sister is kind of lazy.	Mien lütte Süster is en beten lösig.
My teacher has a very soft voice.	Mien Lehrersch hett en temlich sachte Stimm.
One boy is taller than the other.	Een Jung is grötter as de annere.
Science produced the atomic bomb.	Wetenschop hett de Atoombumm bröcht.
She can't have said such a thing.	Se kann sowat nich seggt hebben.
She did her best to persuade him.	Se hett ehr best daan, em to övertügen.
She gave birth to a healthy baby.	Se hett en gesund Baby kregen.
She got dressed and went outside.	Se hett sik antagen un is na buten gahn.
She hung the washing on the line.	Se hüng de Wäsch op de Lien.
She is going to France next week.	Se geiht tokamen Week na Frankriek.
She is less intelligent than you.	Se is minner plietsch as du.
She knitted her father a sweater.	Se hett ehren Vader en Pullover knütt.
She remained single all her life.	Se bleev ehr Leven lang Single.
She suffocated him with a pillow.	Se hett em mit en Küssen stickt.
She thanked him for all his help.	Se deed em för all sien Hülp danken.
She's two years younger than him.	Se is twee Johr jünger as he.
Smoke is rising from the chimney.	Ut ’n Schosteen kummt Rook.
Stand up when I'm talking to you!	Staht op, wenn ik mit jo snack!
Switzerland is a neutral country.	De Swiez is en neetraal Land.
That red dress looks good on her.	Dat rode Kleed lett good an ehr.
That small star is the brightest.	De lütte Steern dor is de hellst.
The Inca were a religious people.	De Inka weren en religiös Volk.
The atomic number for iron is 26.	De Atoomtall von Iesen is 26.
The boy entered by the back door.	De Jung keem dör de Achterdöör rin.
The bus arrived ten minutes late.	De Bus is teihn Minuten to laat ankamen.
The horse was lying on the straw.	Dat Peerd leeg op ’t Stroh.
The murderer confessed his crime.	De Mörder hett sien Verbreken tostahn.
The museum is open to the public.	Dat Museum is för all apen.
The traffic light changed to red.	De Ampel deed rood warrn.
There is a television in my room.	Dor is en Kiekschapp in mien Kamer.
There were too many people there.	Dor weren toveel Lüüd.
These chairs are not comfortable.	Disse Stöhl sünd nich bequeem.
They are in danger of extinction.	Se sünd von ’t Utstarven bedroht.
This is not a cat. This is a dog.	Dat is keen Katt. Dat is en Hund.
This milk will keep for two days.	Disse Melk höllt sik twee Daag.
This tree is three meters around.	Disse Boom hett en Ümfang von dree Meter.
Three beers and a tequila please.	Dree Beer un en Tequila harr ik geern.
Today, we have to sleep outdoors.	Vondaag mööt wi buten slapen.
Two out of five children are shy.	Twee von fiev Kinner sünd scho.
Was it a full moon or a new moon?	Weer dat Vullmaand oder Neemaand?
We got up at four in the morning.	Wi sünd morgens Klock veer opkamen.
We just ate sushi and drank beer.	Wi hebbt jüst Sushi eten un Beer drunken.
What language is spoken in Egypt?	Wat för en Spraak warrt in Ägypten snackt?
What were you doing at that time?	Wat hest du to de Tied maakt?
What's your favorite ZZ Top song?	Wat is dien leevst Leed von ZZ Top?
What's your favorite soccer team?	Wat is dien leevsten Footballvereen?
When will you harvest your wheat?	Wannehr wullt du dien Weten oosten?
Who were you going to sell it to?	’Keen wullst du dat verköpen?
You need to finish your homework.	Du musst die Huusopgaven trechmaken.
You should take the number 5 bus.	Du schusst man den Bus mit de Nummer 5 nehmen.
You talk as if you were the boss.	Du snackst, as wenn du de Baas weerst.
A bear will not touch a dead body.	En Boor geiht bi en Doden nich bi.
A mustache grows on the upper lip.	En Snurrboort wasst op ’t Övermuul.
A sleeping child is like an angel.	En Kind, dat slöppt, is as en Engel.
All the other boys laughed at him.	All de annern Jungs hebbt em utlacht.
Belgium is not as large as France.	Belgien is nich so groot as Frankriek.
Can you tell silver and tin apart?	Kennst du den Ünnerscheed twüschen Sülver un Tinn?
Complaining won't change anything.	Gnaddern ännert ook nix.
Do you have any plans for tonight?	Hest du Plaans för vonavend?
Don't throw anything on the floor.	Smiet nix an ’e Eer!
Everyone deserves a second chance.	Elkeen verdeent en twete Changs.
Everyone makes mistakes sometimes.	Elkeen maakt af un to Fehlers.
France is to the south of England.	Frankriek liggt süden von England.
God created the world in six days.	Godd hett de Welt in söss Daag schapen.
He came from a tiny mountain town.	He deed ut en lütten Oort in de Bargen stammen.
He gave me food and money as well.	He hett mi ook Eten un Geld geven.
He has a lot of money in the bank.	He hett en Barg Geld op de Bank.
He has a lot of money in the bank.	He hett en Hümpel Geld op de Bank.
He has never been late for school.	He is nienich to laat na School kamen.
He is old enough to understand it.	He is oold noog, üm dat to verstahn.
He is too tired to go any farther.	He is to mööd to ’n Wiedergahn.
He may not have known the formula.	Kann angahn, dat he de Formel nich kennt hett.
He refused to shake hands with me.	He wull mi nich de Hand schüdden.
He's going to have a heart attack.	He kriggt glieks en Hartanfall.
How long have you been doing this?	Wo lang deist du dat al?
I believe it is a genuine Picasso.	Ik glööv, dat dat en echten Picasso is.
I bought the book for ten dollars.	Ik heff dat Book för teihn Dollar köfft.
I didn't know that dogs swim well.	Ik heff nich wüsst, dat Hunnen good swemmen köönt.
I don't believe that ghosts exist.	Ik glööv nich, dat dat Spökels gifft.
I don't know what happened to him.	Ik weet nich, wat em passeert is.
I have never eaten a mango before.	Ik heff noch nie en Mango eten.
I just started to learn Esperanto.	Ik heff jüst anfungen, Esperanto to lehren.
I often catch colds in the winter.	Ik krieg in ’n Winter faken en Snööv.
I sold the picture for 20,000 yen.	Ik heff dat Bild för 20.000 Yen verköfft.
I want to buy a pair of ski boots.	Ik will en Poor Skisteveln köpen.
I want to learn Chinese next year.	Ik will tokamen Johr Chineesch lehren.
I will tell you the rest tomorrow.	Ik vertell di morgen den Rest.
I'm often compared to my brothers.	Ik warr faken mit mien Bröder vergleken.
I'm often compared to my brothers.	Ik warr faken mit miene Bröder vergleken.
Is there another word for synonym?	Guifft dat en anner Woord för Synonym?
It cost less than fifteen dollars.	Dat hett weniger as föffteihn Dollar köst.
It's already ten o'clock at night.	Dat is al Klock teihn avends.
Mary is going to help us tomorrow.	Mary helpt uns morgen.
My best friend dances really well.	Mien besten Fründ danst temlich good.
My blood pressure is 155 over 105.	Mien Blooddruck is 155 to 105.
My box is twice as heavy as yours.	Mien Karton is twee Maal so swoor as dien.
My family liked the dog very much.	Mien Familie hett den Hund dull mücht.
My mother looks young for her age.	Mien Moder sütt jung ut för ehr Öller.
Not all red apples taste the same.	Nich all rood Appels smeckt gliek.
Our library is on the third floor.	Uns Bökeree is in ’n tweten Stock.
Potato chips are not good for you.	Kartuffelchips sünd nich good för di.
She can't have written it herself.	Se kann dat nich sülvs schreven hebben.
She couldn't look him in the face.	Se kunn em nich in ’t Gesicht kieken.
She didn't want him to play poker.	Se wull nich, dat he Poker speelt.
She doesn't want to talk about it.	Se will dor nich över snacken.
She has known him for a long time.	Se hett em al en lange Tied kennt.
She made him a cake for his party.	Se hett em en Koken för sien Party maakt.
She stole a lot of money from him.	Se hett em en Barg Geld stahlen.
She wanted him to help her father.	Se wull, dat he ehr Vader helpen deed.
She wanted him to sing her a song.	Se wull, dat he ehr en Leed singt.
She was the first one to help him.	Se weer de eerste, de em hulpen hett.
Six months is a long time to wait.	Söss Maand to töven is en lange Tied.
Smoking is forbidden in this area.	Smöken is in dit Rebeed verbaden.
Sometimes a cigar is just a cigar.	Af un to is en Zigarr eenfach en Zigarr.
Ten miles is not a short distance.	Teihn Mielen is keen korten Weg.
That fox must have killed the hen.	Disse Voss mutt de Hehn doodmaakt hebben.
The boy didn't change his opinion.	De Jung hett sien Verscheel nich ännert.
The coat doesn't have any pockets.	De Mantel hett keen Taschen.
The girl speaks English very well.	De Deern snackt temlich good Engelsch.
The girl under the tree looks sad.	De Deern ünner ’n Boom sütt trurig ut.
The soldiers set fire to the barn.	De Soldaten hebbt de Schüün anstaken.
The wall is covered with graffiti.	De Muur is vull mit Graffitis.
There are no roses without thorns.	Dat gifft keen Rosen ahn Doorns.
There was a lot of snow last year.	Dat hett vergangen Johr veel Snee geven.
There was no one else on the road.	Dor weer anners nüms op de Straat.
They named the ship the Mayflower.	Se nömen dat Schipp „Mayflower“.
This is the deepest lake in Japan.	Disse See is de deepste See in Japan.
Tom met Mary on the way to school.	Tom hett Mary op ’n Weg na School drapen.
Tom sat cross-legged on the floor.	Tom seet mit krüüzte Been an ’e Eer.
We have had little snow this year.	We hebbt dit Johr nich veel Snee hatt.
