Who?	Tko?
A bird in the hand is worth two in the bush.	Bolje vrabac u ruci nego golub na grani.
By the end of June, they were ready to vote.	Do kraja lipnja oni su bili spremni glasati.
I don't know if those languages are related.	Ne znam jesu li ti jezici srodni.
I don't want to work under these conditions.	Ne želim raditi pod tim uvjetima.
I gave my mother 19 flowers on Mother's Day.	Dao sam svojoj majci devetnaest cvijetova za Majčin dan.
It was obvious Tom didn't want to kiss Mary.	Bilo je očigledno da Tom nije htio poljubiti Mariju.
We couldn't help but think that he was dead.	Ne možemo nego misliti da je bio mrtav.
You're about to make a very serious mistake.	Upravo ćeš napraviti veliku grešku.
Are there any other hotels you can recommend?	Ima li nekih drugih hotela koje možeš preporučiti?
Every little thing you say gets on my nerves.	Ide mi na živce svaka riječ koju izgovoriš.
I am so tired that I can't walk another step.	Umoran sam toliko da ne mogu više ni korak.
I broke down the door because I lost the key.	Provalio sam vrata jer sam izgubio ključ.
That which is easily acquired is easily lost.	Kako došlo, tako prošlo.
The government has imposed a new tax on wine.	Vlada je nametnula novi porez na vino.
They spoke ill of the captain in his absence.	Govorili su ružno o kapetanu dok ga nije bilo.
Tom spent the whole afternoon playing tennis.	Tom je proveo cijelo popodne igrajući tenis.
Who's the man at the other side of the table?	Tko je taj čovjek s druge strane stola?
Yesterday I played tennis for the first time.	Jučer sam po prvi puta igrao tenis.
Yesterday I played tennis for the first time.	Jučer sam po prvi puta igrala tenis.
You can't tell me who I can or can't talk to.	Ne možeš mi ti reći s kim mogu, a s kim ne mogu pričati.
He has postponed his departure until tomorrow.	Odgodio je njegov odlazak do sutra.
I regret not having studied hard for the test.	Žalim što nisam više učio za ispit.
I want to see what you have inside your house.	Želim vidjeti što imaš u kući.
Knowing is nothing, imagination is everything.	Znati je ništa, mašta je sve.
My guess is that Tom isn't going to want that.	Moja pretpostavka je da Tom to neće htjeti.
Our teacher will return from abroad in August.	Naš učitelj će se vratiti iz inozemstva u kolovozu.
The accident happened on Sunday at about 3:00.	Nesreća se dogodila u nedjelju oko 3:00.
The game may have been put off till next week.	Igra može biti odgođena do sljedećeg tjedna.
We walked together as far as the next station.	Šetali smo se sve do iduće stanice.
All our teachers were young and loved teaching.	Svi učitelji su bili mladi i voljeli podučavati.
I heard a strange sound coming from the garage.	Čuo sam čudni zvuk koji je dolazio iz garaže.
It is not easy to speak naturally on the radio.	Nije jednostavno govoriti prirodno na radiju.
She insisted that he should go to the hospital.	Inzistirala je da on ode u bolnicu.
The war cost 2,000 million dollars every month.	Rat stoji 2 000 milijuna dolara mjesečno.
Tom took a moment to consider the consequences.	Tom je nakratko promislio o posljedicama.
When was the last time you angered your mother?	Kad si zadnji put razljutio svoju majku.
When was the last time you angered your mother?	Kad si zadnji put razljutila svoju majku.
You can't really expect Tom to change his mind.	Stvarno ne možeš očekivati da će Tom promijeniti svoje mišljenje.
He is superior to his competitors in everything.	Nadmašuje svoje protivnike u svemu.
He who lives by the sword will die by the sword.	Tko se mača laća, od mača i pogiba.
I think we'll probably reach Boston before dark.	Mislim da ćemo stići u Boston prije mraka.
I'd like you to look after my dog while I'm out.	Volio bih kad bi pripazio na mog psa dok sam vani.
I'd like you to look after my dog while I'm out.	Volljela bih kad bi pripazila na mog psa dok sam vani.
If you don't bother them, they won't bother you.	Ako im ne smetaš, ni oni tebi neće smetati.
It is one of the biggest summer music festivals.	To je jedan od najvećih ljetnih muzičkih festivala.
She seems to have been offended by what he said.	Izgleda da ju je uvrijedilo ono što joj je rekao.
The light went out and we were left in the dark.	Nestalo je svjetla i ostali smo u mraku.
There is a small teacup and an egg on the table.	Na stolu je šalica čaja i jaje.
Tom certainly isn't as smart as he thinks he is.	Tom uopće nije toliko pametan koliko misli da jest.
Tom chopped wood for his woodburning cook stove.	Tom je nacijepao drva za svoj štednjak na drva.
Why did you give up the idea of learning French?	Zašto si odustao od učenja francuskog?
You still haven't told me when you get off work.	Nisi mi rekao kad odlaziš na posao.
He always speaks of the government with contempt.	Uvijek govori o vladi s prijezirom.
He hadn't eaten all day long and was very hungry.	Nije bio jeo cijeli dan i bio je gladan.
He who lives by the sword shall die by the sword.	Tko se mača laća, od mača i pogiba.
It looks like Tom is going to start working here.	Izgleda da će Tom početi raditi ovdje.
Many people were killed as a result of the storm.	Mnogi su ljudi poginuli od posljedica oluje.
Tom doesn't have to eat it if he doesn't want to.	Tom ne treba jesti ako ne želi.
Tom finished his drink and asked for another one.	Tom je popio svoje piće i naručio još jedno.
Tomorrow there's a high probability it will rain.	Velika je vjerojatnost da će sutra kišiti.
A bird in the hand is better than two in the bush.	Bolje vrabac u ruci nego golub na grani.
Do you know the difference between silver and tin?	Možeš li razlikovati srebro od kositra?
He told us such a funny story that we all laughed.	Ispričao nam je tako smiješnu priču da smo se svi smijali.
His daughter has grown out of all her old clothes.	Njegova kćerka je prelasla svu svoju staru odjeću.
I wrote down his phone number on a scrap of paper.	Zapisao sam njegov broj na komadiću papira.
I wrote down his phone number on a scrap of paper.	Zapisala sam njegov broj na komadiću papira.
She has a great affection for her little brothers.	Vrlo je privržena svojoj mlađoj braći.
Tom was kind enough to lend me the money I needed.	Tom je bio toliko ljubazan da mi posudi novac koji mi je trebao.
Tom was successful in finding a new job in Boston.	Tom je uspio pronaći posao u Bostonu.
Who was the last person to log on to the computer?	Tko je bila posljednja osoba na tom računalu?
"Have you seen my cell phone?" "It's on the table."	"Jesi li vidio moj mobitel?" "Na stolu je."
American English isn't better than British English.	Američki engleski nije bolje od britanskog engleskog.
He has given up smoking for the sake of his health.	Prestao je pušiti da očuva svoje zdravlje.
I think all three of us know what needs to be done.	Mislim da svi troje znamo što treba napraviti.
My dog is blind, but he loves to go out for a walk.	Moj pas je slijep, ali voli ići van i šetati se.
No matter how he tried, he could not open the door.	Bez obzira kako pokušavao, nije uspijevao otvoriti vrata.
There's no evidence this disease is caused by diet.	Nema dokaza da je ova bolest uzrokovana načinom prehrane.
Tom must've tried cleaning this without using soap.	Tom mora da je pokušavao ovo očistiti bez sapuna.
Without your consent, nothing can be done about it.	Bez tvoje suglasnosti, ništa se ne može učiniti u vezi toga.
It was raining so hard that we decided to stay home.	Kiša je tako jako padala da smo odlučili ostati doma.
He does not study hard, but does very well at school.	On ne uči mnogo, ali ima dobar uspjeh u školi.
Our train was an hour late because of the heavy snow.	Zbog mećave naš vlak je kasnio jedan sat.
Somebody spent a lot of money to decorate this place.	Netko je potrošio mnogo novca da bi ukrasio ovaj stan.
Somebody spent a lot of money to decorate this place.	Netko je potrošio mnogo novca da bi ukrasio ovo mjesto.
The film was inspired by the novel of the same title.	Film je bio inspiriran novelom istog naslova.
You sort of hinted that you wanted me to ask you out.	Nekako si mi dao naslutiti da hoćeš da te pozovem vani.
You sort of hinted that you wanted me to ask you out.	Nekako si mi dala naslutiti da hoćeš da te pozovem vani.
How long does it take from here to your house by bike?	Koliko dugo ti treba s biciklom odavde do tvoje kuće?
The old teacher began to talk about the good old days.	Stari učitelj je počeo nostalgično govoriti o dobrim, starim vremenima.
Tom said he tried to do that the day before yesterday.	Tom je rekao kako je to probao napraviti prekjučer.
When I was a child, I would often visit him on Sunday.	Kao dijete sam ga često posjećivao nedjeljom.
I didn't have enough money to buy everything we needed.	Nisam imao dovoljno novca da kupim sve što nam je trebalo.
Tom needs to study more if he hopes to pass this class.	Tom mora više učiti ako misli završiti razred.
I will send a letter to my brother who lives in Sapporo.	Poslat ću pismo svome bratu koji živi u Sapporu.
It would've been better if Tom hadn't bought Mary a gun.	Bilo bi bolje da Tom nije kupio pištolj Mary.
She will arrive in Tokyo at the beginning of next month.	Ona će stići u Tokio početkom sljedećeg mjeseca.
The sort of information we need is not always available.	Informacije kakve trebamo nisu uvijek dostupne.
You should spend more time outside and less time inside.	Trebao bi provoditi više vremena vani, a manje unutra.
Please help me pick out a hat which matches my new dress.	Molim te pomogni mi odabrati šešir koji odgovara mom novom odijelu.
We listened carefully in order not to miss a single word.	Slušali smo pažljivo da ne propustimo ni jednu riječ.
High tariffs have become a barrier to international trade.	Visoke cijene su postale zapreka međunarodnoj trgovini.
I have so many clothes I don't know what to wear tomorrow.	Imam toliko odjeće da ne znam što obući sutra.
I used to drink a lot of cola, but now I drink only water.	Prije sam pio puno kole, ali sad pijem samo vodu.
The university was founded by his father twenty years ago.	Sveučilište je osnovao njegov otac prije dvadeset godina.
I can't remember her phone number no matter how much I try.	Ne mogu zapamtiti njezin broj telefona, unatoč velikom trudu da zapamtim.
Tom doesn't want you to share this information with anyone.	Tom ne želi da podijeliš ovu informaciju s bilo kime.
A terrible battle took place at Kasserine in western Tunisia.	Strašna bitka se dogodila na Kasserineu u zapadnom Tunisu.
Tom asked Mary to tell him where she had hidden the diamonds.	Tom je pitao Mary da mu kaže gdje je sakrila dijamante.
Tom always thought that John and Mary were such a nice couple.	Tom je oduvijek mislio da su John i Mary krasan par.
A quarterly growth of 1.2% means an annual growth rate of 4.8%.	Tromjesečni rast od 1.2% znači godišnji rast od 4.8%.
Husbands and wives should help each other as long as they live.	Supruzi i supruge bi trebali pomagati jedno drugome dokle god žive.
I want to go to Australia once more before my passport expires.	Želim otići u Austraiju još jednom prije nego što mi putovnica istekne.
If she had been a little more patient, she could have succeeded.	Da je bila malo strpljivija, mogla je uspjeti.
Light waves travel through space and various kinds of materials.	Svjetlosni valovi prolaze kroz prostor i različite materijale.
You are working too hard. Sit down and take it easy for a while.	Radiš previše. Sjedni i odmori malo.
Her composition is very good except for a few errors in spelling.	Njezin sastav je vrlo dobar, osim nekoliko grešaka u izgovoru.
My office is on the fourth floor of that gray six-story building.	Moj ured je na četvrtom katu sive šesterokatnice.
The fire had spread to the next building before the firemen came.	Vatra se proširila na susjednu zgradu prije nego što su vatrogasci pristigli.
The quarterly growth of 1.2% means an annual growth rate of 4.8%.	Tromjesečni rast od 1.2% znači godišnji rast od 4.8%.
If I tell my mother, she'll worry, so I don't think I'll tell her.	Kažem li svojoj majci, brinut će se, zato mislim da joj neću reći.
The government is not doing its best to solve the housing problem.	Vlada ne daje sve od sebe da bi riješila stambeno pitanje.
There were many things that we needed to do to prepare for our trip.	Bilo je nužno učiniti mnoge stvari oko priprema za putovanje.
Tom can't even play one song on his ukulele without making mistakes.	Tom ne može niti jednu pjesmu odsvirati na svom ukulele bez pogrješke.
What was the name of the hotel where you stayed in Boston last year?	Kako se zvao hotel u Bostonu u kojem si bio prošle godine?
What was the name of the hotel where you stayed in Boston last year?	Kako se zvao hotel u Bostonu u kojem si bila prošle godine?
I was going to run over the notes one last time, but there wasn't time.	Mislio sam proći po bilješkama još jedan put, ali nije bilo vremena.
In China, there's a saying that you can't judge a person by appearance.	U Kini postoji izreka da ne možeš suditi čovjeka po izgledu.
In Japan, relations between neighbors are apt to be cooler than in USA.	Susjedski odnosi u Japanu su obično hladniji nego u SAD-u.
Would you please stop singing so loudly? This is not a cheap drinking place.	Možete li prestati pjevati tako glasno? To nije nekakva krčma.
I'm sure this will cause additional problems for you, but it can't be helped.	Znam da će ti ovo uzrokovati dodatne probleme ali ništa se ne može napraviti.
With this price, your product would not be competitive in the Japanese market.	S takvom cijenom vaš proizvod neće preživjeti konkurenciju na japanskom tržištu.
The politician had sticky fingers, and 5% of every contract ended in his pocket.	Političar je imao ljepljive prste, jer je 5% od svakog ugovora završilo u njegovom džepu.
The average American living space is twice as large as the living space in Japan.	Prosječni prostor življenja u Americi je dva puta veći nego u Japanu.
Louis Braille, who was blind from the age of three, invented a way for the blind to read.	Louis Braille, slijep od treće godine, je izumio način kako slijepi mogu čitati.
