Help!	Uhupai!
Tom made the same mistake again.	Minaan sala i Tom do kawawagu nogi.
Tom said Mary didn't seem angry.	Au otogod i Mary ka di Tom.
Tom, you're wanted on the phone.	Oi Tom, tolipoun montok diya.
We have three minutes remaining.	Haro po tolu minit dahai.
Do you want another one of these?	Manu ko' tiso kaagu?
Do you want to come out and play?	Manu kou ongoi soliwan om main?
Don't speak with your mouth full.	Kada boroso miampai do noponu taakanon id suang kabang nu.
He introduced me to his daughter.	Popointutun iyau di tanak tondu dau kumaa doho.
How do you say "hello" in French?	Nunu ka do boros Poransis "kopiwosian"?
How do you say "yuri" in English?	Nunu ka do boros Inggilis "yuri"?
How is it going with your family?	Okuro-kuro habar di paganakan nu?
I am four years younger than him.	Omulok oku mantad dau apat toun.
I can't make head nor tail of it.	Au oku milo maan do tulu toi ko tikiu dau.
I just don't want to go with Tom.	Mada oku daa mongoi ruhang maya di Tom.
I want to ask you one last favor.	Muhot oku diya po toruhai kio.
I'd rather be a bird than a fish.	Orohian oku do silihon do sada’ mantad ko silihon do tombolog.
I'm not sure what I was thinking.	Uka nunu pomusarahan ku?
If I were you, I'd paint it blue.	Nung yoku nopo nga ika, maan oku'ndo saat do tobulou.
Malaria is a preventable disease.	Haro o angkang mantad do toruol Malaria.
Not all of the staff was present.	Aiso koinsanai pakaraja tuminindapou.
She was almost run over by a car.	Oruhai po tohubon isido do korita di tiinu.
The storm caused a lot of damage.	Sabap nopo tongus ti nga kogumuan do naraag.
This is more expensive than that.	Apagon iti gatang ko mantad dilo.
Tom filled the bottle with water.	Monuang i Tom do waig id suang do butul.
Tom has been a perfect gentleman.	I Tom nopo nga kusai dot osonong kopio.
Tom is apparently a truck driver.	Pakarajaan di Tom nopo dinondo nga papapanau luri.
Tom is suffering from a headache.	Kisinduol tulu di Tom.
Tom thought Mary could beat John.	Andasan di Tom daa om kasaap i Mary di John.
Tom told me not to do that again.	"Kada maai kaagu" ka di Tom kumaa doho.
Tom wanted to wear his new shoes.	Manu i Tom panangkasut wagu dau.
Tom weighs at least 70 kilograms.	Winagat nopo di Tom nga 70 kilogram.
Tom went downtown to do shopping.	Minoi i Tom supping hilo'd talun-alun.
We'd like another bottle of wine.	Onuai yahai do sombotol wain po kaagu.
What did you do on your birthday?	Nunu mangan nu id ontok timpu do tadau kinosusuon nu?
What happened to Tom? Is he dead?	Nokuro di Tom? Napatai iyau dii?
Wild boars have dug up my garden.	Noukadan do tumo ku mantad do bakas.
You're in better shape than I am.	Osonong tomod ura tinan nu mantad doho.
Did you know Tom was unhappy here?	Oilaan ko di Tom tu au otood iyau hiti?
Even Tom himself wasn't convinced.	I Tom nga amu no kalansan sondiri.
Have you been able to contact Tom?	Nakaanu ko' nopongo monolipoun di Tom?
Have you heard this story already?	Nokoumbal kou nokorongou diti tangon no?
How do you say "pasta" in Italian?	Nunu ka do boros Itali "pasta"?
How do you say "pizza" in Italian?	Nunu ka do boros Itali "piza"?
I don't know how deep the lake is.	Au oku nokoilo songkuro rinalom do botung dilo.
I study at a university in Boston.	Poingsikul oku id Unibisiti Boston.
I was told to be here on the 13th.	Nosunudan ku do moi hiti id tadau ko-13.
It is dangerous to drink too much.	Koligagaanan nung adalaan do moginum.
My hens laid fewer eggs last year.	Minogontolu o golupo ku dot okuukuri id toun nakatalib.
That fox must have killed the hen.	Atantu no ilo tompu mooi patayo do golupo.
There are some cookies in the jar.	Haro tindalam hodi suang do kakanan.
This is the temple where he stays.	Hiti no walai sambayang dot iyonon dau.
Tom left school right after class.	Mongoi labus i Tom mantad sikul kalapas do kalas.
Tom never wants to see Mary again.	Au i Tom siongoi ruba di Mary nodi.
We managed to escape just in time.	Nokoidu' tokou daa ii.
You don't want it to get infected.	Mada ko do koontok do rolihon.
You may choose whichever you want.	Milo' ko' momili nunu pokionuan nu.
Are we still on for tomorrow night?	Koongoi ko yahai id suab totuong dii?
Do you really want to live forever?	Manu ko po nangku poingiyon do sogigisom?
Have any of you ever talked to Tom?	Nokoumbal kou po nangku minonongkiboros miampai di Tom?
He always listens to serious music.	Asaru kopio iyau mokinongou do loyuk.
He broke up the chair for firewood.	Monipu isio do tirikohonon silihon do suduon.
How do you say "kaisha" in English?	Nunu ka do boros Inggilis "kaisha"?
I am married and have two children.	Nakasawo oku no om duo kitanak.
I don't think what I did was wrong.	Au oku kosorou do nunu nopo sala ku.
I missed my family, so I went back.	Langadon oku do paganakan ku, om gowoi poddi moi uli.
I usually have a snack around 2:30.	Oubas oku mooi akan do taakanon id jam 2 satanga.
Man is the only animal that laughs.	I tulun no koilo mongirak ko tayam do suai.
Please answer this question for me.	Simbaro iti ponguhatan kumaa doho.
She doesn't know that I'm Japanese.	Au yau noilaan kaka yoku nopo nga i tulun Gipun.
The lion is the king of the jungle.	Ih singa nopo nga wowoyoon hiri'd gowuton.
They wash their car every Saturday.	Asaru iyolo monusi korita diolo tikid tadau koonom.
Tom didn't have time for breakfast.	Ingaa timpu i Tom mangakan dongkosuabon.
Tom has already finished breakfast.	Nopongo nodi i Tom do moginduruk.
Tom has already finished breakfast.	Nakaakan nodi i Tom dongkosuabon.
Tom is the cutest boy in the class.	Ih Tom nopo nga tanakwagu tongoporodot id kalas.
Tom may have taken the wrong train.	Nakasalu i Tom suminakai do kuritapui.
Tom says he'll call Mary next week.	Lohowon iyau ndo Mary id minggu tobontol ka di Tom.
Tom scolded his son for being lazy.	Otogod i Tom di tanak kusai dau tu gobulan.
Tom should've arrived by this time.	Apatut no i Tom korikot hiti'd baino.
What grade did you get on the test?	Nunu dot onuan diya'd ponisaan?
Children don't need their own rooms.	Au i tangaanak mumang do linimput diolo.
Did you know that Tom would be here?	Noilaan kou di Tom korikot hiti?
Do you know Tom's girlfriend's name?	Nokoilo ko'd ngaran sumandak di Tom?
He took something out of his pocket.	Onuan iyau id suang do pakit dau.
How do you say "good bye" in German?	Nunu ka do boros Jorman "hino ko' no"?
I don't see how you can ignore this.	Au oku kokito poingkuro daa pologoson nu dilo.
I don't think you really understand.	Au ko kopio orotian kangku daa.
I don't want to see your face again.	Mada oku mintong turos nu nogi.
I have to finish doing this by 2:30.	Mositi oku momongo diti id jaam ko-2 satanga.
I think I should join a study group.	Sorohon ku nga apatut no mooi amung do pisompuruan do palajaran.
I thought you guys had already left.	Andasan ku nopo daa om nokoongoi kou di.
I would like you to go home with me.	Manu oku diya muli walai maya doho.
Illness prevented me from going out.	Toruol diri nga mongodu doho mooi labus.
Let's drink to our charming hostess!	Kanou moginum miampai do pakaraja tondu tolumis tokou!
She got a part-time job as a typist.	Kikaraja isido dot oruhai sabaagi do mananaip.
She talks as if she knew everything.	Mimboros iyau do nunu nopo di noilaan dau do ngawi.
Tom and Mary live in the same house.	Poingiyon i Tom om i Mary do walai dot irad.
Tom didn't want Mary to drive drunk.	Mada Tom manganu montok Mary papapanau lo korita dit lumogop.
Tom has been asked to leave already.	Pinoposunud i Tom nodi do lumabus.
Tom was entranced by Mary's singing.	Nokorongou i Tom do sinding di Mary.
We're not lost. I know where we are.	Au yahai apalid. Oilaan oku do hombo yahai.
"Why are you angry?" "I'm not angry!"	"Nokuro tu otogod ko?" "Au oku otogod bogia!"
Christmas is just two weeks from now.	Haro po duo minggu do Krismas mantad baino.
Couldn't you have just waited a week?	Au kou mangandad no sominggu?
He rose from his chair to welcome me.	Minangangat iyau do tirikohonon dau mooi do porikoton montok doho.
I bet Tom never kissed you like that.	Au ko tunguban di Tom miagal diri kangku daa.
I don't know how to be happy anymore.	Au oku koilo songkuro daa kataadan diri.
I tried to learn the melody by heart.	Umbalan ku pohondomon dilo loyuk.
I'm sure Tom doesn't do that anymore.	Au i Tom maan diri nogi kangku daa.
She divided the cake between the two.	Miniduo isido do kiik.
She is very anxious about his health.	Tumongob i ginawo disido kokomoi kolidasan disio.
She was beautiful when she was young.	Olumis isido id tontok do komulakan disido.
She was born and brought up in Osaka.	Nosusu isido om guminayo nondo hilo'd Osaka.
The store is open all the year round.	Mongiwang o kadai do sontob sontoun diri.
This picture is from three years ago.	Gambar nopo ti nga mantad do tolu toun nodii.
Those hens lay eggs almost every day.	Mogontolu ilo golupo do monikid tadau.
Tom doesn't believe Mary can do that.	Au i Tom mumboyo di Mary do milo maan dilo.
Tom doesn't really enjoy translating.	Mada i Tom kopio papadalin do boros.
Tom wasn't able to do what he wanted.	Au i Tom koilo do nunu kopio wonsoyon dau.
Were you able to watch TV last night?	Nakaanu ko do mintong TV kosodop?
What foods should a diabetic not eat?	Nunu taakanon dot au milo akanon di toruol do diabetik?
Which direction were they heading in?	Honggo tiso wayaan diolo?
While napping, I had a strange dream.	Donkoodopon ku, osuai-suai tinipi ku.
Your dress is already out of fashion.	Alaid kopio kokitanan pakaian nu.
He traveled to Hawaii with the family.	Moi iyau tombului hilo'd pogun Hawaii maya di paganakan.
How do you say "I love you" in French?	Nunu ka do boros Poransis "muhang oku dika"?
I didn't know you were looking for me.	Au oku oilaan tu iya mongilot doho.
I don't believe we've been introduced.	Au oku kotumbaya dot nointutunan dahai.
I don't even know who you are anymore.	Au oku kointutun diya nodi.
I had never seen her before that time.	Au oku nokoumbal nokokito disido.
I thought your remark was interesting.	Andasan ku daa om osonong do tanda nu.
My nephew is getting married tomorrow.	Misawo i manangaman ku id suab.
The children were playing in the park.	Mogimaamain ilo tangaanak hilo'd taman.
The death penalty should be abolished.	Mongotus no kama ilo sogit kapatayan.
Tom would like to paint his room blue.	Manaat i Tom do bulou hodi bilik dau.
Artists are highly respected in France.	Pantangon o atis-atis hilo'd pogun Poransis.
For God's sake, what are you up to now?	Atuukoi, nunu maan nu dinondo?
He killed himself at the age of thirty.	Kuminiros iyau tontok do tumur tolu nohopod toun.
He wasn't at home when I called on him.	Ingaa no iyau hilo'd dualai dau soira tinolipoun ku dau.
How do you say "thank you" in Japanese?	Nunu ka do boros Gipun "pounsikou"?
I don't know anything about their plan.	Au oku oilaan nunu nopo pomomonsoyon diolo.
My sister will be getting married soon.	Sawaan i taka ku do tiinu.
She has become more and more beautiful.	Lobi ongolumis isido.
She was happy that she passed the exam.	Otood ginawo disido tu nakalantoi id panantaban.
Tatoeba.org is offline for maintenance.	Au noukab po Tatoeba.org tu haro kinoundaran.
The hard disk was completely destroyed.	Naraag ngawi ilo kakamot haddis.
Tom's dog likes to lick people's faces.	Orohian o tasu di Tom silaon id turos do wokon.
We can get along very well without you.	Osonong yahai kopio miampai do aiso iya.
What prevented you from coming earlier?	Nunu kobolingkangan nu rikoton hiti'd tosopung?
Any watch will do as long as it's cheap.	Nunu nopo jaam piya nga milo' do solinaid nopo daa omura gatang dau.
I like to decorate my room with flowers.	Orohian oku do polumison bilik ku maya do tusak bunga.
I want two hot dogs with lots of pepper.	Manu oku daa duo hut dug miampai dot ogumu lado'.
I'd rather discuss this at a later time.	Somoonu yahai kopibooboros dilo kawagu.
Something is wrong with this calculator.	Haro kobolingkangan iti kakulator.
Tom didn't know where to burn the trash.	Au i Tom koilo hombo potutudan do rinomos.
Tom has a date with Mary this afternoon.	Haro timpu pinirubaan i Tom miampai di Mary dangadau diti.
What time do you think Tom will be back?	Jaam kopiro muli di Tom do tiinu?
Where were you born and how old are you?	Hombo kinosusuon nu om piro no toun nu?
Cats have the ability to see in the dark.	Haro o tungau do milo mintong dot otuong.
Don't you want to come to Boston with me?	Au ko moi hiti Boston miampai doho?
He doesn't know what he's supposed to do.	Au iyau koilo do nunu dot apatut mangan dau.
His advice encouraged me to try it again.	Boros dau lo minonuduk doho umbalan po kawagu.
How can something so wrong feel so right?	Nokuro tu haro nopo kisala' nga otopot nogi?
I can't do that unless I have Tom's help.	Au oku milo wonsoyon dilo nga mogot daa haro uhupan di Tom.
I don't even know where she is right now.	Uka moti hombo isido baino?
I have expected his death for six months.	Kapatai matu iyau id onom tulan kangku daa.
I played trumpet in our high school band.	Nokoumbal oku pinopouni do torumpit id tontok posikulan do tiim.
I'm reading the Bible for the first time.	Mongomoi oku do baibol id koiso.
It is dangerous to fly in this heavy fog.	Haro koligagaanan nung tumulud hilo'd lisohu dot akapal.
She wouldn't allow me to read the letter.	Au isido doho papabasa diri surat.
The old man is taking a walk in the park.	Manau-panau i gaman hilo'd taman.
There's more ways than one to kill a cat.	Haro lobi po mantad ko songulun mamatai do tungau.
There's more ways than one to kill a cat.	Haro lobi po mantad ko tiso mamatai do tungau.
They dropped an atomic bomb on Hiroshima.	Pinorotu diolo do bodilan atom hodi Hiroshima.
Tom and Mary adopted a child from Russia.	Minongkibit i Tom om i Mary do tanak mantad hilo'd pogun Russia.
Tom chose the color to paint our offices.	Momili i Tom do wotik montok powotikon do tupis dati.
Tom noticed that Mary had washed the car.	Nokoilo i Tom di Mary tu nokosusi nodi do kurita.
Tom told me that he hadn't done that yet.	Pinoilo oku di Tom tu au po momongo dilo.
Tom, what do you want to have for dinner?	Oi Tom, nunu siakan nu don totuong diti?
We are going to the movies. Come with us.	Moi yahai intong wayang. Kaino tumanud dahai.
Will you kindly let me have a look at it?	Mintong ko po dilo hodi do toruhai?
You said you needed me to sign something.	Manu ko doho mananda longon ku dilo hodi kanu dii.
He promised me that he would come at four.	Minamatos iyau korikot id jaam kaapat.
I didn't drink the wine Tom poured for me.	Au oku moginum do wain do ponuangan di Tom.
It is against my principles to tell a lie.	Iti nopo nga kababakan do undang-undang ku nung poiloon ku do tudut.
It's your decision whether you go or stay.	Iti no pokionuan nu tam siongoi toi ko mangandad.
Let me know if there is anything I can do.	Poiloo oku nung haro o numaan.
She stayed in that area for a short while.	Noiyon isido hilo'd kinoiyonon dot oruhai.
That island's population lives on fishing.	Ogumu poingiyon hilo'd pogun tokoro maan pagapon.
The company is on the verge of bankruptcy.	Osomok-somok nodi ilo sarikat do korikot id korutuman do kousinan.
Tom seems to know exactly what he's doing.	Miagal do noilaan i Tom do numaan dau.
Tom should already be in Australia by now.	Apatut no korikot i Tom hilo'd pogun Australia dinondo.
Tom told me you used to live in Australia.	Nokosunud i Tom kumaa doho tu poingiyon ko hilo'd pogun Australia.
Tom wanted Mary to say that she loved him.	Manu i Tom do boros di Mary kaka guminawo iyau disio.
What would you do if you were in my place?	Nu mangan nu id walai ku tinu?
Generally speaking, history repeats itself.	Ih kosoruan nga mimban-simban iri susuyan dau.
I didn't arrive until the meeting was over.	Au oku rumikot po gisom dot aawi iri pirubaan.
I like to visit cemeteries. Is that normal?	Siongoi oku hilo'd pamalabangan. Obuli?
I'm looking forward to getting your letter.	Andadon ku mongintong suatan nu.
I'm sure Tom won't be willing to work late.	Oilaan oku daa di Tom amu no kadalaai do kumaraja.
The beginning of the story was interesting.	Kolihis ginawo ilo potimpuunan do tangon.
The nail that sticks up gets hammered down.	Nababak ilo sondulu do monokot dilo hodi.
The teacher told the boy not to make noise.	Minogodu i mongingia kumaa tanak kusai tu agangau dau i.
The thief ran away when he saw a policeman.	Nokoidu i manakau soira nokokito iyau do pulis.
There were three women standing at the bar.	Tolu no tondu poingkakat hilo'd bar.
There's still plenty that needs to be done.	Haro po momongoh dot kawagu.
This grocery store only sells organic food.	Haro padagangan do taakanon kiruganik hilo'd kadai pomolian taakanon.
This is the first time I've ridden a horse.	Kumoinsan ku do sumalakoi do kuda.
Tom and Mary hurried up the steps together.	Pinoposiau i Tom om i Mary do wayaan laang.
Tom hasn't finished writing the report yet.	Au po minomongo i Tom do ripot.
Tom will be a university student this year.	Silihon i Tom do susumikul id uniborsiti toun diti.
Tom's body was found along a deserted road.	Haro tinan di Tom hilo'd wayaan do tindal.
Water the flowers before you eat breakfast.	Tuntugai ilo tusak tintod do mangakan dongkosuabon.
Why don't you go out and get some firewood?	Obuli ko daa mooi pokisuduon?
You have plenty of time to catch the train.	Haro no kosiwatan nu do momogusa dilo tinjin.
At last, her dream to be a doctor came true.	Au alaid diti, korikot nodi kalansanan dau sabaagi do dukutur.
I have been waiting for almost half an hour.	Mangandad oku do solinaid satanga jam.
I wonder whether Tom is free this afternoon.	Tam osimbayan i Tom dangadau diti toi ko amu.
Nobody can live to be two hundred years old.	Aiso tulun milo poimpasi gisom do duo nahatus toun.
The cake was all eaten up before I got home.	Naakanan no dilo kiik ngawi tintod do muli dualai.
The cow gave birth to a calf with two heads.	I sapi nopo nokosusu do songinan tampanak miampai duo tulu.
The garden was surrounded by a wooden fence.	Haro tansar do kayu id posorili do tumo.
The house was struck by lightning yesterday.	Notinggorudan do walai kosodop.
The spider web glistened in the morning dew.	Nayapasan do walai korut o bolobou dongkosuabon.
This box is very heavy, so I can't carry it.	Awagat tomod iti kaban, au oku milo kumakat diti.
Tom really wanted a cup of hot black coffee.	Manu kopio i Tom do sanggalas kupi talasu.
We were waiting for the boat for many hours.	Aandad-andad nodi tokou do parau' id piipiro jaam.
What'll happen to you if you don't obey Tom?	Nunu o kaantakan nung au ko rumamit di Tom?
Chicken pox is a common sickness in children.	Lubpu nopo ti nga kosoruan do toruol kumaa di tanganak.
Finally, I found the answer to your question.	Nokokito oku no sisimbar montok ponguhatan nu.
He asked me to wait there until he came back.	Suminunud iyau doho moi pagandad hilo gisom do gulion dau.
He left the room without even saying goodbye.	Sumoliwan iyau mantad do bilik miampai aiso boros "hino ko no".
I don't like this shirt. Show me another one.	Mada oku dilo hodi basaan, pokitonon oku do kawagu.
I don't like this shirt. Show me another one.	Mada oku dilo hodi rasuk, pokitonon oku do kaagu.
I don't work as many hours a day as Tom does.	Au oku kumaraja do togumu timpu miagal do karaja di Tom.
I hope to get away from Tokyo for a few days.	Alansan oku daa mugad mantad id Tokyo do piipiro tadau.
I want to talk to as many people as possible.	Monongkiboros oku daa do piipiro tulun diri.
I wasn't as angry as everybody thought I was.	Tootopot ti nga au oku otogod tu ondos diolo koinsanai nopo daa yoku nga otogod.
I'd like you to help me gather some firewood.	Mumang oku diya mooi pokisuduon.
I'm not sure whether Tom will do that or not.	Tou no i Tom mangan toi ko amu kangku daa.
Rabbits are related to beavers and squirrels.	Miagal o Labit maya kawo o bongol om bosing.
The first half of the story is set in Boston.	Tangon nopo kumoinsan do satanga nga hiri'd Boston.
The real issue is how to prevent the disease.	Kobolingkangan nopo ti nga poingkuro ma angkang mantad diri toruol.
There's a fireplace, but there's no firewood.	Haro o ropuan hilo nga ingaa o suduon.
Tom and Mary never kiss each other in public.	Au i Tom om Mary kopitungub id labus walai.
Tom goes to the supermarket almost every day.	Mongoi i Tom hilo'd kadai pomolian tagayo monikid tadau.
Tom has been in the hospital for three weeks.	Nokorikot no tolu minggu i Tom id supital.
Tom has been in the hospital for three weeks.	Nokorikot no tolu minggu i Tom id lamin pongusapan.
Vaccinations help prevent childhood diseases.	Milo o vasinasi do monguhup tangaanak do angkang toruol.
After he had done his homework, he watched TV.	Kopongo do karaja sikul dau, mintong iyau do TV.
He accidentally hit his thumb with the hammer.	Naantakan disio do gondoling sondiri o dunsul.
I have to go to the airport to meet my cousin.	Mongoi oku ruba kama di pinsan ku hilo'd tutumpoon kapal tutumulud.
I thought it would be better to remain silent.	Andasan ku daa om mogot nogi pakadaada no.
One's teachers should be treated with respect.	Apatut no manahak do pantang kumaa di mongingia.
Parents punish their children for misbehavior.	Natagadan di tanganak do komolohingan tu oruya iyolo.
She came back ten minutes after the explosion.	Nokouli isido do hopod minit katalib do timpu kokoboongon.
She's sitting in the kitchen and drinking tea.	Mirikau isido hilo'd dompuran om monginum do tii.
The army was advancing in the wrong direction.	Nakasalu' i susumangod do wayaan.
They had not fought for more than forty years.	Aiso nodi saapan diolo lolobi do apat nohopod toun.
Tom put the lid back on the peanut butter jar.	Monompon i Tom dilo bakas tumau sapi kasang.
Tom sat at the end of the bar, nursing a beer.	Minirikau i Tom hodi pompod do kadai poginuman, om kakatan dau do bior.
Tom tried to make sense of what just happened.	Umbalan i Tom poiloon do nunu kinaantakan.
Do you know any good places to eat around here?	Nokoilo ko do hombo pangakanan dot osonong hiti posorili tiiyonon?
I believe that everyone will like this picture.	Otumbayaan oku dot orohian i koinsanan dilo gambar.
I still haven't told Tom why I want to do that.	Au oku po poiloon kumaa di Tom do nunu sabap maan ku dilo.
I thought this pair of shoes would last longer.	Andasan ku nopo ilo kolumpa nga katahan di.
I will be watching TV about this time tomorrow.	Mintong oku do TV id maamaso do suab.
Illness prevented him from attending the party.	Toruol disio mangantob iyau mongoi hiri'd karamaian.
People wear masks to prevent getting a disease.	Monompon o tongoulun do tuping montok do angkang do rolihan toruol.
Tom always tries to do what he thinks is right.	Umbalan i Tom kasasari do nunu nopo topot id pomusarahan dau.
Tom didn't know he no longer needed to do that.	Au i Tom oilaan tu au tagal maan no dilo.
Why did you suddenly leave yesterday afternoon?	Nokuro tu minooi ko konihab dangadau di?
Do you have any tickets for today's performance?	Aiso tikit nu montok abaabayan dinondo di?
I'm from Wellington, the capital of New Zealand.	Mantad oku hilo’d Wellington, bandar tagayo do pogun New Zealand.
Please do your chores before you go out to play.	Maai po karaja nu id walai tintod do moi pamain id labus.
She is in the habit of jogging before breakfast.	Oubas isido moi panangkus tintod do taakanon dongkosuabon.
Six hundred thousand men were killed or wounded.	Tam minatai toi ko korualan di onom nahatus ribu o tulun.
The boy was accused of cheating during the exam.	Minonondos i tanak kusai tu mongudut id timpu do panantaban id sikul.
The doctor advised my father to give up smoking.	Mamason i dukutur kumaa di tama ku do tingkodon momungkus.
Tom has probably already been to the bank today.	Nokoongoi matu i Tom hilo'd walai poopian tusin dinondo.
Tom says doesn't have the time to eat right now.	Aiso timpu mangakan baino ka di Tom.
Tom should have known better than to trust Mary.	Apatut no noilaan i Tom mantad ko mumboyo di Mary.
Your parents are just worried about your safety.	Tumongob i komolohingan nu do kosonong-sonong nu.
Did Tom say he didn't think we needed to do that?	Okon ko boros ka di Tom dot au yau ondos nopo manu dahai maan dilo?
Don't ask me why but, he ran away when he saw me.	Kada oku uhoto nga minogidu iyau sondiri soira koruba doho.
I caught a big fish yesterday with my bare hands.	Minanabpo oku do sada maya longon ku kosodop.
I have a friend whose father is a famous pianist.	I tapa di tambalut ku nopo nga songulun pamain piano do nointutunan.
I'd like to know more about what happened to Tom.	Monongkoilo oku kokomoi do kinaantakan di Tom.
Tom could hear birds chirping outside his window.	Korongou i Tom do tuni tombolog id soliwan do liligaon dau.
A piano is expensive, but a car is more expensive.	Apagon gatang ilo piano nga lobi apagon gatang nogi iri korita.
Eating healthfully can help prevent heart disease.	Mangakan do taakanon tolidas milo papaharo do angkang tundu-undu’ toruol.
I don't think I've heard that word in a long time.	Alaid matu au nokorongou diri boros dot sorohon ku.
I hope he'll be able to come! I'd like to see him.	Alansan no daa korikot isio di! Siruba oku disio.
The problem is who is going to tell him the truth.	Iri podi kaala tu isai daa poposunud disio dot otopot?
Tom wanted to go, but he had lots of things to do.	Manu i Tom mongoi, nga haro karaja dau amu nootus nopongo.
Why have the apes evolved more than other animals?	Nokuro tu ogumu tongo kara mantad ko dupot wokon?
You know how to change it, you just don't want to.	Noilaan ko' do poposimban diri, nga mada ko' dii.
Do you plan to spend your summer vacation with Tom?	Tumanud ko mongoi tombului id tontok koundarangan miampai di Tom?
Do you want to spend the rest of your life in jail?	Manu ko do sogimpasi hiri suang jiil?
I've been able to drive for more than twenty years.	Nokoilo' oku papapanau do korita lolobi po mantad duo nohopod toun.
It was in 1939 that the Second World War broke out.	Tontok do toun 1939 nodi nokoimbulai o pisangadan do pomogunan koduo.
Life in prison is worse than the life of an animal.	Lobi araat poingiyon id giil mantad ko’ koposion do dupot.
Never in my life have I seen such a peaceful sight.	Au oku insan momuriman iri kokitanan dot kalansahan.
Please be careful with this knife. It's very sharp.	Intang-intangan no iti pais. Alawis tomod iti bo.
Her health has been declining these past few months.	Amu osonong kolidasan tinan disido id piipiro tulan.
I have been living in Rio de Janeiro for four years.	Nokoumbal oku poingiyon hilo'd Rio de Janerio solinaid apat toun.
I'm going to find you wherever you are and kill you.	Ihumon ku ndo diya id hinonggo-nonggo nopo om patayon tiya.
Tom lay on his bed and cried softly into his pillow.	Lumii i Tom id toodopon dau om mihad-ihad id timpak do bantal dau.
You can't just leave us here with no food and water.	Au kou milo tongkiadai dahai hiti miampai do ingaa o taakanon om waig.
I recently broke up with my boyfriend of three years.	Tuminongkiad oku id solinaid piginawaan ku maya tanakwagu ku do tolu' toun di tinu.
I think this has something to do with Tom's problems.	Iri no matu do kobolingkangan di Tom kangku daa.
I've got the most ideas, and I've got the best ideas.	Haro toilaan ku kogumuan om dot ongosonong nogiddi.
Addition and subtraction are functions of mathematics.	Fungsi nopo poruhangan om pokurian nga pongintaban.
Can you remember the first time you heard the Beatles?	Kosorou ko' po soira kumoinsan ko' mokinongou sinding Beatles?
He was in the habit of taking a walk before breakfast.	Asaru iyau manau-panau tintod do mangakan dongkosuabon.
I wonder if she'll recognize me after all these years.	Kosorou isido po nangku doho id piipiro toun nakatalib diti?
If it rains the day after tomorrow, I'll stay at home.	Nung arasaman suabino, undorongon ku hiti'd walai.
Whether we will go on the trip depends on the weather.	Kuroyon no pakayaan om tombuluyon dahai nga tumanud moti tadau dau.
Tom said he didn't understand what Mary said in French.	Au i Tom karati do nunu boros di Mary kad boros Poransis.
You don't need to apologize. You've done nothing wrong.	Au tagal no pokiampun. Aiso sala minaan nu.
Do you know how far it is from the station to city hall?	Koilo ko' nangku songkuro sinodu ralan mantad hiti'd sitisin gisom hilo'd bandar?
I would rather throw the money away than give it to him.	Asaga oku do pataaman do tusin mantad ko manahak dau.
In order to stay awake, I may have to drink more coffee.	Ih tomodon ku nopo au koodop nga ogumu do inumon kupi.
Tom tried to sneak out of the office without being seen.	Umbalan i Tom moi idu mantad id tupis om au pinologos dau pokitonon do wokon.
It's been a while since I've eaten anything with mustard.	Alaid nodi au oku minangakan do nunu miampai do rinapa mastad.
Some students were sitting on the bench and having lunch.	Haro no susumikul do poingirikau hilo om mogiakan-akan.
The students didn't remember what they read in that book.	Au kosorou i tongo susumikul do nunu binasa diolo do buuk.
Tom has a good grasp of grammar, but is weak in spelling.	Abaal i Tom do puralanboros nga araat kopio ijaan dau.
Tom told me that he couldn't remember the teacher's name.	Momuara i Tom kumaa doho do au iyau kosorou do ngaran di monunuduk.
Unfortunately, I didn't get the chance to see the castle.	Iri podi kaala tu aiso kosiwatan ku mintong diri istana.
You will save yourself a lot of time if you take the car.	Osiyau ko' do timpu sondiri nung sumakai do korita sakayon.
On the table, there was a plate with three fried eggs on it.	Haro no iso pinggan maya do tolu tontolu ginuring id timpak do mija.
I ate half the apple before I noticed there was a worm in it.	Nakaakan oku dilo ipol tintod do nokokito hodi giuk.
Rosa Parks refused to give up her seat for a white passenger.	Au i Rosa Parks mumang do popoirikau id tirikohonon dau kumaa do tulun topurak.
The room was so dark that we had to feel our way to the door.	Otuong tomod hodi suang bilik om ihum-ihumon dahai do wayaan id totobon.
Tom expected at least a ten percent return on his investment.	Andasan di Tom nopo inbismin dau nga hopod pihatus do pogulion.
Burj Khalifa is currently the tallest skyscraper in the world.	Burj Khalifa nopo nga walai kagagampot tawan dot akawas hiti'd sompomogunan.
Didn't anybody tell you that you didn't have to be here today?	Ingaa toi tulun poiloon tiya au tagal moi rikot hiti baino?
I don't feel like working. How about going to a movie instead?	Au oku songkuro koopud do karaja. Manu daa moi intong do wayang?
You were in the second year of middle school last year, right?	Ika doid toun koduo do kalas hilo'd sikul pitangaan do toun nakatalib kon?
If you believe what politicians say, it's really your own fault.	Nung mumboyo ko' nopo boros ka di mimpupulitik, kasalu' kopio diya.
Maybe my grandchild will be the first person to set foot on Mars.	I manangaki ku doti songulun kumoiso do tumulud hiri id planet Mars.
Tom wouldn't mind eating meat and potatoes every day of the week.	Au i Tom monguro mangakan do daging om kantang monikid tadau.
The engineers blew up the bridge because it was about to collapse.	Mamaraag i tongo injiniur dilo sunsuyon tu karaag dot oruhai.
