Hi.	سلام۔
I'll be sixteen on my next birthday.	میں اپنی اگلی سالگرہ پر سولہ سال کی ہو جائو گی۔
I'll take some X-rays of your teeth.	میں تمھارے دانتوں کے کچھ ایکس -رے لوں گا۔
It is not polite to point at others.	کسی کی طرف انگلی سے اشارہ کرنا تمیز کے دائرے میں نہیں آتا۔
The semester exams are finally over.	سیمسٹر امتہان آخرکار ختم ہو گئے ہیں۔
There are many old temples in Kyoto.	کیوٹو میں کافی پرانے مندر ہے۔
Tom always drinks his coffee strong.	ٹام ہمیشہ تیز کافی پیتا ہے۔
We should abolish the death penalty.	ہمیں سزائے موت ختم کر دینی چاہئیے۔
What he said turned out to be a lie.	اس نے جو بتاہا تھا وہ جھوٹ نکل آیا۔
English cannot be mastered overnight.	انگریزی میں ایک رات کے اندر مہارت نہیں حاصل کی جا سکتی۔
He and only he knows the whole truth.	وہ اور صرف وہ ہی پوری سچائی جانتا ہے۔
He decided to submit his resignation.	اس نے اپنا استعفی جمع کرانے کا فیصلہ کر لیا۔
He is likely to pass the examination.	وہ ضرور امتحان میں پاس ہوگا۔
He was tired, but he kept on working.	وہ تھکا ہوا تھا مگر وہ پھر بھی کام کرتا رہا۔
I left my tennis racket on the train.	میں ٹرین پر اپنا ٹینس ریکیٹ چھوڑ آیا۔
I'm not going to the movies tomorrow.	میں کل فلم دیکھنے نہیں جا رہا۔
I'm surprised that you won the prize.	مجھے حیرت ہے کہ تم نے انعام جیت لیا ۔
I'm surprised that you won the prize.	مجھے حیرت ہے کہ آپ نے انعام جیت لیا ۔
I've always wanted to read that book.	میں ہمیشہ سے وہ کتاب پڑھنا چاہتا تھا۔
I've always wanted to read that book.	میں ہمیشہ سے وہ کتاب پڑھنا چاہتی تھی۔
Let's go as soon as it stops raining.	جیسے ہی بارش رکتی ہے، ہم چل پڑے گے۔
Look up the words in your dictionary.	الفاظوں کو لغت میں ڈھونڈو۔
My brother in Kyoto became a teacher.	کیوٹو میں میرا بھائی استاد بن گیا۔
My friend remembered which way to go.	میرے دوست کو یاد تھا کہ کس راستے پہ جانا ہے۔
She advised him to get more exercise.	اس نے اسے ریادہ ورزش کرنے کا مشورہ دیا۔
She finished her homework in an hour.	اس نے اپنا ہوم ورک ایک گھنٹے میں ختم کر لیا۔
They say that he was born in Germany.	وہ کہ رہے ہے کہ اس کی پیدائش جرمنی میں ہوئی۔
They will cut down on their expenses.	وہ اپنے خرچے کم کرے گے۔
This glue does not adhere to plastic.	یہ گوند پلاسٹک کو نہیں جورتی۔
Tom asked if he needed to wear a tie.	ٹام نے پوچھا کہ کیا اسے ٹائے پہننے کی ضرورت ہے۔
Tom speaks French worse than English.	ٹام انگریزی سے بھی زیادہ بڑی فرانسیسی بولتا ہے۔
Tom tried to drink his problems away.	ٹام نے شراب نوشی میں اپنی مشکلیں ختم کرنے کی کوشش کی۔/اپنے غم غلط کرنے کی کوشش کی۔
You don't need to go in such a hurry.	تمھیں اتنی جلدی جانے کی ضرورت نہیں ہے۔
Your mother will be back before long.	تمہاری امی بس آتی ہونگی۔
Your mother will be back before long.	تمہاری ماں بس راستے میں ہو گی۔
All of us were busy cleaning the room.	ہم سارے کمرے کی صفائی کرنے میں مصروف تھے۔
All you have to do is sweep the floor.	تمہیں صرف زمین کی صفائی کرنی ہے۔
Different people have different ideas.	مختلف لوگوں کے مختلف خیالات ہیں۔
English is studied all over the world.	انگریزی پوری دنیا میں پڑھای جاتی ہے۔
Everyone was listening very carefully.	سارے بڑے غور سے سن رہے تھے۔
He does not take care of his children.	وہ اپنے بچوں کا خیال نہیں کرتا۔
I have a lot of passwords to remember.	مجھے کافی زیادہ پاسورڈس یاد دکھنے پڑتے ہے۔
I have heard that song sung in French.	میں نے اس گیت کو فرانسیسی زبان میں گایا ہوا سنا ہے۔
I know his address, but it's a secret.	مجھے اس کے گھر کا پتہ معلوم ہے، مگر یہ ایک راز ہے۔
I understand how to solve the problem.	میں سمجھ آگئی ہے کہ اس مسئلہ کو کیسے حل کرنا ہے۔
I wanted to make some telephone calls.	میں کچھ ٹیلی فون کالیں کرنا چاہتا تھا۔
I wanted to make some telephone calls.	میں کچھ ٹیلی فون کالیں کرنا چاہتی تھی۔
I went to sleep as soon as I got home.	میں گھر پہنچتےساتھ ہی سو گیا۔
I won't go out until it stops raining.	میں تب تک باہر نہیں جائو گا جب تک بارش نہیں رک جاتی۔
I won't go out until it stops raining.	میں تب تک باہر نہیں جائو گی جب تک بارش نہیں رک جاتی۔
It's not easy to understand his ideas.	اس کے خیالات کو سمجھنا آسان نہیں ہے۔
My mother has made me what I am today.	میں آج جو کچھ ہوں، اپنی ماں کی وجہ سے ہوں۔
She helped the old man cross the road.	اس نے بزرگ کی سڑک پاڑ کرنے میں مدد کی۔
She helped the old man cross the road.	انہوں نے بزرگ کی سڑک پاڑ کرنے میں مدد کی۔
She's about the same age as my sister.	وہ تقریباّ میری بہن کی عمر کی ہے۔
The snow melted away when spring came.	بہار کا موسم آتے ہی برف پگھل گئی۔
There are some things money can't buy.	دنیا میں کچھ چیزیں ہے جو پیسوں سے نہیں خریدی جا سکتی۔
There are still a lot of things to do.	ابھی بہت سارے کام رہتے ہیں۔
They saw the waiter coming in a hurry.	انہوں نے دیکھا کہ بیرا جلدی سے آرہا ہے۔
We hardly realize how important it is.	ہمیں کبھی کبھی احساس ہوتا ہے کہ یہ کتنا ضروری ہے۔
We talked on the phone until midnight.	ہم رات بارہ بجے تک باتیں کرتے رہیں۔
What'll you be doing over the weekend?	اس ہفتے کو تم کیا کر رہے ہو؟
What'll you be doing over the weekend?	اس ہفتے کو تم کیا کر رہی ہو؟
What'll you be doing over the weekend?	اس ہفتے کو تمہارا کیا سین ہے؟
You are mad to try to do it all alone.	تم پاگل تھے جو اکیلے کرنے چلے گئے تھے۔
You look just like your older brother.	تم بلکل اپنے بڑے بھائی کی طرح لگتے ہو۔
You look just like your older brother.	آپ بلکل اپنے بڑے بھائی کی طرح لگتے ہیں۔
A few people clapped after his lecture.	لیکچر کے بات تھورے سے لوگوں نے تالیاں بجائی۔
He remembers writing to her every week.	اسے یاد ہے کہ وہ اسے ہر ہفتہ خط لکھتا تھا۔
He showed me a lot of beautiful photos.	اس نے مجھے ڈھیڑ ساری خوبصورت تصویریں دکھائیں۔
He showed me a lot of beautiful photos.	انہوں نے مجھے ڈھیڑ ساری خوبصورت تصویریں دکھائیں۔
He speaks English with a German accent.	وہ انگریزی جرمن لہجہ میں بولتا ہے۔
He still hasn't responded to my letter.	اس نے ابھی تک میرے خط کا جواب نہیں دیا۔
I don't know exactly when I'll be back.	بجھے نہیں پتہ کہ میں کب واپس آئو گا۔
I don't want to live my life like this.	میں اپنی زندگی ایسے نہیں گزارنا چاہتا۔
I have a message I want you to deliver.	میرے پاس ایک پیغام ہے جو تم نے پہنچانا ہے۔
I met him when I was staying in London.	میں اس سے لندن ملا تھا جب میں وہاں رہ رہا تھا۔
I translated the poem the best I could.	میں جتنا کر سکا اتنا میں نے اس نظم کا ترجمہ کر دیا ہے۔
I would play tennis with him on Sunday.	میں اس کے ساتھ اتوار کو ٹینس کھیلو گا۔
If you want to, call me this afternoon.	اگر آپ کال کرنا چاہتے ہیں تو مجھے دوپہر کو کر لی جئے گا۔
If you want to, call me this afternoon.	اگر تم کال کرنا چاہتے ہو تو مجھے دوپہر کو کر لے نا۔
It was his silence that made her angry.	اس کی خاموشی نے لڑکی کو ناراض کر دیا تھا۔
It's exactly what I was thinking about.	میں بالکل اسی بارے میں سوچ رہا تھا۔
It's exactly what I was thinking about.	میں بالکل اسی بارے میں سوچ رہی تھی۔
Our country is rich in marine products.	ہمارے ملک میں سمندری اشیائیں بہت ہے۔
Please come. I really want to meet you.	پلیز آجائو۔ میں تم سے ملنے کے لیئے بیتاب ہوں۔
Rabbits have long ears and short tails.	خرگوش کے کان لمبے اور دم چھوٹی ہوتی ہے۔
The doctor arrived in time to save her.	ڈاکٹر نے وقت پہ آ کے اس کی جان بچا لی۔
These are cakes that she baked herself.	یہ وہ کیک ہیں جو اس نے خود بنائے ہے۔
They are currently attending a meeting.	وہ اس وقت ایک اجلاس میں شرکت کر رہے ہیں۔
Those books are always in great demand.	ان کتابوں کی ہمیشہ بہت مانگ رہتی ہے۔
When she entered the room, he stood up.	حب وہ کمرے میں داخل ہوئی تو وہ کھڑا ہو گیا۔
You'll find the shop around the corner.	تمھیں دکان سڑک کے کونے میں ملے گی۔
A loud knocking at the door woke him up.	دروازے پہ زور کی دستک نے اسے جگا دیا۔
At first, I thought he was your brother.	پہلے مجھے لگا کہ وہ تمھارا بھائی ہے۔
At first, I thought he was your brother.	پہلے مجھے لگا کہ وہ آپ کا بھائی ہے۔
Did you get any sleep at all last night?	تم رات کو سو سکے تھے۔
Enter the information into the computer.	کمپیوٹر میں معلومات کا اندراج کرو۔
I don't feel like eating anything today.	میرا آج کچھ کھانے کا دل نہیں کر رہا۔
I don't know whether I have time or not.	پتا نہیں میرے پاس وقت ہے کہ نہیں ۔
I have a feeling that she'll come today.	مجھے لگ رہا ہے کہ وہ آج آئے گی۔
I washed my hands of the whole business.	میں نے اس کاروبار سے اپنے ہاتھ صاف کر لیئے ہے۔
It's difficult to understand his theory.	اس کے نظریہ کو سمجھنا مشکل ہے۔
It's difficult to understand his theory.	ان کے نظریہ کو سمجھنا مشکل ہے۔
It's not easy to be honest all the time.	ہر وقت ایماندار ہونا آسان نہیں ہے۔
Mary helped her mother with the cooking.	مریم نے کھانے پکانے میں اپنی ماں کا ہاتھ بٹایا۔
Mary helped her mother with the cooking.	مریم نے کھانے پکانے میں اپنی والدہ کا ہاتھ بٹایا۔
Mary helped her mother with the cooking.	مریم نے کھانے پکانے میں اپنی ماں کی مدد کی۔
Mary helped her mother with the cooking.	مریم نے کھانے پکانے میں اپنی والدہ کی مدد کی۔
The students range in age from 18 to 25.	طالب علموں کی عمر ۱۸ سے ۲۵ سال ہیں۔
There is a car in front of the building.	عمارت کے سامنے ایک گاڑی کھڑی ہے۔
There were only six people at the party.	پارٹی پہ صرف چھہ لوگ تھے۔
There were only six people at the party.	صرف چھہ لوگ دعوت پہ آئے تھے۔
Those were the saddest hours of my life.	وہ میری زندگی کے سب سے غمگین لمحے تھے۔
Though wounded, they continued to fight.	حالانکہ وہ ذخمی تھے مگر وہ پھر بھی لڑتے رہے۔
Tom blames Mary for all of his problems.	ٹام نے اپنے تمام مسائل کا زمہ دار مریم کو ٹھہرایا ہے۔
Tom usually pays for everything in cash.	ٹام عام طور پر نقد رقم میں ہر چیز کے لئے ادائیگی کرتا ہے۔
We loaded a lot of luggage into the car.	ہم نے گاڑی میں کافی سامان ڈال دیا۔
What're you doing here so late at night?	تم یہاں اتنی رات کو کیا کر رہے ہو؟
Could you put your seat back up a little?	آپ اپنی سیٹ تھوڑی اوپر کر سکتے ہے؟
Go on ahead. I'll catch up with you soon.	تم نکلو۔ میں تھوڑی دیر میں نکلتا ہوں۔
How did you learn how to play the violin?	تم نے وایلن بجانا کیسے سیکھا؟
How long do you think we'll have to wait?	تمہارے خیال میں ہمیں کتنا انتظار کرنا پڑے گا؟
How long will this cold weather continue?	ٹھنڈا موسم اور کتنا عرصہ رہے گا؟
How many people are there in your family?	تمھارے خاندان میں کتنے لوگ ہے؟
How many people are there in your family?	تمھارے خاندان میں کتنے افراد ہے؟
I can't remember the melody of that song.	مجھے گانے کی دھن یاد نہیں آ رہی۔
I think it's sad to not have any friends.	میرے خیال میں کوئی دوست نہ ہونا بہت دکھ کی بات ہے ۔
I wish I had enough money to buy the car.	میری خواہش ہے کہ میرے پاس اتنے پیسے ہو جن سے میں گاڑی خرید سکو۔
I'm sorry, but I can't answer right away.	معاف کیجیئے گا مگر میں ابھی جواب نہیں دے سکتا۔
In hot weather, water evaporates quickly.	گرم موسم میں پانی جلد اڑ جاتا ہے۔
Please refrain from smoking in this room.	برائے مہربانی اس کمرے میں تمباکونوشی سے پرہیز کرے۔
She's a frequent visitor to this country.	وہ اس ملک میں آتی جاتی رہتی ہے۔
That's exactly what I expected to happen.	اسی چیز کے ہونے کی مجھے امید تھی۔
The princess was wearing too much makeup.	شہزادی نے بہت زیادہ میک اپ لگایا ہوا تھا۔
This stone is twice as heavy as that one.	یہ پتھر اس والے سے دگنا بھاری ہے۔
Tom hasn't washed his hair for two weeks.	ٹام نے دو ہفتوں سے اپنے بال نہیں دھوئے۔
What are you doing here so late at night?	تم یہاں اتنی رات کو کیا کر رہے ہو؟
Every member but me believes what he says.	میرے علاوہ باقی کسی بھی ممبر کو اس کی بات پہ یقین نہیں ہے۔
Every member but me believes what he says.	میرے علاوہ باقی کسی بھی ممبر کو اس کی بات پہ بھروسہ نہیں ہے۔
Have you ever screamed in a movie theater?	تم نے کبھی سنیما میں چیخ ماری ہے؟
Have you ever screamed in a movie theater?	آپ نے کبھی سنیما میں چیخ ماری ہے؟
He makes three times more money than I do.	وہ مجھ سے تین گنا زیادہ پیسے کماتا ہے۔
I will lend you as much money as you want.	تمھیں جتنے پیسے چاہئے، میں اتنے تمھیں دے دوں گا۔
I'm going to study English this afternoon.	میں شام کو انگریزی پڑھو گا۔
It was a full moon that was seen that day.	اس دن چودھویں کا چاند دیکھا گیا تھا۔
None of the students were late for school.	کوئی بھی طلبہ سکول کے لئیے لیٹ نہیں تھا۔
Saying and doing are two different things.	کہنے میں اور کرنے میں بڑا فرق ہے۔
Saying and doing are two different things.	بولنے میں اور کرنے میں بڑا فرق ہے۔
Very young children don't know many words.	چھوٹے بچے زیادہ الفاظ نہیں جانتے۔
He could swim fast enough to pass the test.	اس کی تیراکی کی رفتار اتنی تیز تھی جس میں وہ اپنا ٹیسٹ پاس کر لے۔
I felt very relieved when I heard the news.	میں نے خبر سن کے سکھ کا سانس لیا۔
I've always been passionate about football.	میں ہمیشہ سے فٹ بال کے بارے میں جنونی رہا ہوں۔
I've heard the French version of this song.	میں نے اس گیت کا فرانسیسی ورژن سنا ہوا ہے۔
She goes to market every day to buy things.	وہ ہر روز چیزیں خریدنے کے لئے بازار جاتی ہے۔
They say she is the kindest woman on earth.	وہ کہتے ہیں کہ وہ دنیا کی سب سے خوش اخلاق عورت ہے۔
Tom is probably going to be busy on Monday.	ٹام پیر کو شاید مصروف ہو گا۔
Adolescence is often a period of insecurity.	نوجوانی کا دور عموماً عدم تہفظ کا دور ہوتا ہے۔
Applicants are requested to apply in person.	درخواست دہندگان سے گزارش ہے کہ وہ خود آکے اپنی درخواست جمع کرائے۔
Do you sometimes go abroad on your holidays?	تم کیا کبھی ملک سے باہر جاتے ہو چھٹیاں منانے؟
I remember having seen him somewhere before.	مجھے یاد ہے کہ میں نے اسے کہیں پہلے دیکھا ہوا ہے۔
I told Tom I didn't feel like taking a walk.	میں نے ٹام کو بتایا میرا چلنے کا موڈ نہیں ہے
It is against my principles to borrow money.	پیسے ادھار لینا میرے اصولوں کے خلاف ہے۔
My father used to smoke, but now he doesn't.	میرے ابو پہلے تمباکونوشی کرتے تھے مگر اب نہیں۔
Now that you are well again, you can travel.	کیونکہ اب تم ٹھیک ہو چکے ہو، تم سفر کر سکتے ہو۔
Our teacher said that water boils at 100ºC.	ہمارے استاد نے کیا کہ پانی ۱۰۰ ڈگری سینٹی گریڈ پہ ابلتا ہے۔
She is not as beautiful as her older sister.	وہ اپنی بڑی بہن کی طرح اتنی خوبصورت نہیں ہے۔
She's about the same age as my older sister.	وہ تقریباّ میری بڑی بہن کی عمر کی ہے۔
She's been absent from school for five days.	وہ پانچ دن کے لئے اسکول سے غیر حاصر تھی۔
That's why I told you not to go by yourself.	اسی لئیے میں نے تمھیں کہا تھا کہ تم اکیلے نہ جائو۔
The Texans began to organize their own army.	ٹیکسنس نے اپنی خود کی فوج منظم کرنا شروع کر دی۔
There seemed to be no answer to the problem.	اس کے مسلئے کا کوئی سدِ باب نظر نہیں آ رہا تھا۔
There seemed to be no answer to the problem.	اس کی مشکل کا کوئی حل نظر نہیں آ رہا تھا۔
They did not support one group or the other.	وہ کسی بھی گروہ کی ہمایت نہیں کرتے۔
You're the most important person in my life.	تم میری زندگی کے سب سے زیادہ اہم شخص ہو۔
Both my grandfather and grandmother are dead.	میرے نانا اور نانی دونوں فوت ہو چکے ہیں۔
Both my grandfather and grandmother are dead.	میرے دادا اور دادی دونوں فوت ہو چکے ہیں۔
Five years have gone by since my father died.	میرے والد کو گزرے ہوئے پانچ سال ہو گئے ہے۔
Five years have gone by since my father died.	میرے والد کو فوت ہوئے پانچ سال ہو گئے ہے۔
Five years have gone by since my father died.	میرے ابو کو گزرے ہوئے پانچ سال ہو گئے ہے۔
Five years have gone by since my father died.	میرے ابو کو فوت ہوئے پانچ سال ہو گئے ہے۔
He hangs around with the wrong group of kids.	وہ غلط قسم کے بچوں کے ساتھ اٹھتا بیٹھتا ہے۔
He is always finding fault with other people.	وہ ہر وقت دوسروں کی خامیاں ڈھونڈنے میں لگا رہتا ہے۔
He sent fruit and vegetables to his daughter.	اس نے اپنی بیٹی کو پھل اور سبزیاں بھیجی۔
He sent fruit and vegetables to his daughter.	انہوں نے اپنی بیٹی کو پھل اور سبزیاں بھیجی۔
His new book is going to come out next month.	اس کی نئی کتاب اگلے مہینے آ رہی ہے۔
I knew at a glance that he was an honest man.	مجھے اسے دیکھ کر فورا پتہ لگ گیا تھا کہ وہ ایک سچا آدمی ہے۔
I left Japan for the first time in ten years.	میں دس سال میں پہلی دفعہ جاپان سے باہر نکلا۔
I'm confident that I'll win the tennis match.	مجھے یقین ہے کہ میں ٹینس میچ جیت جائوں گا۔
I'm going to work during the spring vacation.	میں بہار کی چھٹیوں میں کام پہ جا رہا ہوں۔
She goes to the supermarket every three days.	وہ سوپر مارکیٹ ہر تین دن بعد جاتی ہے۔
The baseball game was called off due to rain.	بیس بال کھیل بارش کی وجہ سے ملتوی کر دیا گیا۔
The doctor advised my father to stop smoking.	ڈاکٹر نے میرے والد کو مشورہ دیا کہ وہ تمباکونوشی چھوڑ دے۔
The meeting will start at four o'clock sharp.	میٹنگ پورے چار بجے شروع ہو جائے گی۔
The meeting will start at four o'clock sharp.	مجلس پورے چار بجے شروع ہو جائے گی۔
Are you absolutely sure that Tom will do that?	کیا تمہیں پورا یقین ہے کہ ٹام یہ کر لے گا؟
He convinced me that his brother was innocent.	اس نے مجھے قائل کیا کہ اس کا بھائی بے قصور ہے۔
His wife has started to work out of necessity.	اس کی بیوی نے مجبوری میں کام کرنا شروع کیا ہے۔
I have to lose weight, so I'm going on a diet.	مجھے وزن کم کرنا ہے، اسی لئیے میں ڈائیٹنگ شروع کر رہا ہوں۔
I'm sorry to disturb you while you're talking.	قطع قلامی معاف۔
In the United States, school buses are yellow.	امریکہ میں اسکول کی بسوں کا رنگ پیلا ہیں
Science can be used for good or evil purposes.	سائنس اچھے یا برے مقاصد کے لئے استعمال کیا جا سکتا ہے۔
The girl who's playing the piano is my sister.	جو لڑکی پیانو بجا رہی ہے وہ میری بہن ہے۔
We invited our new neighbors over for a drink.	ہم نے اپنے نئے ہمسائیوں کو چائے پہ دعوت دی۔
We watched the baseball game on TV last night.	ہم نے کل رات ٹی وی پر بیس بال گیم دیکھی۔
When the rain stopped, he went out for a walk.	جب بارش رکی تھی تو وہ چہل قدمی کے لیے باہر چلا گیا تھا۔
You should stay in bed for three or four days.	تم تین سے چار دن تک بستر پر رہو۔
You've already decided not to go, haven't you?	تم نے تو فیصلہ نہیں کر لیا نہ جانے کا؟
You've already decided not to go, haven't you?	آپ نے تو فیصلہ نہیں کر لیا نہ جانے کا؟
His novels are, for the most part, very boring.	اس کے ناول، زیادہ تر، کافی بورنگ ہوتے ہے۔
I wish you hadn't told that story to my mother.	کاش تم نے وہ کہانی میری والدہ کو نہ بتائی ہوتی۔
I wish you hadn't told that story to my mother.	کاش تم نے وہ کہانی میری امی کو نہ بتائی ہوتی۔
I wish you hadn't told that story to my mother.	کاش تم نے وہ کہانی میری ماں کو نہ بتائی ہوتی۔
It doesn't matter who says that, it's not true.	اس سے فرق نہیں پڑتا کہ کس نے کہاں ہے، بات ہی غلط ہے۔
One of her cars is blue and the others are red.	اس کی ایک گاڑی نیلی ہے اور باقی لال ہیں۔
One of her cars is blue and the others are red.	اس کی ایک گاڑی نیلی ہے اور باقی ساری لال ہیں۔
Please give me a wake-up call at eight o'clock.	براہ کرم مجھے آٹھ بجے فون کر کے اٹھا دیجیے گا۔
She is staying at a little hotel by the castle.	قلعہ کے پاس ایک چھوٹا سا ہوٹل ہے، وہ وہاں رہ رہی ہے۔
She's curious to find out who sent the flowers.	وہ جاننے کے لئیے بیتاب ہے کہ یہ پھول کس نے بھیجے ہے۔
Ten years have passed since he went to America.	دس سال ہو گئے ہیں اسے امریکہ گئے ہوئے۔
The recent advances in medicine are remarkable.	طب کے میدان میں حال ہی میں ہونے والے ترقی بہت شاندار ہیں۔
The river overflowed because of the heavy rain.	تیز بارشوں کی وجہ سے دریا سے پانی ابل کے باہر آ گیا۔
Three big men attacked him and stole his money.	تین بڑے آدمیوں نے اس پہ حملہ کیا اور اس کے پیسے چڑا لیے۔
When the bomb exploded, I happened to be there.	میں وہی پہ تھا جب بم دھماکہ ہوا تھا۔
Would you please tell me what I should do next?	کیا آپ مجھے بتائیں گے کہ میں اب کیا کروں؟
Would you please tell me what I should do next?	کیا آپ مجھے بتا سکتے ہے کہ میں اب کیا کروں؟
Would you please tell me what I should do next?	کیا آپ مجھے بتائیں گے کہ میں اب آگے کیا کروں؟
Would you please tell me what I should do next?	کیا آپ مجھے بتا سکتے ہے کہ میں اب آگے کیا کروں؟
You should always wash your hands before meals.	کھانے سے پہلے ہمیشہ ہاتھ دھویا کرو۔
At the moment, there isn't anyone in the office.	اس وقت دفتر میں کوئی نہیں ہے۔
Being injured in an accident, he could not walk.	حادثہ میں زخمی ہونے کے بعد، وہ چل نہیں سکتا۔
I plan to study this afternoon after I get home.	میرا پلین ہے کہ شام کو گھر جا کے میں پڑھائی کرو گا۔
It was not in his nature to speak ill of others.	اس کی فطرت میں دوسروں کی برائی کرنا نہیں ہے۔
It was not in his nature to speak ill of others.	ان کی فطرت میں دوسروں کی برائی کرنا نہیں ہے۔
It was so hot that I slept with the window open.	اتنی گرمی تھی کہ میں کھڑکی کھول کے سویا۔
There's something going on between Tom and Mary.	ٹام اور مریم کے بیج میں کچھ چل رہا ہے۔
Tom didn't expect such a nice present from Mary.	ٹام نے مریم سے اتنے اچھے تحفے کی امید نہیں کی تھی۔
What did you say? Could you please say it again?	کیا کہ رہے ہو؟ دوبارہ کہ سکتے ہو؟
Do you think we should import rice from the U.S.?	ہمیں کیا امریکا سے چاول کی برآمدگی کرنی چاہیے؟
Don't you know that he passed away two years ago?	تمھیں نہیں پتہ ، اسے فوت ہوئے دو سال ہو گئے ہے۔
I want a boat that'll take me far away from here.	مجھے ایک کشتی چاہئیے جو مجھے یہاں سے دور لے جائے۔
Just wait a little please. He hasn't arrived yet.	برائے مہربانی تھوڑا انتظار فرما لے۔ وہ ابھی تک پہنچے نہیں ہے۔
Just wait a little please. He hasn't arrived yet.	برائے مہربانی تھوڑا انتظار فرما لے۔ وہ ابھی تک آئے نہیں ہے۔
The accident took place the day before yesterday.	حادثہ پرسو ہوا تھا۔
The construction of the hospital is about to end.	ہسپتال کی تعمیر بس ختم ہونے والی ہے۔
The old woman climbed the stairs with difficulty.	بزرگ عورت بڑی مشکل سے سیڑھیاں چڑھی تھی۔
What would our lives be like without electricity?	ہماری زندگیاں بغیر بجلی کے کیسی ہونگی؟
You don't get up as early as your sister, do you?	تم اپنی بہن کی طرح صبح جلدی نہیں اٹھتے، ہے نا؟
You don't get up as early as your sister, do you?	آپ اپنی بہن کی طرح صبح جلدی نہیں اٹھتے، ہے نا؟
A doctor tried to remove the bullet from his back.	ڈاکٹر نے اس کی پیٹھ سے گولی نکالنے کی کوشش کی۔
I gave my sister a pearl necklace on her birthday.	میں نی اپنی بہن کو اس کی سالگرہ پر ہیروں کا ہار دیا۔
Martin Luther King spent his life seeking justice.	مارٹن لوتھر کنگ نے اپنی زنگی انصاف کے حصول میں گزاردی۔
My father usually watches television after dinner.	میرے والد رات کے کھانے کے بعد عموماً ٹی وی دیکھتے ہے۔
My father usually watches television after dinner.	میرے والد عشائیہ کے بعد عموماً ٹی وی دیکھتے ہے۔
You're working too hard. Take it easy for a while.	تم بہت زیادہ کام کر رہے ہو آج کل۔ تھوڑا سا آرام کر لو۔
Football was played in China in the second century.	دوسری صدی عیسوی میں چین میں فٹبال کھیلی جاتی تھی۔
He's accustomed to getting up early in the morning.	وہ صبح جلدی اٹھنے کا عادی ہے۔
Our office is on the northern side of the building.	ہمارا دفتر عمارت کے شمال جانب ہے۔
The bat was stolen yesterday, along with the balls.	بلے کے ساتھ ساتھ کل گیندیں بھی چوری ہو گئی۔
This is the camera that Tom took the pictures with.	یہ وہ کیمرہ ہے جس سے ٹام نے تصویریں کھینچی ہیں۔
I'll postpone my trip to Scotland until it's warmer.	میں سکاٹ لینڈ کا دورہ تب تک ملتوی کر رہا ہو جب تک موسم تھوڑا گرم نہیں ہو جاتا۔
If that guitar weren't so expensive, I could buy it.	اگر وہ گیٹار اتنا مہنگا نہ ہوتا، میں اسے خرید لیتا۔
My uncle went to Mexico in 1983, never to come back.	میرے ماموں ۱۹۸۳ میں میکسیکو گئے تھے اور کبھی واپس نہیں آئے۔
My uncle went to Mexico in 1983, never to come back.	میرے تایا ۱۹۸۳ میں میکسیکو گئے تھے اور کبھی واپس نہیں آئے۔
My uncle went to Mexico in 1983, never to come back.	میرے چاچا ۱۹۸۳ میں میکسیکو گئے تھے اور کبھی واپس نہیں آئے۔
No matter how much she eats, she never gains weight.	وہ جتنا مرضی کھا لے، اس کا وزن بڑھتا ہی نہیں ہے۔
This story is by far more interesting than that one.	یہ کہانی دوسرے سے زیادو مزیدار ہے۔
Can one person really make a difference in the world?	کیا کوئی ایک شخص دنیا میں کوئی بدلاؤ لا سکتا ہے؟
I could tell from his accent that he was a Frenchman.	میں اس کے بولنے کے لہجے سے بتا سکتا تھا کہ وہ فرانسیسی ہے۔
Mary's new hairstyle made her stand out in the crowd.	میری کے بالوں کے نئے انداز نے اسے بھیڑ میں بھی منفرد کر دیا تھا۔
Tom fell in love with Mary the first time he saw her.	ٹام نے جب پہلی دفعہ مریم کو دیکھا تو وہ اس کے عشق میں گرفتار ہو گیا۔
Tom fell in love with Mary the first time he saw her.	ٹام کی جب پہلی دفعہ مریم پہ نظر پڑی تو وہ اس پہ دل ہار گیا۔
Tom grew up near a lake, but he isn't a good swimmer.	ٹام ایک جھیل کے قریب بڑا ہوا مگر وہ اچھا تیراک نہیں ہے۔
When I got home, I noticed that I had lost my wallet.	جب میں گھر پہنچا تو مجھے پتہ لگا کہ میرا بٹوہ گم ہو گیا ہے۔
When I got home, I noticed that I had lost my wallet.	جب میں گھر پہنچی تو مجھے پتہ لگا کہ میرا بٹوہ گم ہو گیا ہے۔
I was caught in a shower and was drenched to the skin.	میں بارش میں پھنس گیا اور پورے کا پورا بھیگ گیا۔
No matter how you do it, the results will be the same.	تم جیسے مرضی کرو، اس کا نتیجہ ایک ہی نکلے گا۔
Please bring us two cups of tea and one cup of coffee.	ہمیں دو کپ چائے اور ایک کپ کافی لا دینا۔
Tom never felt comfortable expressing his own opinion.	ٹام اپنی رائے کو اظہار کرنے میں کبھی بھی خوش نہیں تھا۔
Tom never felt comfortable expressing his own opinion.	ٹام اپنی رائے کو اظہار کرنے میں کتراتا تھا۔
"He'd like to have a coffee after work." "I would too."	"وہ کام کے بعد کافی پینا پسند کرے گا۔" "میں بھی"
He's been staying at that hotel for the past five days.	وہ پچھلے پانچ دنوں سے ہوٹل میں قیام پزیر ہے۔
