Help!	Sakóru!
Take the one you like best, whichever it is.	Kwanán me ing pékaburí mu, anggyáng sánu.
Those are the children you gave the book to.	Déta deng ának a dinínan mung librú.
What does Tom eat for a mid-afternoon snack?	Nánung kakanán nang Tom neng minindál?
How many more pages do you have left to read?	Pilán la pang bilungan deng básan mu pa?
I don't think my gift meant very much to Tom.	Palagé ku e masyádung makabaldúgan kang Tom ing regálu ku.
I don't think we'll reach Boston before dark.	King palagé ku éta mirás Boston báyu dálumdum.
Much of what they wrote about never happened.	E milyári ing dakál king karélang sinúlat.
The new bridge is in process of construction.	Gagáwan de ing báyung téte.
They decided to settle in a suburb of London.	Migdisisyún lang mandatún king karulún ning London.
Tom was at the gym for three hours yesterday.	Atlú yang óras king gym i Tom nápun.
You'll soon get used to eating Japanese food.	E lumbát misáne kang mámangán pámangán Apón.
Doctors did everything they could to cure him.	Géwa da reng dóctor ing éganáganá ba yang maúlu.
I didn't know that you used to live in Boston.	Éku bálung sadyá kang makátuknáng king Boston.
The Pacific is the largest ocean in the world.	Ing Pacifico ing pékamaragúl a kadayátmalátan king yátu
What happened in Vietnam was like a bad dream.	Balámu bangúngut ing milyári king Vietnam.
A tsunami is coming, so please be on the alert.	Atíng dáratáng a tsunami, anyá sána magsadyá kayú.
Broccoli is one of the best vegetables for you.	Ing broccoli ing métung karéng pékamasantíng a gúle pará kéka.
I got to know my current girlfriend at the gym.	Ákilála ke ing táu ku ngeni king gym.
They went to an expensive restaurant for lunch.	Mintá la king mal a restóran bang maugtú.
Tom and Mary didn't invite me to their wedding.	Éraku inagkát di Tom ampóng king karélang kasál.
Tom obviously feels very passionate about this.	Malínong masikán ya kapanámdáman kaníti i Tom.
Tom used to play the piano when he was younger.	Títigtíg yang pyánu i Tom anyáng mas anák ya pa.
Tom wanted to stick around for a few more days.	Bísa ya pang maglambát piláng aldó i Tom.
My sister has three times as many books as I do.	Makatátlu la karakál deng librú ning kapatád kung babái késa káku.
There's a helicopter waiting for us on the roof.	Atíng helicopter a mánáya kékatámu king bubúngan.
Tom doesn't take very good care of his children.	Éno íngátan masáléseng Tom deng ának na.
We hope Tom sticks around for a couple of weeks.	Sána lumbát yang adwáng duminggú i Tom.
What should you do if you are bitten by a cobra?	Nánung dápat mung gáwan nung méket kang cobra?
What were you dreaming about when I woke you up?	Nánung páninápan mu anyáng ginísing daká?
He was set free after doing five years in prison.	Míbúlus ya kaybát ning limáng banwáng pángasúkul.
How come you know so much about Japanese history?	Ot karakál mu bálu king kasálesáyan ning Japan?
How many hotels do you think there are in Boston?	King palagé mu, pilán laréng hotél king Boston?
I really like him, but not his circle of friends.	Taganáng burí ke, óneng deng barkáda na alí kulá.
I will have him call you the moment he gets back.	Payáus daká kayá kabúd dátang ya.
I'll try to explain it to the best of my ability.	Ispliká ku anggá king agyú ku.
My mother thinks of everything in terms of money.	King péra ngan dúdurút ing pagláláwe ning imá ku king éganáganá.
My mother thinks of everything in terms of money.	King péra ngan dúdurút ing pagláláwe ning imá ku king sablá.
How are you coming along with your French lessons?	Kómusta la reng lisyún mu king Pransés?
I hear he was released after five years in prison.	Míbúlus ya kanú kaybát ning limáng banwá king sukúlan.
I want some beautiful flowers to put on the table.	Bísa kung mangásantíng a sampága king lamésa.
I want you to take care of Tom for a little while.	Burí ku ingátan me pámû i Tom.
If anything happens, we'll be in in three seconds.	Nung atíng malyári, dátang kamí kilúb ning atlúng minútu.
In Singapore, it is a crime to spit on the ground.	Báwal ing máglúra king gabún king Singapore.
Tom peeked out the door to see what was happening.	Sínílip ya i Tom king pasbúl ba nang ákit ing malilyári.
We have not seen each other since our school days.	Éke pa míkit manibát anyáng mágarál kamí.
I didn't even know that you used to live in Boston.	Éku man bálung sadyá kang makátuknáng king Boston.
I forgot to tell Tom I wasn't planning to be there.	Ákalingwán kung sabián kang Tom a éku bálak muntá karín.
I've been waiting for a friend of mine for an hour.	Métung ku neng óras pánáyan ing kálugúran ku.
Out of twenty students, only one has read the book.	Karéng adwáng púlung istúdyánti, métung ya mû ing mékabása king librú.
Tom can't remember his kindergarten teacher's name.	Éne átatandánan Tom ing lagyú ning méstra na anyáng kindergarten.
Tom didn't even text Mary to tell her he'd be late.	Éne man tinext Tom i Mary a mitawlí ya.
Tom was about to get into his car when he was shot.	Pasaké ne king kótsi na i Tom anyáng mébaríl ya.
You're the most beautiful woman in the whole world.	Íka ing pékamalagúng babái king yátu.
Let's not forget that Tom doesn't understand French.	Éta kakalingwán a e mákáintindíng Pransés i Tom.
That boy over there looks about the same age as you.	Balámu kasíng-idád me ing anák a laláki bandá karín.
The cop went through his pockets, but found nothing.	Kilkál ne bulsá ning pulís, óneng alá yang ikít.
Tom is talking with someone right now. Can you wait?	Atín yang pákisabián i Tom ngéni. Makāpanáya ka?
Tom probably won't even notice that Mary isn't here.	Sigúru éna man ápansínan Tom a aláyu kéni i Mary.
All the passengers were killed in the airplane crash.	Méte la ngan deng pasáhérus anyáng míbagsák ya ing éruplánu.
I forgot to shutter the windows before the storm hit.	Ákalingwán kong isará deng áwang báyu minagyú.
My mom bought me this toy when I was eight years old.	Penyali nakung ima ku kaniting pyalungan anyang walu kung banwa.
The government was earning more money than it needed.	Mas dákal ing pánákitán ning gubyérnu késa king kailángan na.
The government was earning more money than it needed.	Mas dákal ing pánákitán ning kapámahalán késa king kailángan na.
Tom doesn't know how to treat his employees properly.	Éno bálung itrátung masaléng Tom deng empléyádu na.
I've never had a beer in the middle of the day before.	Éku pa mínum beer neng ugtú.
Can you see the woman standing behind Tom? That's Mary.	Ákakit me ing babáing makátikdó king gúlut nang Tom? I Mary itá.
How is it that you know so much about Japanese history?	Óbat karakál mu bálu tungkúl king kasalésáyan ning Hapón?
My friend copied my homework and the teacher found out.	Kinópya ne ning kálugúran ku ing kákung págarálan balé, at ábálu ning méstra.
My friend copied my homework and the teacher found out.	Kinópya ne ning kálugúran ku ing kákung págarálan balé, at ábálu ning taláturû.
Next time you come to see me, I will show you the book.	Keng tútukí mukúng puntalán, pákit ke ing librú.
A mother is responsible for the conduct of her children.	Kapakíbatán ning imá ing panúgáli daréng ának na.
Both of my kids have already graduated from high school.	Paréu nong miyári king mátas a pipágarálan deng adwá kung ának.
He doesn't want to talk to me now, and I don't know why.	Énáku buríng pakisabián ngéni, at éku bálu nung bákit.
He went out of the room without being noticed by anyone.	Ére ápansínang línwal king kwártu.
In this game, players were not allowed to kick the ball.	King pyálung a iní, ére malyáring paldakán deng mámyalung ing bóla.
More than half of the residents are opposed to the plan.	Kóntra la king plánu deng maygít kapitná karéng residénti.
We're finding it difficult deciding on which one to buy.	Mágkasákit keng magdisisyún nung sánung salwán.
If God did not exist, it would be necessary to invent him.	Nung aláng Dios, kaylángan yang imbéntuan.
It's not only Tom that has to study. I have to study, too.	Aliwá mu i Tom ing kaylángang magáral. Anggá yáku kaylángan.
I watched the birds on the balcony while drinking my coffee.	Inalbén ko reng áyup king barkún kábang ínumán ke ing kapé ku.
If it had not been for civil war, they would be wealthy now.	Nung e king géra sibíl, makwálta no sâ ngéni.
If you leave now, I'm sure you'll be caught in a traffic jam.	Nung makó ka ngéni, sigúrádu kung mirásan kang trápik.
Our captain got sick, so I attended the meeting in his place.	Mésakít ya ing kapitán mi, anyá yáku ing ménalíli kayá king púlung.
The more people you know, the less time you have to see them.	Kuntóru dárakál la reng kakílála mu, lakwás dírítak ing panaún mung makíkit karéla.
Burj Khalifa is currently the tallest skyscraper in the world.	Ing Burj Khalifa ing pékamátas a skyscraper ngéni.
I have a cat and a dog. The cat is black and the dog is white.	Atín kung púsâ ampóng ásu. Matulíng ya ing púsâ at maputí ya ing ásu.
If you work too long without a rest, it begins to tell on you.	Nung masyádu kang malambát mágobrang e mágpaynáwa, panámdamán mu.
You shouldn't read people's private letters without permission.	Émo dápat babásan deng súlat daréng táu nung aláng paintúlut.
I think you're the most beautiful woman in the whole wide world.	Palagé ku, íka ing pékamalagúng babái king mabílug a yátu.
It is not safe for a girl to go out by herself so late at night.	E ligtás keng babái ing lumwál dilí na nung mábéngi na.
I have some questions to ask, but I don't want to bother you now.	Atín ku sang ikutáng, óneng e raká buríng pangábalánan.
I thought Tom was supposed to be in Boston. What's he doing here?	Balá ku atyú dápat king Boston i Tom. Nánánu ya kéni?
Let's not forget we never could have done this without Tom's help.	Éta kakalingwáng e támu agawá iní nuné king sáup nang Tom.
As a result of the collision, one of the passengers was thrown out.	Úli ning pámisápungán, míbalugsé ya paluál ing métung karíng pasáhérus.
Everyone is anxious to know what has become of the former champion.	Migáganaká la reng sablá king milyári king sadyáng kampyún.
First, let us talk about the experiments conducted in laboratories.	Múmúna, pisabyán tála deng ekspériméntung gagáwan da karéng laboratóryu.
Tom moved the flower pot to the left and the secret door slid open.	Dinusúg neng Tom ing pasú king kaylî, at míbusní ya ing sikrétung pasbúl.
Tom moved the flower pot to the left and the secret door slid open.	Dinusúg neng Tom ing pasú king kaylî, at míbusní ya ing líhim a pasbúl.
In the mountain area, snow has fallen more than fifty centimeters deep.	King kabundúkan, maygít singkwénta sentímétrung nyébe ing ménábû
