Who?	Hvem?
I don't want Tom to go to jail.	Jeg vil ikke at Tom skal i fengsel.
I don't want anything from you.	Jeg vil ikke ha noe fra deg.
I don't want people to hate me.	Jeg vil ikke at folk skal hate meg.
I don't want to be alone again.	Jeg vil ikke være alene igjen.
I don't want to be here either.	Jeg vil heller ikke være her.
I don't want to be here either.	Jeg vil ikke være her heller.
I don't want to be rude to Tom.	Jeg vil ikke være frekk mot Tom.
I don't want to disappoint Tom.	Jeg vil ikke skuffe Tom.
I don't want to do that either.	Jeg vil ikke gjøre det heller.
I don't want to fight with you.	Jeg vil ikke slåss med deg.
I don't want to live with that.	Jeg vil ikke leve med det.
I don't want to lose you again.	Jeg vil ikke miste deg igjen.
I don't want to play this game.	Jeg vil ikke spille dette spillet.
I don't want to see that again.	Jeg vil ikke se det igjen.
I don't want to see this again.	Jeg vil ikke se dette igjen.
I don't want to speak with you.	Jeg vil ikke snakke med deg.
I don't want to talk about Tom.	Jeg vil ikke snakke om Tom.
I don't want to turn myself in.	Jeg vil ikke melde meg til politiet.
I don't want to turn myself in.	Jeg vil ikke melde meg for politiet.
I forget your telephone number.	Jeg har glemt telefonnummeret ditt.
I had a good laugh at her joke.	Jeg lo godt av spøken hennes.
I had to get my tattoo removed.	Jeg måtte få fjernet tatoveringen min.
I have no idea what this means.	Jeg har ingen anelse om hva dette betyr.
I held my breath in excitement.	Jeg holdt pusten i spenning.
I hope the weather will be dry.	Jeg håper det blir tørt vær.
I really like hard-boiled eggs.	Jeg liker hardkokte egg veldig godt.
I simply don't understand this.	Dette skjønner jeg rett og slett ikke.
I slept comfortably last night.	Jeg sov godt i natt.
I spoke to the actress herself.	Jeg snakket med skuespillerinnen i egen person.
I still haven't heard from him.	Jeg har fremdeles ikke hørt fra ham.
I talked with our sales people.	Jeg snakket med salgsfolkene våre.
I think my suitcase was stolen.	Jeg tror kofferten min har blitt stjålet.
I think that's very sweet, Tom.	Det synes jeg var veldig koselig, Tom.
I think your answer is correct.	Jeg tror svaret ditt er rett.
I thought that we were friends.	Jeg trodde vi var venner.
I used to play here as a child.	Jeg pleide å leke her som liten.
I want something cold to drink.	Jeg vil ha noe kaldt å drikke.
I was tempted to go home early.	Jeg ble fristet til å gå hjem tidlig.
I wasn't quite sure about that.	Jeg var ikke helt sikker på det.
I will go to Hokkaido tomorrow.	Jeg drar til Hokkaido i morgen.
I wish I could fly like a bird.	Jeg skulle ønske at jeg kunne fly som en fugl.
I wish I could give up smoking.	Jeg skulle ønske jeg kunne slutte å røyke.
I wish I had a house of my own.	Jeg skulle ønske jeg hadde et hus for meg selv.
I wish I had solar-powered car.	Jeg skulle ønske jeg hadde en solcellebil.
I wish that I were young again.	Jeg skulle ønske jeg var ung igjen.
I would like to make a request.	Jeg vil gjerne komme med et ønske.
I'd like to buy a refrigerator.	Jeg vil gjerne kjøpe et kjøleskap.
I'd like to drink a cup of tea.	Jeg har lyst på en kopp te.
I'd like to tell you the truth.	Jeg vil fortelle deg sannheten.
I'll go if the weather is nice.	Jeg drar hvis været er fint.
I'll have to take this with me.	Jeg må ta denne med meg.
I'm expecting a customer today.	Jeg venter en kunde i dag.
I'm fed up with his long talks.	Jeg er lei av de lange talene hans.
I'm just trying to be friendly.	Jeg prøver bare å være hyggelig.
I'm never going to drink again.	Jeg skal aldri drikke igjen.
I'm sorry, but it's impossible.	Beklager, men det er umulig.
I'm sure everything'll be okay.	Alt ordner seg nok skal du se.
I'm very glad to see you again.	Jeg er veldig glad for å se deg igjen.
I've always wanted to meet you.	Jeg har alltid ønsket å treffe deg.
I've always wanted to meet you.	Jeg har alltid ville møte deg.
I've played sports all my life.	Jeg har drevet med sport hele livet.
I've seen Tom dance many times.	Jeg har sett Tom danse mange ganger.
I've seen you somewhere before.	Jeg har sett deg før et sted.
Is it OK if I open the curtain?	Gjør det noe om jeg åpner gardinene?
Is that your daily routine now?	Er det din daglige rutine nå?
Israel is a very small country.	Israel er et veldig lite land.
It had a profound effect on me.	Det hadde dyp effekt på meg.
It had been snowing for a week.	Det hadde snødd i en uke.
It rained continuously all day.	Det regnet uten stans hele dagen.
It stopped snowing an hour ago.	Det sluttet å snø for en time siden.
It's a very difficult question.	Det er et veldig vanskelig spørsmål.
It's awfully cold this evening.	Det er fryktelig kaldt i kveld.
It's time for you to go to bed.	Det er tid for deg å gå til sengs.
Let us know if you can make it.	La oss vite om du kan komme.
Love is never without jealousy.	Kjærlighet er aldri uten sjalusi.
Maybe you should just fire Tom.	Kanskje du bare skal gi Tom sparken.
Misfortunes rarely come singly.	En ulykke kommer sjelden alene.
My house is beyond that bridge.	Huset mitt er bortenfor den bruen.
My uncle lives near the school.	Min onkel bor nær skolen.
No one could've predicted this.	Ikke kunne ha forutsett dette.
No one said anything like that.	Ingen sa noe sånt.
One should keep one's promises.	Man bør holde sine løfter.
Our school is near the station.	Skolen vår er nær stasjonen.
People dine very late in Spain.	Folk har middag veldig sent i Spania
Please say hello to him for me.	Hils ham fra meg.
Pollution is a serious problem.	Forurensning er et alvorlig problem.
Read as many books as possible.	Les så mange bøker som mulig.
She drew the chair towards her.	Hun dro stolen mot seg.
She has a great fear of snakes.	Hun er veldig redd for slanger.
She likes her eggs hard-boiled.	Hun foretrekker hardkokte egg.
She scolded him for being late.	Hun skjelte ham ut for å være sen.
She sings and dances very well.	Hun synger og danser veldig bra.
She smokes 20 cigarettes a day.	Hun røyker 20 sigaretter om dagen.
She turned down every proposal.	Hun avviste alle forslag.
She turned the doorknob slowly.	Hun vridde om dørhåndtaket sakte.
She was coming down the stairs.	Hun var på vei ned trappene.
Some people don't like chicken.	Noen mennesker liker ikke kylling.
Sorry I'm late for the meeting.	Beklager for at jeg er sen til møtet.
Study hard, and you'll succeed.	Studer hardt, og du vil lykkes.
That gave me a lot of pleasure.	Det gav meg mye nytelse.
That horse came in first place.	Den hesten kom på første plass.
That's very considerate of you.	Det er veldig omtenksomt av deg.
The bank isn't open on Sundays.	Banken er ikke åpen på søndager.
The boy I love doesn't love me.	Gutten jeg elsker elsker ikke meg.
The boy takes after his father.	Gutten tar etter faren sin.
The business has changed hands.	Bedriften har fått en ny eier.
The garden is behind the house.	Hagen er bak huset.
The new pope is called Francis.	Den nye paven heter Francis.
The party was held on May 22nd.	Festen ble holdt på 22. mai.
The picture is on the wall now.	Bildet henger på veggen nå.
The place was completely empty.	Stedet var helt tomt.
The poor peasants ate potatoes.	De fattige bøndene spiste poteter.
The rabbit hid behind the tree.	Kaninen gjemte seg bak treet.
The rain lasted for three days.	Regnet varte i tre dager.
The refrigerator door was open.	Kjøleskapsdøren stod åpen.
The school looks like a prison.	Skolen ligner et fengsel.
The station is 100 meters away.	Stasjonen er hundre meter borte.
The visitor sat across from me.	Gjesten satt overfor meg.
The wheat is ready for harvest.	Hveten er klar til å høstes.
There are lots of things to do.	Det er mye å gjøre.
There is little room for doubt.	Det er lite rom for tvil.
There is one apple on the desk.	Det er ett eple på pulten.
There was nobody in the garden.	Det var ingen i hagen.
These boots are from Australia.	Disse støvlene er fra Australia.
These shoes are a little loose.	Disse skoene er litt for store.
They are not at all interested.	De er ikke interesserte i det hele tatt.
They came in one after another.	De kom inn; den ene etter den andre.
They caught up with us quickly.	De tok oss fort igjen.
They're going to make mistakes.	De kommer til å gjøre feil.
This booklet is free of charge.	Denne brosjyren er gratis.
This box is filled with apples.	Denne boksen er full av epler.
This dictionary has 12 volumes.	Denne ordboken har tolv bind.
This dictionary has 12 volumes.	Dette leksikonet har tolv bind.
This has never happened before.	Dette har aldri skjedd før.
This is all a terrible mistake.	Det hele er et forferdelig mistak.
This is an unexpected surprise.	Dette var en uventet overraskelse.
This shirt is too small for me.	Denne skjorten er for liten for meg.
Tom always seems to be working.	Det ser ut som om Tom alltid jobber.
Tom did the same thing in 2013.	Tom gjorde det samme i 2013.
Tom had his hair cut yesterday.	Tom fikk håret sitt klipt i går.
Tom has a short attention span.	Tom har dårlig konsentrasjonsevne.
Tom has no interest in science.	Tom har ingen interesse for vitenskap.
Tom is kind of angry right now.	Tom er ganske sint akkurat nå.
Tom said Mary wouldn't be here.	Tom sa Mary ikke kom til være der.
Tom started to untie his shoes.	Tom begynte å knyte opp skoene sine.
Tom threw a rotten egg at Mary.	Tom kastet et råttent egg på Mary.
Tom told me he never said that.	Tom fortalte meg at han aldri sa det.
Tom was in here the whole time.	Tom var her hele tiden.
Tom was supposed to protect us.	Det var meningen Tom skulle beskytte oss.
Tom would never have done that.	Tom ville aldri ha gjort det.
Tom's French has gotten better.	Toms fransk har blitt bedre.
Tom's death came as a surprise.	Toms død kom brått.
Too many cooks spoil the broth.	Jo flere kokker, dess mer søl.
Two vanilla ice creams, please.	To vaniljeis, takk.
We all have to be very careful.	Vi må alle være veldig forsiktige.
We call New York the Big Apple.	Vi kaller New York "the Big Apple".
We found a corpse in the ruins.	Vi fant et lik i ruinene.
We got married a few years ago.	Vi giftet oss for et par år siden.
We have a busy day ahead of us.	Vi har en travel dag foran oss.
We made pancakes for breakfast.	Vi laget pannekaker til frokost.
We never would have allowed it.	Vi ville aldri ha tillatt det.
We traveled to Mexico by plane.	Vi drog til Mexico med fly.
We want to have a large family.	Vi vil ha en stor familie.
What is your new friend's name?	Hva heter den nye vennen din?
What made you change your mind?	Hva fikk deg til å ombestemme deg?
What made you change your mind?	Hva var det som gjorde at du ombestemte deg?
When will Tom leave for Boston?	Når drar Tom til Boston?
Which is heavier, lead or gold?	Hva er tyngre, bly eller gull?
Who said that it would be easy?	Hvem sa det ville være lett?
Who's the author of this story?	Hvem er historiens forfatter?
Why are you speaking in French?	Hvorfor snakker du fransk?
Why did you want to talk to me?	Hvorfor ville du snakke med meg?
Why don't you try one of these?	Hva med å prøve en av disse?
You are abusing your authority.	Du misbruker din autoritet.
You don't have to be so formal.	Du trenger ikke være så formell.
You don't have to work so hard.	Du trenger ikke jobbe så hardt.
You don't sound very surprised.	Du høres ikke veldig overrasket ut.
You have no sense of direction.	Du eier ikke retningssans.
You look just like your mother.	Du ser akkurat ut som din mor.
You may come whenever you like.	Du kan komme når du vil.
You may go home if you want to.	Du kan gå hjem hvis du vil.
You may take anything you like.	Du kan ta det du vil.
You must prepare for the worst.	Du må være forberedt på det verste.
You said it would never happen.	Du sa det aldri ville skje.
You should eat more vegetables.	Du bør spise mer grønnsaker.
You should emphasize that fact.	Det faktum bør du understreke.
You should have kept it secret.	Du skulle holdt det hemmelig.
You should have listened to me.	Du skulle ha hørt på meg.
You'll be hearing from us soon.	Du vil høre fra oss snart.
You'll forget about me someday.	Du kommer til å glemme meg en dag.
You'll need a temporary bridge.	Du trenger en midlertidig bro.
You're supposed to be relaxing.	Det er meningen du skal slappe av.
You're supposed to be the best.	Du skal være den beste.
You've got to work really hard.	Du må virkelig jobbe hardt.
Your name is first on the list.	Navnet ditt står først på listen.
"Who is it?" "It's your mother."	«Hvem er det?» «Det er din mor.»
A penny saved is a penny earned.	En krone spart er en krone tjent.
Africa is the poorest continent.	Afrika er det fattigste kontinentet.
Are you busy tomorrow afternoon?	Er du ledig i morgen ettermiddag?
As far as I know, he won't come.	Han kommer ikke, så vidt jeg vet.
Call me when you're ready to go.	Ring meg når du er klar til å dra.
China is much bigger than Japan.	Kina er mye større enn Japan.
Come on! We're going to be late.	Kom igjen! Vi kommer for sent.
Could you please leave the room?	Vær så snill å forlat rommet.
Did you buy a round trip ticket?	Kjøpte du en tur-retur billett?
Did you manage to get any sleep?	Fikk du sove?
Do you have anything to declare?	Har du noe å deklarere?
Do you know how to play mahjong?	Vet du hvordan du spiller Mahjong?
Do you want some scrambled eggs?	Vil du ha litt eggerøre?
Do you want us to take you home?	Vil du at vi skal kjøre deg hjem?
Don't forget to send the letter.	Ikke glem å sende brevet.
Don't judge a book by its cover.	Man skal ikke skue hunden på hårene.
Few people live to be a hundred.	Få mennesker lever til de er hundre.
Give me something to write with.	Gi meg noe å skrive med.
Gold is more precious than iron.	Gull er mer verdifult enn jern.
Gold is much heavier than water.	Gull er mye tyngre enn vann.
Gold is much heavier than water.	Gull er langt tyngre enn vann.
Have you done all your homework?	Har du gjort alle leksene dine?
Have you ever been to Australia?	Har du vært i Australia?
He gave his seat to the old man.	Han gav setet sitt til den gamle mannen.
He has a large farm in Colorado.	Han har en stor gård i Colorado.
He lost his life in an accident.	Han mistet livet i en ulykke.
He was asleep during the lesson.	Han sov i timen.
He wishes to erase bad memories.	Han ønsker å bli kvitt vonde minner.
He wishes to erase bad memories.	Han ønsker at de vonde minnene forsvinner.
His childlike laugh is charming.	Hans barnslige latter er sjarmerende.
His job has to do with printing.	Jobben hans har med trykking å gjøre.
How did you enjoy your vacation?	Hvordan var ferien din?
How did you spend your vacation?	Hvordan tilbragte du ferien?
How do I get to the bus station?	Hvordan kommer jeg meg til busstasjonen?
How much does the blue one cost?	Hvor mye koster den blå?
Hurry, or you'll miss the train.	Skynd deg, ellers rekker du ikke toget.
I always wanted to be different.	Jeg har alltid ønsket å være forskjellig fra andre.
I can't breathe through my nose.	Jeg kan ikke puste gjennom nesen.
I can't connect to the Internet.	Jeg kan ikke koble meg til internett.
I climbed in through the window.	Jeg klatret inn gjennom vinduet.
I didn't expect you to say that.	Jeg forventet ikke at du skulle si det.
I don't have the slightest idea.	Jeg har ikke den minste anelse.
I don't know anything about her.	Jeg vet ikke noe om henne.
I don't know anything about him.	Jeg vet ikke noe om han.
I don't know if I have the time.	Jeg vet ikke om jeg har tid.
I don't know if I still have it.	Jeg vet ikke om jeg fortsatt har det.
I don't know if I still have it.	Jeg vet ikke om jeg fortsatt har den.
I don't know what to do anymore.	Jeg vet ikke hva jeg skal gjøre lenger.
I don't know where I am exactly.	Jeg vet ikke helt hvor jeg er.
I don't understand the question.	Jeg forstår ikke spørsmålet.
I enjoyed swimming in the river.	Jeg likte å svømme i elva.
I know how much it means to you.	Jeg vet hvor mye det betyr for deg.
I know that you all are cowards.	Jeg vet at dere alle er feiginger.
I saw a hippopotamus at the zoo.	Jeg så en flodhest i dyrehagen.
I thought that you needed money.	Jeg trodde du trengte penger.
I took your umbrella by mistake.	Jeg tok paraplyen din ved feiltak.
I wish I could buy a motorcycle.	Jeg skulle ønske jeg kunne kjøpe en motorsykkel.
I wish I could sing like you do.	Jeg skulle ønske jeg kunne synge som deg.
I wish I had been with you then.	Jeg skulle ønske jeg hadde vært med deg da.
I wonder who Tom was talking to.	Jeg lurer på hvem Tom snakket med.
I'd like you to meet my husband.	Jeg vil du skal treffe mannen min.
I'm afraid you misunderstood me.	Jeg er redd du misforsto meg.
I'm concerned with Tom's safety.	Jeg uroer meg for Toms sikkerhet.
I'm getting ready for the worst.	Jeg forbereder meg på det verste.
I'm not good at speaking French.	Jeg er ikke flink til å snakke fransk.
I'm surprised you overlooked it.	Jeg er overrasket over at du overså det.
I've been calling you all night.	Jeg har ringt deg i hele natt.
I've been here for three months.	Jeg har vært her i tre måneder.
I've finished typing the report.	Jeg har skrevet ferdig rapporten.
I've waited as long as possible.	Jeg har ventet så lenge som mulig.
Is anything the matter with him?	Er det noe som feiler han?
Isn't he going to Peru tomorrow?	Han reiser vel til Peru i morgen?
It seems rather expensive to me.	Det virker ganske dyrt for meg.
It's a pity that you can't come.	Det er synd at du ikke kan komme.
Japan is not as large as Canada.	Japan er ikke like stort som Kanada.
Let's look on the positive side.	La oss se lyst på det.
Look up page 50 in the textbook.	Slå opp læreboka på side 50.
Magnesium is a chemical element.	Magnesium er et kjemisk grunnstoff.
May I ask a couple of questions?	Kan jeg stille et par spørsmål?
May I borrow that book from you?	Kan jeg låne den boka av deg?
Mom made a cake for my birthday.	Mamma laget en kake til bursdagen min.
My grandfather was born in 1920.	Bestefaren min ble født i 1920.
My mother hates writing letters.	Moren min hater å skrive brev.
Older men are usually very wise.	Eldre menn er vanligvis veldig vise.
Our task is to rebuild the wall.	Vår oppgave er å gjenoppbygge muren.
Read the instructions carefully.	Les instruksjonene nøye.
Rich people aren't always happy.	Rike folk er ikke alltid lykkelige.
She cannot control her children.	Hun klarer ikke å styre ungene sine.
She has a cat. The cat is white.	Hun har en katt. Katten er hvit.
She lives in an apartment alone.	Hun bor alene i en leilighet.
She's frightened by loud noises.	Hun blir skremt av høye lyder.
Some people don't like chickens.	Noen mennesker liker ikke kyllinger.
Sorry, the book is out of stock.	Beklager, boken er utsolgt.
That runs against my principles.	Det er imot mine prinsipper.
That's wishful thinking at best.	I beste fall er det ønsketenkning.
The British defeated the French.	Britene beseiret franskmennene.
The boy threw stones at the dog.	Gutten kastet steiner på hunden.
The buses run every ten minutes.	Bussen går hvert tiende minutt.
The man's behavior was very odd.	Mannen oppførte seg veldig merkelig.
The movie starts at ten o'clock.	Filmen begynner klokken ti.
The only thing he eats is candy.	Det eneste han spiser er godteri.
The picture is hung upside down.	Bildet henger opp ned.
The room was packed with people.	Rommet var fullt med folk.
The room was packed with people.	Det var mange personer i rommet.
The story turned out to be true.	Historie viste seg å være sann.
The teachers teach all day long.	Lærerne underviser hele dagen lang.
There is a red rose in the vase.	Det er en rød rose i vasen.
There is an orange on the table.	Det ligger en appelsin på bordet.
They came to our rescue at once.	De kom oss øyeblikkelig til unnsetning.
They crossed the Atlantic Ocean.	De krysset atlanterhavet.
They grow flowers in the garden.	De gror blomster i hagen.
They say that Tom won't do that.	De sier at Tom ikke kommer til å gjøre det.
This camera was made in Germany.	Dette kameraet ble laget i Tyskland.
This is a pretty view, isn't it?	Dette er en flott utsikt, ikke sant?
Tom arrived three minutes early.	Tom ankom tre minutter tidlig.
Tom can eat as much as he wants.	Tom kan spise så mye han vil.
Tom didn't answer your question.	Tom svarte ikke på spørsmålet ditt.
Tom didn't want us at his party.	Tom ville ikke ha oss på festen sin.
Tom doesn't know the answer yet.	Tom vet ikke svaret ennå.
Tom has fewer friends than I do.	Tom har færre venner enn meg.
Tom has started writing a novel.	Tom har startet å skrive en roman.
Tom is in Boston until tomorrow.	Tom er i Boston til i morgen.
Tom is supposed to be at school.	Tom skulle vært på skolen.
Tom isn't the right guy for you.	Tom er ikke den rette mannen for deg.
Tom kept his opinion to himself.	Tom holdt meningen sin for seg selv.
Tom never talks to Mary anymore.	Tom snakker aldri med Maria lenger.
Tom said he was tired of losing.	Tom sa han hadde nok av å tape.
Tom tried his best to help Mary.	Tom prøvde sitt beste å hjelpe Mary.
Tom was watching the whole time.	Tom så på hele tiden.
Tom went to the beach last week.	Tom drog til stranden forrige uke.
Tom will be doing that tomorrow.	Tom skal gjøre det i morgen.
Tom will be here any minute now.	Tom er her om noen få øyeblikk.
Tom will get married next month.	Tom skal gifte seg neste måned.
Tom would likely agree with you.	Tom er sannsynligvis enlig med deg.
Tom's advice didn't help at all.	Toms råd hjalp ikke i det hele tatt.
Tom's house burned down in 2013.	Huset til Tom brant ned i 2013.
Vladivostok is a city in Russia.	Vladivostok er en by i Russland.
War is a crime against humanity.	Krig er en forbrytelse mot menneskeheten.
We all have a right to be happy.	Vi har alle rett til å være lykkelig.
We decorated the room ourselves.	Vi dekorerte rommet selv.
We hurried to the train station.	Vi skyndte oss til togstasjonen.
We knew one day it would happen.	Vi visste at det ville skje en dag.
We took a short rest on the way.	Vi tok en liten hvilepause på veien.
We use a lot of water every day.	Vi bruker mye vann hver dag.
We were poor, but we were happy.	Vi var fattige, men glade.
We'll be happy to call you back.	Vi ringer deg gjerne tilbake.
We've already been through this.	Vi har allerede vært gjennom dette.
Were you happy with the results?	Var du fornøyd med resultatene?
What did Tom talk to Mary about?	Hva snakket Tom med Mary om?
What did you think would happen?	Hva trodde du ville skje?
What do you do to pass the time?	Hva gjør du for å få tiden til å gå?
What do you think of modern art?	Hva synes du om moderne kunst?
What time do you usually get up?	Når står du vanligvis opp?
What're you in such a hurry for?	Hva er det du haster deg for?
When did Tom start working here?	Når begynte Tom å jobbe her?
When will the next train arrive?	Når ankommer neste tog?
Where are you going on vacation?	Hvor skal du i ferien?
Why did you paint the bench red?	Hvorfor malte du benken rød?
Won't you have some tea with me?	Har du lyst til å drikke litt te med meg?
Would you like to eat something?	Vil du ha noe å spise?
You ask me to do the impossible.	Du ber meg gjøre det umulige.
You do remember that, don't you?	Du husker det, gjør du ikke?
You do remember that, don't you?	Du husker det, ikke sant.
You don't know who I am, do you?	Du vet ikke hvem jeg er, gjør du?
You had better watch your mouth.	Du burde passe bedre på hva du sier.
You know that I don't like eggs.	Du vet at jeg ikke liker egg.
You must answer these questions.	Du må besvare disse spørsmålene.
You must read between the lines.	Du må lese mellom linjene.
You need not pay for your lunch.	Du trenger ikke betale for lunsjen din.
You should do your homework now.	Du bør gjøre leksene dine nå.
You should've come to the party.	Du skulle ha kommet til festen.
You'd better do that in a hurry.	Det der må du gjøre fortest mulig.
You'll never know until you try.	Du kan aldri vite med mindre du prøver.
You're always welcome here, Tom.	Du er alltid velkommen her, Tom.
You're supposed to be in Boston.	Du skulle vært i Boston.
You're supposed to be in school.	Du skulle vært på skolen.
You're supposed to be there now.	Du skulle vært der nå.
Your English has improved a lot.	Engelsken din har forbedret seg mye.
Your bicycle is similar to mine.	Sykkelen din ligner på min.
Your chair is identical to mine.	Stolen din er identisk til min.
Your chair is identical to mine.	Stolen din er helt lik min.
Your problem is similar to mine.	Problemet ditt ligner på mitt.
Your shirt has a button missing.	Skjorten din mangler en knapp.
Are you accusing me of something?	Anklager du meg for noe?
Are you thinking of helping them?	Har du tenkt å hjelpe dem?
Are your parents still in Boston?	Er foreldrene dine ennå i Boston?
Brush your teeth after each meal.	Puss tennene etter hvert måltid.
Can you give me your cell number?	Kan du gi meg mobilnummeret ditt?
Choose your next words carefully.	Velg dine neste ord med omhu.
Darkness is the absence of light.	Mørke er fravær av lys.
Did I do something to offend you?	Gjorde jeg noe som støtet deg?
Did you hear what was being said?	Hørte du hva som ble sagt?
Do you have one a little smaller?	Har du en litt mindre?
Do you know what Tom was wearing?	Vet du hva Tom hadde på seg?
Do you play a musical instrument?	Spiller du et musikkinstrument?
Don't forget that we have chores.	Ikke glem at vi har plikter.
Don't hesitate to ask for advice.	Ikke nøl med å spørre om råd.
Don't interfere with my studying.	Ikke forstyrr lesingen min.
Exercise is good for your health.	Mosjon er godt for helsen.
Germany produced many scientists.	Tyskland har skapt mange forskere.
Germany then had a powerful army.	Den gang hadde Tyskland et mektig militære.
Gold is more expensive than lead.	Gull er dyrere enn bly.
Have you handed in your homework?	Har du levert leksene dine?
Have you heard from him recently?	Har du hørt fra ham i det siste?
Have you taken your medicine yet?	Har du tatt medisinen din ennå?
He devoted his life to education.	Han viet livet sitt til utdanning.
He has been dead for three years.	Han har vært død i tre år.
He has the least money of us all.	Han har minst penger av oss alle.
He is a wolf in sheep's clothing.	Han er en ulv i fåreklær.
He is not a teacher but a doctor.	Han er ikke lærer, men lege.
He owes his success to good luck.	Han kan takke lykken for sin gode fremgang.
He speaks English better than me.	Han snakker bedre engelsk enn jeg gjør.
He thinks of nothing but himself.	Han tenker kun på seg selv.
He was sent to save the princess.	Han ble sendt for å redde prinsessen.
He went on walking for two hours.	Han fortsatte å gå i to timer.
He's disappeared without a trace.	Han er sporløst forsvunnet.
Her long hair was completely wet.	Det lange håret hennes var helt vått.
How many languages can you speak?	Hvor mange språk snakker du?
How many people do you work with?	Hvor mange jobber du sammen med?
Hurry up, or you'll miss the bus.	Skynd deg, eller så rekker du ikke bussen.
I am convinced of your innocence.	Jeg er overbevist om at du er uskyldig.
I brought you a little something.	Jeg har noe til deg.
I called and pretended I was Tom.	Jeg ringte og latet som om jeg var Tom.
I can see why you don't like Tom.	Jeg kan forstå hvorfor du ikke liker Tom.
I can't believe that Tom is gone.	Jeg kan ikke tro at Tom er borte.
I can't imagine life without you.	Jeg kan ikke forestille meg et liv uten deg.
I didn't understand the question.	Jeg forstod ikke spørsmålet.
I don't believe that's the truth.	Jeg tror ikke det er sannheten.
I don't drink all that much beer.	Jeg drikker ikke så mye øl.
I don't expect anything from you.	Jeg forventer ikke noe fra deg.
I don't like working at the bank.	Jeg liker ikke å jobbe i banken.
I don't understand this sentence.	Jeg forstår ikke denne setningen.
I don't want to do this with you.	Jeg vil ikke gjøre dette sammen med deg.
I figured that you wouldn't come.	Jeg tenkte du ikke ville komme.
I have a hunch that it will rain.	Jeg har en anelse om at det vil regne.
I never meant for this to happen.	Jeg mente aldri at dette skulle skje.
I received your letter yesterday.	Jeg mottok brevet ditt i går.
I shouldn't have sent that email.	Jeg skulle ikke ha sendt den e-posten.
I sometimes meet Tom at the club.	Jeg møter Tom av og til i klubben.
I think I left the water running.	Jeg tror jeg lot vannet renne.
I want more detailed information.	Jeg vil ha mer detaljert informasjon.
I want to learn standard English.	Jeg vil lære standard engelsk.
I was nearly run over by a truck.	Jeg ble nesten påkjørt av en lastebil.
I wish I could go with you today.	Jeg skulle ønske jeg kunne dra med deg i dag.
I wish you could have been there.	Jeg skulle ønske du kunne ha vært der.
I wish you had told me the truth.	Jeg skulle ønske du hadde fortalt meg sannheten.
I wonder if Tom has a girlfriend.	Jeg lurer på om Tom har kjæreste.
I wrote to my teacher in English.	Jeg skrev et brev til læreren min på engelsk.
I'm really sorry I told you that.	Jeg er skikkelig lei meg for å ha fortalt deg det.
I've already told Tom all I know.	Jeg har allerede fortalt Tom alt jeg vet.
I've changed my website's layout.	Jeg har endret min hjemmesides layout.
I've waited a long time for this.	Jeg har ventet veldig lenge for dette.
If it's not broken, don't fix it.	Hvis det ikke er ødelagt, ikke reparér det.
If you don't work, you don't eat.	Om man ikke vil jobbe, skal man heller ikke få spise!
Is everything ready for tomorrow?	Er du forberedt til i morgen?
Is it cheaper to call after nine?	Er det billigere å ringe etter ni?
It is expensive to live in Japan.	Det er dyrt å bo i Japan.
It was dark and cold in the room.	Det var mørkt og kaldt i rommet.
It's a lot easier than I thought.	Det er mye lettere enn jeg trodde.
It's evident that you told a lie.	Det er opplagt at du løy.
It's evident that you told a lie.	Det er innlysende at du løy
Keep children away from medicine.	Hold barn unna medisin.
Liquor is not sold at this store.	Alkohol selges ikke i denne butikken.
My hobby is visiting old temples.	Hobbyen min er å besøke gamle templer.
My little brother is watching TV.	Min lillebror ser på TV.
Nothing ventured, nothing gained.	Den som intet våger, intet vinner.
Our refrigerator is out of order.	Kjøleskapet vårt er ute av drift.
Please help yourself to the cake.	Bare forsyn deg med kake.
Please let me know what you want.	Vær vennlig og fortell meg hva du ønsker.
Please turn the music down a bit.	Skru ned musikken litt.
She always speaks in a low voice.	Hun snakker alltid med lav stemme.
She takes everything for granted.	Hun tar alt for gitt.
She was fond of poetry and music.	Hun likte poesi og musikk.
She was poor, but she was honest.	Hun var fattig, men ærlig.
She was suspected of being a spy.	Hun ble mistenkt for å være en spion.
She was very proud of her father.	Hun var veldig stolt av faren sin.
Since he was honest, I hired him.	Siden han var ærlig, ansatte jeg ham.
Stars began to appear in the sky.	Stjernene begynte å komme frem på himmelen.
Take as many peaches as you want.	Ta så mange ferskener som du vil.
That's a nice tie you're wearing.	Så fint slips du har på deg.
The United States borders Canada.	De forente stater grenser til Canada.
The cat is sleeping on the chair.	Katten sover på stolen.
The house fell down a week later.	En uke senere falt huset sammen.
The meeting took place yesterday.	Møtet fant sted i går.
The patient made a full recovery.	Pasienten ble helt frisk igjen.
The patient seemed to be healthy.	Pasienten virket frisk.
The police caught him red handed.	Politiet tok ham på fersken.
The ship gradually came in sight.	Skipet kom gradvis til syne.
The sky became darker and darker.	Himmelen ble mørkere og mørkere.
They are both colleagues of mine.	De er begge kollegaer av meg.
They didn't even know themselves.	De visste det ikke engang selv.
This book was printed in England.	Denne boken ble trykt i England.
This information is confidential.	Disse opplysningene er konfidensielle.
To tell the truth, I don't agree.	For å være ærlig så er jeg ikke enig.
Tom and Mary are blood relatives.	Tom og Maria er i slekt med hverandre.
