Go.	Gitmek.
Tom didn't know Mary had done that.	Tom Meriniň şony edendigini bilenokdy.
Tom hadn't talked to them in years.	Tom ýyllar boldy ol bilen gepleşmändi.
Tom has no right to give me orders.	Tomuň maňa emir bermäge hakky ýok.
Tom hasn't asked a single question.	Tom ýekeje sorag hem soramady.
Tom is going to Australia tomorrow.	Tom ertir Awstraliýa gidip barýar.
Tom is not as good-looking as Mary.	Tom Meri ýaly göze gelüwli däl.
Tom is not as good-looking as Mary.	Tom Meri ýaly gelşikli däl.
Tom is older than anyone else here.	Tom bu ýerdäki adamlaryñ hemmesinden uly.
Tom is still a bartender, isn't he?	Tom bufetçi, şeýle dälmi?
Tom is trying to do that, isn't he?	Tom ony etmekçi bolýar, şeýle dälmi?
Tom is used to hard work, isn't he?	Tom kyn işlere öwrenişen, şeýle dalmi?
Tom isn't going to let that happen.	Tom şonuň bolmagyna rugsat bermez.
Tom kept me from joining the group.	Tom meni ol topara goşulmakdan saklady.
Tom kissed Mary softly on the lips.	Tom Maryýi ýumşakja edip ýaňaklaryndan ogşady.
Tom knew his plan wasn't very good.	Tom öz planynyň onçakly gowy däldigini bilýärdi.
Tom passed away three months later.	Tom üç aý mundan ozal ýogaldy.
Tom plays the piano better than me.	Tom pianinony menden gowy çalýar.
Tom put the tray down on the table.	Tom podnosy stoluñ üstünde goýdy.
Tom said that he felt disappointed.	Tom özüniň gamgyn bolandygyny aýtdy.
Tom says he isn't afraid of ghosts.	Tom ruhlardan gorkmaýandygyny aýdýar.
Tom seems to know all that already.	Tom eýýäm bulary bilýän ýaly görünýär.
Tom thinks his parents are perfect.	Tom öz ene-atasyny ajaýyp gorýär.
Tom thinks his parents are perfect.	Tomuñ pikiriçe onuñ ene-atasy gowy.
Tom thought that Mary had run away.	Tom Mary gaçandyr öýtdi.
Tom thought that Mary had run away.	Tom Mary gaçandyr diýip pikir etdi.
Tom told me he'd never let me down.	Tom meniň lapymy asla keç etmejekdigini aýtdy.
Tom wanted to do that this morning.	Tom ony irden etjek boldy.
Tom wants to go and see his father.	Tom gitmek we kakasyny görmek isleýär.
Tom wants to go and see his father.	Tom gidip kakasyny görmek isleýär.
Tom will figure out how to do that.	Tom muny nädip etmelidigini biler.
Tom's mother told him to come home.	Tomuň ejesi onuň öýe gelmegini aýtdy.
Tom's reply didn't surprise anyone.	Tomuň jogaby hiç kimi geň galdyrmady.
We don't know what happened to Tom.	Biz Toma näme bolandygyny bilmeýäris.
We haven't had time to do that yet.	Muny eder ýaly wagtymyz bolmady.
We leave for Boston in the morning.	Biz Bostona irden ugrarys.
We were together about three years.	Üç ýyl ýaly bilelikdedik.
When are you coming back to Boston?	Sen yzyňa Bostona haçan gelýärsiň?
Where have you been? I was worried.	Sen nirede bolduñ? Men alada etdim.
Will you please tell me the secret?	Haýyş edýän maňa syry aýdaýda?
Will you please tell me the secret?	Haýyş edýän maňa syry aýdaýyňda?
All you have to do is try your best.	Diňe etmeli zat,elimizden gelen zady etmekdir.
Anyway, I'm just here for the night.	Iñsoñam, men bu gije bu ýerde bolýan.
Boston wasn't cold when I was there.	Men ol ýerde bolanymda Bostan sowuk däldi.
Did Tom give any other instructions?	Tom başga-da görkezme berdimi?
Did you know that Tom could do that?	Tomuň şony edip biljekdigini sen bilmediňmi?
Did you know that Tom could do that?	Tomuň şony edip biljekdigini siz bilmediňizmi?
Do we have enough food for everyone?	Hemme kişi üçin ýeterlik nahar barmy?
Do we have enough food for everyone?	Hemmelere ýeterlik naharymyz barmy?
Do you go to the same school as Tom?	Sen Tomuň gidýän mekdebine gidýärsiňmi?
Do you go to the same school as Tom?	Siz Tomuň okaýan mekdebinde okaýarsyňyzmy?
Don't cut it too short in the front.	Öñ tarapyny gysga kesme.
Don't you have something else to do?	Seniň etmeli işiň ýokmy?
Don't you have something else to do?	Seniň edere işiň ýokmy?
Don't you have something else to do?	Edere başga zadyň ýokmy?
Don't you have something else to do?	Edere başga zadyňyz ýokmy?
Germany shares a border with France.	Germaniýanyň Fransiýa bilen araçägi bar.
He has every reason to quit his job.	Onuñ işden çykmak üçin her hili bahanasy bar.
He is older than you by eight years.	Ol oglan senden sekiz ýaş uly.
I advised Tom not to buy a used car.	Men Toma ulanylan ulagy satyn almazlygy maslahat berdim.
I am memorizing the national anthem.	Men döwlet senasyny ýat tutýaryn.
I can't come to the phone right now.	Şu wagt telefona gelip bilmeýen.
I can't figure out why Tom did that.	Men entägem Tomuň näme üçin beýle edenine düşünemok.
I can't wait to tell Tom about this.	Toma muny aýtmaga sabyrsyzlanýaryn.
I did it because everybody else did.	Ony başka hemme edendigi üçin men hem etdim.
I didn't ask Tom why he wanted this.	Men Tomdan muny näme üçin islänini soramadym
I don't think Tom's answer is wrong.	Men Tomuñ jogaby ýalñyşdyr öýdemok.
I don't think Tom's answer is wrong.	Meniñ pikirimçe Tomuñ jogaby ýalñyş däl
I don't want to look like a tourist.	Men turist ýaly görünmek islämok.
I don't want to love Mary, but I do.	Men Merini söýmek islämok ýöne söýýän.
I gave Tom all the money that I had.	Mende bolan hemme puly Toma berdim.
I had my pocket picked in the train.	Meniň jübimden otlyda pullar ogurlandy.
I had my pocket picked in the train.	Otlyda meniň jübim boşadyldy.
I had trouble getting the door open.	Meñ gapyny açmakda kynçylygym boldy.
I have to get rid of all this stuff.	Maña bu zatlaryñ barsyndan dynmak gerek.
I know Tom doesn't want to be there.	Tomuň şol ýerde bolmak islemeýändigini bilýärin.
I really wanted to do that with you.	Men hakykatdanam şony seniň bilen etmek isledim.
I really wanted to do that with you.	Men hakykatdanam şony siziň bilen etmek isledim.
I saw Tom last night in the library.	Düýn gije Tomy kitaphanada gördüm.
I saw Tom with Mary the other night.	Geçen gije Tomy Mary bilen gördüm.
I think I'm in trouble with my wife.	Aýalym bilen ýaman işe düşdüm öýdýärin.
I thought Tom would want to help me.	Men Tom maňa kömek eder diýip pikir edipdim.
I thought that Tom was going to win.	Men Tom utar diýip pikir etdim.
I want books to be written about me.	Men kitaplaryñ men barada ýazylan bolmagyny isleýän.
I want to know exactly what you did.	Men seniň näme edeniňi takyk bilmek isleýärin.
I want to know exactly what you did.	Men siziň näme edeniňizi takyk bilmek isleýärin.
I wish you'd told me the truth then.	Sen ol wagt maña hakykaty aýdan bolsadyñ.
I'd like to offer you your job back.	Men işiňizi size yzyna bermegi teklip etmek islärdim.
I'd like to offer you your job back.	Men işiňi yzyna saňa bermegi teklip etmek islärdim.
I'd love to have breakfast with you.	Men seniñ bilen ertirlik edinsedim gowy bolardy.
I'll be very tired after doing that.	Ony edenimden soñ men gaty ýadaw bolaryn.
I'll never be able to do that again.	Muny ýene bir gezek hiç haçan etmerin.
I'm getting sent to Australia again.	Meni ýene Awstraliýa ugradýarlar.
I'm going to come back here tonight.	Men bu ýere agşamlyk ýene geljek bolýan.
I'm going to cook you a nice dinner.	Men seniň üçin bir gowy nahar bişirjek bolýan.
I'm going to cook you a nice dinner.	Men saňa gowy agşamlyk nahary bişirip berjek.
I'm going to cook you a nice dinner.	Men size gowy agşamlyk nahary bişirip berjek.
I've become accustomed to the noise.	Men galmagala öwrenişdim.
I've never forgotten Tom's birthday.	Tomyň doglan günini hiç ýatdan çykarmadym.
Is everything arranged for tomorrow?	Ertire hemme zat ýerleşdirilenmi / meýilleşdirilenmi?
It's pretty clear we have a problem.	Bir meselämiz bardygy boldugyça görünüp dur.
Mothers often pamper their children.	Köplenç ejeler çagalaryny läliksiredýäler.
On which chair did you put the book?	Kitaby haýsy stola goýduň?
Please wait while I get you a towel.	Haýyş men saňa elsüpürgiç getirýänçäm garaş.
She saw a young man at the entrance.	Ol gyz bosagada bir ýaş ýigidi gördi.
Sometimes it's better to keep quiet.	Käwagt ýuwaş bolup oturmak gowy
Sometimes it's better to keep quiet.	Käwagt sessizlik gowy.
Sometimes it's better to keep quiet.	Käwagt sessiz bolmak gowydyr.
Swimming isn't allowed in this lake.	Bu kölde ýüzmäge rugsat berilmeýär.
That's an entirely different matter.	Bu dolulygyna başga bir ýagdaýdyr.
That's the way I would've done that.	Men şony şeýdip ederdim.
The economy has entered a recession.	Ykdysadyýet pese düşmegine / çöküşe girdi.
The fox and the bear lived together.	Tilki we aýy bilelikde ýaşaýardylar.
The swimmers are entering the water.	Ýüzüjiler suwa girýärler.
This car belongs to you, doesn't it?	Bu maşyn saňa degişli, şeýle dälmi?
This car belongs to you, doesn't it?	Bu maşyn size degişli, şeýle dälmi?
This is a good learning environment.	Bu gowy öwrenme gurşawy.
Tom and Mary were talking in French.	Tom we Mary Fransuzça gürleýärler.
Tom came here to ask us to help him.	Tom oňa kömegi bizden soramaga bärik geldi.
Tom can't stand up straight anymore.	Tom dikligine durup bilmeýär.
Tom corrected what Mary had written.	Tom Meryñ ýazyp goýan zadyny düzetdi.
Tom couldn't wait until the weekend.	Tom hepde soňuna çenli garaşyp bilmedi.
Tom doesn't have to apologize to me.	Toma menden ötünç soramak gerek däl.
Tom doesn't want to do that with me.	Tom ony meniñ bilen etmek islemeýär.
Tom is a pretty good French speaker.	Tom fransuzça gowja gepleýär.
Tom is brushing his daughter's hair.	Tom gyzynyň saçyny daraýar.
Tom is exactly the same age as Mary.	Tom Mary bilen ýaşdaş.
Tom is going to do that, eventually.	Tom ahyrsoňy şony eder.
Tom is still not ready to go, is he?	Tom gitmäge entägem taýyn däl, şeýle gerek?
Tom is young, but he isn't innocent.	Tom ýaş, emma ol günäsiz däl.
Tom knew that Mary was in Australia.	Tom Marynyň Awstraliýadadygyny bildi.
Tom left his daughter alone at home.	Tom gyzyny öýde ýeke goýup gitdi.
Tom said I needed to get more sleep.	Tom maňa biraz ýene uklamalydygymy aýtdy.
Tom said that nobody else was there.	Tom ol ýerde başga hiç kim ýokdy diýdi.
Tom says he knows Mary will do that.	Tom Meriniň şony etjekdigini bilýändigini aýdýar.
Tom should leave things as they are.	Tom hemme zady boluşy ýaly goýsa gowy bolar.
Tom was living with us at that time.	Ol wagt Tom biz bilen ýaşaýardy.
Tom wasn't frustrated, but Mary was.	Tom gussaly däldi, emma Meri gussalydy.
Tom's dog has black and white spots.	Tomuň güjüginde ak we gara tegmiller bar.
Unfortunately, I can't come tonight.	Gynansakda, men şu gije gelip bilmeýärin.
We need to go to Boston to help Tom.	Biz Toma kömek etmek üçin Bostona gitmeli.
We spent the night in a cheap hotel.	Arzan otelde gijämizi geçirdik.
We spent the night in a cheap hotel.	Arzan myhmanhanda gijämizi geçirdik.
Who told you I'd be able to do that?	Men ony başararyn diýip saña kim aýtdy?
Why does Tom want to be a carpenter?	Tomyñ näme üçin agaç ussasy bolasy gelýär?
Why does Tom want to be a carpenter?	Näme üçin Tom agaç ussasy bolmak isleýär?
You aren't afraid of dying, are you?	Ölmekden gorkmaýaň dälmi?
You don't entirely trust us, do you?	Sen bize doly ynanañok, şeýle dälmi?
You have to come back in 30 minutes.	Sen 30 minutdan yzyňa gelmeli.
You should've followed Tom's orders.	Tomuň görkezmelerini diňlemelidiň.
You're a lot smarter than you think.	Sen oýlanyňdan köp akylly sen.
All big cities have traffic problems.	Hemme uly şaherleriñ trafik meselesi bar.
Can any of your friends speak French?	Seniň haýsydyr bir dostuň Fransuzça gepläp bilýärmi?
Do you and Tom still hate each other?	Tom ikiñiz entägem bir-biriñizi ýigrenýäñizmi?
Do you think you're smarter than Tom?	Seniň pikiriňçe sen Toma garnyňda biraz akyllyrakmyň?
Do you want me to spy on Tom for you?	Siz özüňiz üçin meniň Toma içalylyk etmegimi isleýärsiňizmi?
Do you want me to spy on Tom for you?	Sen özüň üçin meniň Toma içalylyk etmegimi isleýärsiňmi?
Do your parents leave you home alone?	Seniñ eneñ-atañ seni öýde ýeke goýup gidýärlermi?
Don't try to pretend you're innocent.	Özüñi günäsiz ýaly alyp barjak bolma.
Have you discussed this with anybody?	Muny kimdir biri bilen gepleşip gördüňmi?
He finally decided to propose to her.	Soňunda özüne teklip bermege karar berdi.
His house is at the foot of Mt. Fuji.	Onuñ öýi Fuji dagynyñ eteginde.
Hotels are cheaper in the off season.	Oteller ýapyk sezonda öran arzandyr.
How many apples have you eaten today?	Şu gün näçe sany alma iýdiňiz?
How many apples have you eaten today?	Şu gün näçe sany alma iýdiň?
How many minutes ago did that happen?	Bu näçe minut mundan öň bolup geçdi?
I brought what Tom asked me to bring.	Tomuň getirmegimi isleyän zadyny getirdim.
I don't care if Tom does that or not.	Tomuň edip etmemesi meni gyzyklandyrmaýar
I don't think that Tom was satisfied.	Tom hoşal bolandyr öýdemok.
I don't think that Tom was satisfied.	Men Tom hoşal bolandyr diýip pikir edemok.
I don't think this is the wrong road.	Men bu ýol ýalñyşdyr öýdemok.
I don't think this is the wrong road.	Meniñ pikirimçe bu ýol ýalñyş däl
I doubt I'll be successful this time.	Men bu gezek başararyn öýdemok
I doubt I'll be successful this time.	Men bu sapar başararyn diýp pikir edemok
I know Tom isn't much taller than me.	Tomuň menden gaty uzyn däldigini men bilýärin.
I run before breakfast every morning.	Men her gün irden ertirlikden öň ylgamana gidýärin.
I saw Tom's picture in the newspaper.	Gazetde Tomuň suratyny gördüm.
I suspect that's not going to happen.	Meniň şübhelemegim boýunça ol bolmaz öýtýän.
I think that I'll go and take a bath.	Meniñ pikirimçe men giderin we suwa düşerin
I think you are a really nice person.	Meniňçe,sen hakykatdan hem gowy adamsyň.
I thought I would be able to do that.	Muny edip bilerin diýip düşünendim.
I thought that your parents liked me.	Men seniň ene-ataň meni halandyr öýdip pikir etdim.
I usually try to eat a healthy lunch.	Men adatça saglykly günortanlyk nahary iýjek bolýaryn.
I usually try to eat a healthy lunch.	Men adatça saglykly günortanlyk nahary iýmäge çalyşýaryn.
I want you to listen to me carefully.	Meni ünüsli diñlemegiñi isleýän.
I wish I knew more than one language.	Men bir dilden köp dil bilsedim.
I wonder whether it'll snow tomorrow.	Men ertir gar ýagarmyka diýip gyzyklanýaryn.
I wrote Tom three letters last month.	Men geçen aý Toma üç sany hat ýazdym
I'll be here waiting for you at 2:30.	Men 2:30 - da saña garaşmak üçin bu ýerde bolaryn.
I'll be here waiting for you at 2:30.	Men bu ýerde sagat 2:30-da saña garaşyp oturaryn.
I'm afraid that's no longer possible.	Bu indi hiç haçan mümkin bolmaz diýip men gorkýaryn.
I'm grateful you volunteered to help.	Seniň meýletin kömekleşeniň üçin men örän minnetdar.
I'm grateful you volunteered to help.	Siziň meýletin kömekleşeniňiz üçin men örän minnetdar.
I'm hoping for a really big discount.	Men hakyky uly arzanladyşa umyt edýärin.
I'm quite certain Tom didn't do that.	Ony Tomyñ etmedigine takyk ynamym bar.
I'm sorry, but I can't stay for long.	Bagyşlarsyň weli, men uzak wagtlap galyp bilmeýärin.
I've never met a kinder man than Tom.	Men hiç haçan Tomdan gowy adamyny görmedim.
I've never met a kinder man than Tom.	Men Tomdan gowy adama hiç haçan duşmadym.
If I were a bird, I could fly to you.	Eger-de men guş bolan bolsadym, men saňa uçup bilerdim.
It gets quite hot here in the summer.	Tomusda bärde ýeterlik gyzýar.
It isn't true that Tom saw a monster.	Tomuň döw görendigi dogry däl.
It's only three miles to the village.	Oba çenli bary ýogy üç mil bar.
Let's put up the Christmas tree here.	Gel, Roždestwo agajyny şu ýerde goýaly.
Monday morning I was bitten by a dog.	Duşenbe güni irden men bir güjük tarapyndan dişlendim.
Peach trees require lots of sunshine.	Şetdaly agaçlary günüň ýagtylygynyň bol bolmagyny talap edýärler.
Police continued their investigation.	Polisiýa olaryň barlagyny dowam etdirdi.
Rabid dogs usually foam at the mouth.	Guduzlan güjükleriň agzy köpürjikleýär.
She died on a cold night in December.	Dekabr aýynda sowuk bir gijede aradan çykdy.
That gold ring belonged to my mother.	Ol altyn ýüzik meniñ ejeme degişlidi.
That's the way things were back then.	Şol döwürler ýagdaýlar şeýledi.
The flowers in the garden need water.	Bakjadaky güllere suw gerek
The person who's helping Tom is Mary.	Toma kömek edip duran kişi Meri.
The soldier aimed his gun at the man.	Esger ýaragyny adama dogrultdy.
The teacher permitted him to go home.	Mugallym oňa öýüne gitmäge rugsat berdi.
They have old construction equipment.	Olaryň köne gurluşyk enjamlary bar.
Things were happening pretty quickly.	Zatlar ep-esli çalt bolup geçýärdi.
This is the best book I've ever read.	Bu meniň haçan hem bolsa okan iň gowy kitabym.
This is the best book I've ever read.	Bu meniň şu wagta çenli okan iň gowy kitabym.
This seems to be a pretty busy place.	Bu mazaly başagaý ýere meňzeýär.
Tom and Mary are both horrible liars.	Tom hem Mary hem erbet ýalançydylar.
Tom doesn't know how much I love him.	Tom meñ ony nähili gowy görýändigimi bilenok.
Tom gave us something in a small box.	Tom bize kiçi gutuda bir zat berdi.
Tom had to go to Australia with Mary.	Tom Awstraliýa Meri bilen gitmelidigine mejbur boldy.
Tom is a really bad singer, isn't he?	Tom hakyktdan hem erbet aýdymçy, şeýle dälmi?
Tom is already quite drunk, isn't he?	Tom eýýäm serhoş,dälmi?
Tom isn't as chubby as he used to be.	Tom öňküsi ýaly pokgaja däldir.
Tom needed to find someplace to live.	Tom ýaşamak üçin bir ýer tapmalydy.
Tom says Mary doesn't like Australia.	Tom Meriniň Awstraliýany halamaýandygyny aýdýar.
Tom says that he has a secret weapon.	Tomyň aýtmagyna görä onda gizlin ýarag bar.
Tom seems to know a lot about Boston.	Tom Boston barada köp zat bilýäne meñzeýär.
Tom spends most of his money on food.	Tom pulunyň köp bölegini iýmite sarp edýär.
Tom thought his parents were perfect.	Tom öz ene-atasy birkemsizmikä öýtdi.
Tom told us that the room was locked.	Tom bize otagyň gulpludygyny aýtdy.
Tom tried his best to calm Mary down.	Tom Merini köşeşdirmek üçin elinden gelenini etdi.
Tom was my boyfriend three years ago.	Tom üç ýyl mundan ozal meniň söýgülimdi.
Tom won't be going to Boston with us.	Tom biziň bilen Bostona gitmez.
Tom's wife is just as crazy as he is.	Tomuň aýaly hem edil özi ýaly däli.
We hope that you don't do that again.	Muny indi etmezsiňiz diýip umyt edýen.
We might actually be able to do that.	Biz hakykatdanam ony başaryp bilerdik.
We've all said nice things about Tom.	Tom barada hemmämiz gowy zat aýtdyk.
Why did you live in Boston last year?	Sen geçen ýyl näme üçin Bostonda ýaşadyñ?
Will you come with me to the concert?	Sen meniň bilen konserte geljekmi?
Would it bother you if I smoked here?	Eger men bu ýerde çilim çeksem seniñ gaharyñ gelermi?
Would you like to go fishing with us?	Biz bilen balyk tutmana gitmek isleýäñmi?
You don't do that very often, do you?	Muny hemişe etmezsiň dälmi?
Actually, I'm not suggesting anything.	Aslynda, men hiç zat maslahat beremok.
Did you forget to set your alarm, Tom?	Alarmy gurmagy ýadyňdanmy çykardyň?Tom.
Did you put water in the refrigerator?	Sen suwy sowadyja goýduñmy?
Did you put water in the refrigerator?	Siz suwy sowadyja goýduñyzmy?
From now on, I will not use that word.	Mundan soň şol sözi ulanjak däl.
Halley's Comet will come back in 2061.	Hälleýiň kometasy 2061-nji ýylda gaýdyp geler.
He became famous throughout the world.	Ol dünýä ýüzüne tanymal boldy.
How many hours did you work yesterday?	Düýn näçe sagat işlediñ?
I can't believe Tom doesn't like Mary.	Men Tomuň Meriny halamaýandygyna ynanyp bilemok.
I can't come up with a plan right now.	Şu wagt bir plan aýdyp bilmerin.
I can't concentrate while you're here.	Sen bu ýerdekän üns berip bilmerin.
I can't say that I like Tom very much.	Men Tomy gaty gowy görýän diýip biljek däl.
I didn't have a good time last Sunday.	Geçen ýekşenbe güni gowy wagt geçirmedim.
I didn't know where Tom was taking me.	Tomuň meni nirä äkidip barýandygyny men bilemokdym..
I didn't mean to give that impression.	Men beýle täsir bermegi göz öňünde tutmadym.
I don't have to go if I don't want to.	Men gidesim gelmese gitmäne borçly däl.
I don't know how Tom feels about that.	Tomyň bu barada nähili pikirdedigini bilemok.
I don't like the color of these shoes.	Men şu aýakgaplaryň reňkini halamok.
I have a lot of problems to deal with.	Meñ çözmeli kynçylyklarym köp.
I have found your dirty little secret.	Men seniň kiçi gabahat syryňy tapdym.
I have found your dirty little secret.	Men siziň kiçi gabahat syryňyzy tapdym.
I hope Tom knows who wants to do that.	Men Tomyñ ony kimiñ edesiniñ gelýändigini bilýändir diýip umyt edýärin.
I know what you must be going through.	Seniñ nämeleri başdan geçirýäniñi bilýärin.
I put my wife's glasses on by mistake.	Men aýalymyñ äýnegini ýalñyşlyk bilen goýupdyryn.
I saw Tom yesterday and he looked sad.	Düýn Tomy gördüm we gynançly görünýärdi.
I spend a lot of time studying French.	Men Fransuz dilini öwrenmek üçin köp wagtymy sarp etdim.
I think Tom will permit us to do that.	Meniň pikirimçe Tom bize şony etmäge rugsat berer.
I think that Tom is a really nice kid.	Men Tom hakykatdanam gowy çagadyr diýip pikir edýärin.
I think that's a very stupid argument.	Meniň pikirimçe bu örän bolgusyz jedel.
I thought Tom wouldn't recognize Mary.	Sen Merini tanamazdyň diýip pikir etdim.
I thought Tom wouldn't recognize Mary.	Siz Merini tanamazdyňyz diýip pikir etdim.
I told you to never speak to me again.	Men bilen hiç haçan gepleşmemegiňi aýdypdym.
I was told that I should see a doctor.	Lukmana görünmelidigimi aýtdylar.
I was told that I should see a doctor.	Lukmany görmek gerekdigi aýdyldy.
I went to primary school in Australia.	Men başlangyç mekdebe Awstraliýada bardym.
I won't go out until it stops raining.	Ýagyş ýagmasyny goýýança, daşaryk çykjak däl.
I'll have to go and see what I can do.	Gitmek we näme edip bilýandigimi görmäge mejburyn.
I'm not as innocent as you think I am.	Men seniñ pikir edişiñ ýaly günäsiz däl.
I'm sure we'll be able to manage that.	Men ony çyndanam dolandyryp biljegime ynanýaryn.
I'm the one who got us into this mess.	Bizi bu urşa goşan men.
If you don't have a pen, use a pencil.	Eger ruçkaň ýok bolsa, gaam ulan.
If you don't have a pen, use a pencil.	Eger ruçkaňyz ýok bolsa, galam ulanyň.
It looks like Tom won't be here today.	Tom bu gün bu ýere gelmejege meñzeýär.
It was dark when we reached the hotel.	Biz myhmanhana ýetenimizde howa garalypdy.
It's about 133 kilometers from London.	Ol Londondan takmynan 133 kilometr daşlykda.
My baby began crying, asking for milk.	Çagam aglap başlady,süýt isledi
No two words are identical in meaning.	Hiç bir iki söz many taýdan bir däldir.
Nobody knew Tom couldn't speak French.	Tomuň fransuzça gürläp bilmeýändigini hiç kim bilenokdy.
Please put it back where you found it.	Haýyş, muny tapan ýeriňizde goýuň.
Please put it back where you found it.	Haýyş, muny tapan ýeriňde goý.
Step forward and make room for others.	Bir ädim öñe süýş we başgalara ýer ber.
The jewel was stolen during the night.	Gymmatbaha daş gije ogurlandy.
The jewel was stolen during the night.	Gymmatbaha daş gije ogurlanypdyr.
The office is having a farewell party.	Ofis hoşgal baýramçylygy belleýär.
There's a book lying open on the desk.	Ol ýerde,stoluň üstünde üsti açyk kitap dur.
They don't have to go to school today.	Olara bu gün mekdebe gitmek hökman däldir.
Those people might be able to help us.	Bu adamlar bize komek edebilir.
Tom covered his mouth when he sneezed.	Tom asgyranda agzyny ýapdy.
Tom didn't even know Mary's last name.	Tom Maryniñ familiýasynam bilenok eken.
Tom didn't know where his car key was.	Tom öz ulagynyň açarynyň drdedigini bilmeýärdi.
Tom didn't want to be eaten by wolves.	Tom möjekler tarapyndan iýilmek islemedi.
Tom doesn't have the skill to do that.	Tomyñ ony etmäge ukyby ýok.
Tom doesn't know anyone at our school.	Tom biziň mekdebimizde hiç kimi tananok.
Tom hadn't been expecting that answer.	Tom ol jogaba garaşanokdy
Tom hadn't been expecting that answer.	Tom beýle jogaba garaşanokdy
Tom is in his office, doing paperwork.	Tom öz ofisinde ýazuw işleri bilen meşgullanýar.
Tom is older than all of us, isn't he?	Tom hemmämizden garry,dälmi?
Tom is on his way back home, isn't he?	Tom öýe dolanýar,dälmi?
Tom is on his way to Boston, isn't he?	Tom Bostona gidýär,dälmi?
Tom is on the baseball team, isn't he?	Tom beýzbol toparynda,dälmi?
Tom is peeling the potatoes, isn't he?	Tom kartoşkalaryñ daşyny aýyrýar,dälmi?
Tom is permitted to do that, isn't he?	Tom muny etmek üçin rugsatly,dälmi?
Tom is planning to be there, isn't he?	Tom ol ýerde bolmagy planlaýar,dälmi?
Tom is pretty bad at French, isn't he?	Tom Fransuzçada örän ýaman, dälmi?
Tom made me swear not to say anything.	Tom maňa hiç zaýt aýtmajagym barada kasam etdirdi.
Tom needs to do that before he leaves.	Tom ony gitmezinden ozal etmeli.
Tom says he has actually seen a ghost.	Tom hakykatdanam ruh gördügini aýdýar.
Tom took Mary to Australia for a week.	Tom Meryny bir hepdelik Awstraliýa alyp gitdi.
Tom was born on a cold winter morning.	Tom sowuk bir gyş azanynda dünýä indi.
Tom wasn't very frugal with his money.	Tom öz puly bilen tygşytly bolmady.
Tom won't permit you to do that again.	Tom saňa bu zady täzeden etmäge rugsat bermez.
Tom would do that if he had more time.	Tomyñ ýeterlik wagty bolan bolsa ederdi.
Vultures circled over the dead bodies.	Garaguşlar öli bedenleriň üstünden aýlandy.
We aren't going anywhere in this rain.	Biz ýagýşly günde hiç ýere gitmeris.
We aren't going anywhere in this rain.	Biz ýagýşly günde hiç ýere gidemzok.
We have something we need to tell Tom.	Biziň Toma aýtmaly zadymyz bar.
We've seen this happen too many times.	Muny birnäçe gezek bolandygyny gördük.
What happened doesn't change anything.	Name bolup geçen bolsa da, hiç zady üýtgetmeýär.
What you're looking for is right here.	Señ gözleýän zadyñ edil şu ýerde.
Why haven't you been to Boston lately?	Näme üçin ýakyn wagtlarda Bostona gitmediň?
Why wouldn't you allow Tom to do that?	Tomuň muny etmesine näme üçin rugsat bermeýärsiň?
Will Tom come with his wife, or alone?	Tom öz aýaly bilen gelermi ýa-da ýeke özi?
You know that I love all three of you.	Men seniñ üç zadyñam gowy görýärin.
You know that I love all three of you.	Men sendäki üç zadam gowy görýärin
You know that I love all three of you.	Men sizdäki üç zadyñ hemmesinem gowy görýärin
You must be prepared for an emergency.	Sen gaýragoýulmasyz ýagdaýa taýyn bolmaly.
You should buy your ticket in advance.	Biletiñi öñünden almaly sen.
You've never studied French, have you?	Sen hiç haçan Fransuz dilini öwrenmediñ şeýle dämi?
You've never studied French, have you?	Sen hiç haçan Fransuz dilini öwrenmediñ şeýle gerek?
You've never studied French, have you?	Sen hiç haçan Fransuzça okamadyñ şeýle dämi?
All you have to do is give this to Tom.	Diňe etmeli zadyň muny Toma bermek.
As soon as you tell me how, I'll do it.	Men ony nähili etmelidigimi aýdan badyňa ederin.
Both Tom and Mary have dyed their hair.	Tom we Mary saçlaryny boýadylar.
Can I talk with you alone for a moment?	Men seniñ bilen biraz ýekelikde gürleşip bilerinmi?
Could you please proofread this for me?	Şuny meniň üçin barlap düzediş girizip bilerdiňizmi?
Do you have a moment to talk about Tom?	Tom hakda gürleşmäge az salymyň barmy?
Do you have a moment to talk about Tom?	Tom hakda gürleşmäge az salymyňyz barmy?
Do you know why Tom decided to do that?	Sen Tomuň näme üçin şony etmek kararyna gelendigini bilýärsiňmi?
Do you know why Tom decided to do that?	Siz Tomuň näme üçin şony etmek kararyna gelendigini bilýärsiňizmi?
Have you made progress in your studies?	Işleriňde öňe gidişlikler boldymy?
How much time will you be in Australia?	Sen Awstraliýada näçe wagt bolarsyň?
I can't believe you just called me fat.	Men seniñ maña semiz diýeniñe ynanyp bilemok
I can't believe you just called me old.	Men seniñ maña garry diýeniñe ynanyp bilemok.
I didn't specify exactly what I wanted.	Men özümiň näme isleýändigimi anyk takyklamadym.
I don't have many friends in this town.	Meniň bu şäherçede kän dostlarym ýok.
I don't like to be corrected in public.	Meni köpçülikde düzetseler halamaýaryn.
I don't like to be corrected in public.	Men köpçülikde düzeldilsem halamaýaryn.
I don't really think that Tom did that.	Men ony Tom edendir öýdemok.
I had a great time with you last night.	Men geçen agşam seniñ bilen gowy wagt geçirdim
