I try.	Padasek.
I helped Tom clean the kitchen.	Tinulongak ni Tom a mangdalus iti kosina.
I know only one way to do this.	Maysa a wagas laeng ti ammok a pangaramid iti daytoy.
I learned how to cook from Tom.	Nasursurok ken ni Tom ti panagluto.
I think Tom enjoyed doing that.	Panagkunak ket naragsakan ni Tom a nangaramid iti dayta.
I think that would really hurt.	Panagkunak ket mangpasakit a talaga dayta.
I told Tom to stay in his room.	Imbagak ken ni Tom nga agtalinaed iti siledna.
I won't tell anyone about this.	Diak ibagbaga iti asino man ti maipanggep iti daytoy.
I'm going to call Tom tomorrow.	Awagak ni Tom inton bigat.
I'm going to go there with Tom.	Mapanak idiay a kaduak ni Tom.
I'm sad for everyone concerned.	Malidayanak para iti amin a maseknan.
I'm sure that Tom can fix this.	Siguradoak a matarimaan ni Tom daytoy.
I'm very, very, very concerned.	Maseknanak la un-unay.
Is it true that Tom kissed you?	Agpayso kadi nga inagkannaka ni Tom?
Is it true that you kissed Tom?	Agpayso kadi nga inagkam ni Tom?
Is there a contradiction there?	Adda kadi kontradiksion idiay?
It was Tom who found your keys.	Ni Tom ti nakabirok kadagiti tulbekmo.
It wasn't me who told Tom that.	Saan a siak ti nangibaga iti dayta ken ni Tom.
It's just that I don't like it.	Umayka ditoy!
Just seeing it made me nervous.	Iti pannakakitak laengen ket agnerbiosakon.
Keep on working while I'm away.	Agtrabahokayo latta kabayatan nga awanak.
Let's try to change the system.	Padasentayo a balbaliwan ti sistema.
Life has become very difficult.	Nagbalinen a narikut ti biag.
Maybe Tom has changed his mind.	Nalabit nagbaliwen ti panunot ni Tom.
Nobody has seen him ever since.	Awanen ti nakakita kenkuana sipud idi.
Submit your homework on Monday.	Idatagyo ti obrayo iti balay inton Lunes.
Three days later, Tom was dead.	Napalabas ti tallo nga aldaw, natay ni Tom.
Tom came here today by bicycle.	Immay ni Tom ditoy ita babaen ti bisekleta.
Tom has gone back to Australia.	Nagsublin ni Tom didiay Australia.
Tom has really helped us a lot.	Adu ti naitulong ni Tom kadakami.
Tom was hiding behind the door.	Aglemlemmeng ni Tom iti likudan ti ridaw.
We need to find Tom right away.	Masapul a masarakantayo a daus ni Tom.
We were just talking about Tom.	Pagpatpatanganmi la itay ti maipanggep ken ni Tom.
What made you change your mind?	Ania ti namagbaliw iti panunotmo?
Which terrorist group did this?	Ania a grupo dagiti terorista ti akin-aramid iti daytoy?
Why are you visiting Australia?	Apay a bisitaem ti Australia?
Will you be home for Christmas?	Agawidka kadi inton Paskua?
You'll forget about me someday.	Malipatannakto met laeng iti maysa nga aldaw.
All we want is to be left alone.	Ti laeng kakaisuna a kalikagummi ket panawandakami a dakdakami.
Are you for or against his idea?	Sumarurongka kadi wenno supringem ti kapanunotanna?
Can you help me find a good job?	Mabalin kadi a tulonganna nga agsapul iti napintas a trabaho?
Could you call a doctor, please?	Pangngaasim ta mangayabka man iti doktor.
Do you think you could be a cop?	Panagkunam kabaelam ti agbalin a maysa a polis?
Do you want me to come with you?	Kayatmo kadi a sumurotak kenka?
Do you want me to throw it away?	Kayatmo kadi nga ibellengkon?
Don't worry. It's not important.	Dika madanagan. Saan nga importante.
Don't you have a train to catch?	Awan kadi ti kamakamem a tren?
Don't you like your job anymore?	Dimo kadi kayaten ti trabahom?
Few people attended the meeting.	Manmano a tao ti timmabuno iti miting.
He failed, due to lack of money.	Napaay isuna gapu iti panagkurang iti kuarta.
He is proud of being a musician.	Ipagpampannakkelna ti kinamusikerona.
I don't know if I have the time.	Diak ammo no adda orasko.
I have my own way of solving it.	Adda bukodko a wagas a mangsolbar iti daytoy.
I have nothing to apologize for.	Awan ti rumbeng nga idawatak iti pammakawan.
I shouldn't have left Tom alone.	Diak koma ngamin pinanawan ni Tom nga is-isuna.
I thought that she was pregnant.	Impagarupko no masikog isuna.
I warned you to leave Tom alone.	Binallaaganka a panawam ni Tom nga is-isuna.
I would never have guessed that.	Diak la ketdi koma napugtuan dayta.
I'm afraid to be alone at night.	Mabutengak nga agmaymaysa iti rabii.
I'm leaving for Canada tomorrow.	Mapanak idiay Canada no bigat.
I've been alone for a long time.	Nabayagen nga agmaymaysaak.
It was a controversial decision.	Kontrobersial daydiay a pangngeddeng.
Just don't try to do this alone.	DImo laeng padpadasen nga aramiden daytoy a siksika.
Just tell Tom to leave me alone.	Ibagam laeng ken ni Tom a panawannak a sisiak.
Let me take your blood pressure.	Bay-am a rukodek ti presion ti daram.
May I speak with you alone, Tom?	Mabalin kadi nga agpatangta a data laeng, Tom?
Maybe you should leave me alone.	Siguro ket masapul a panawannak nga agmaymaysa.
People live only about 70 years.	Agbiag ti tao iti agarup a 70 a tawen laeng.
There is a church near my house.	Adda simbaan iti asideg ti balayko.
Tom and Mary don't want us here.	Saan a kayat da Tom ken Mary nga addata ditoy.
Tom has been alone far too long.	Nabayagen nga agmaymaysa ni Tom.
Tom has returned from Australia.	Simmangpeten ni Tom manipud Australia.
Tom hopes to see you in October.	Mangnamnama ni Tom a makitanaka inton Oktubre.
Tom is a good basketball player.	Nalaing a basketbolista ni Tom.
Tom is tired of waiting in line.	Nabannogen ni Tom nga agpilpila.
Tom is unable to work this week.	Saan a kabalinan ni Tom ti agtrabaho ita a lawas.
Tom left at four in the morning.	Pimmanaw ni Tom itay alas kuatro ti agsapa.
Tom was hiding in the mountains.	Aglemlemmeng ni Tom iti kabambantayan.
Tom was in a hurry this morning.	Agdardaras ni Tom itay agsapa.
Tom will arrive on October 20th.	Sumangpet ni Tom inton maika-20 ti Oktubre.
Unless it rains, I will go, too.	Malaksid no agtudo, mapanak met.
What prevented you from working?	Ania ti nanglapped kenka nga agtrabaho?
What's the purpose of your trip?	Ania ti panggep ti panagbiahem?
You'll never guess what Tom did.	Saanmo a mapugtuan no ania ti inaramid ni Tom.
You're not very hungry, are you?	Saanka a mabisin unay, saan kadi?
Your problem is similar to mine.	Agpadata iti parikut.
All we need is a little patience.	Ti kangrunaan a kasapulantayo ita ket sangkabassit nga anus.
Are you planning on buying a car?	Panggepmo kadi ti gumatang iti kotse?
Did Tom say why he wasn't coming?	Imbaga kadi ni Tom no apay a saan nga umay isuna?
Did you see what Tom did to Mary?	Nakitam kadi no ania ti inaramid ni Tom ken ni Mary?
Do you agree with Tom's decision?	Umanamongka kadi iti pangngeddeng ni Tom?
Do you agree with their decision?	Umanamongka kadi iti pangngeddengda?
Do you have a better explanation?	Adda kadi nasaysayaat a panangilawlawagmo?
Do you have brothers and sisters?	Adda kadi kakabsatmo a lallaki ken babbai?
Do you know something about this?	Adda kadi ammom maipanggep iti daytoy a banag?
Do you know where Tom was hiding?	Ammom kadi no sadino ti paglemlemmengan ni Tom?
Do you really hate Tom that much?	Kaguram kadi ni Tom iti kasta la unay?
Do you think Tom would like this?	Panagkunam kayat ni Tom daytoy?
Do you want another one of these?	Kayatmo kadi ti maysa pay a kas kadagitoy?
Do you want to know who did this?	Kayatmo kadi a maammuan no asino ti nangaramid iti daytoy?
Don't worry. It's only temporary.	Dika madanagan. Temporario laeng daytoy.
Don't worry. It's perfectly safe.	Dika madanagan. Natalged dayta.
Everyone seems to be busy but me.	Makumikom sa ti amin malaksid kaniak.
Everything that Tom said is true.	Agpayso amin nga imbaga ni Tom.
Have you ever heard such a story?	Nakangngegka kadin iti kasta nga istoria?
He had a large family to support.	Dakkel ti familiana a suportaranna.
He put the ring on Mary's finger.	Inyusokna ti singsing iti ramay ni Mary.
I don't know how to use Facebook.	Diak ammo no kasano ti agaramat iti Facebook.
I don't know if you remember Tom.	Diak ammo no malagipmo ni Tom.
I love movies with happy endings.	Kayatak dagiti pelikula nga addaan ti naragsak nga panungpalan.
I was born on October 10th, 1972.	Nayanakak idi maika-10 ti Oktubre 1972.
I'm three years younger than you.	In-inaudiak iti tallo a tawen kenka.
My little brother is watching TV.	Agbuybuya iti TV ti adingko a lalaki.
Registration starts October 20th.	Mangrugi ti panagrerehistro iti maika-20 ti Oktubre.
The children were swimming naked.	Dagidiay ubbing ket aglalangoy nga lamulamo.
Tom explained everything to Mary.	Inlawlawag ni Tom ti amin ken ni Mary.
Tom is one of my closest friends.	Maysa kadagiti kaaasitgan a gayyemko ni Tom.
Tom realized that Mary was lying.	Napaneknekan ni Tom nga agul-ulbod ni Mary.
Tom visited Mary on October 20th.	Sinarungkaran ni Tom ni Mary idi maika-20 ti Oktubre.
We did not expect many to attend.	Dimi ninamnama nga adu ti dumar-ay.
We're getting married in October.	Agkallaysakami inton Oktubre.
What time do you leave your work?	Ania nga oras a malpasmo ti obram?
Where did you hide my cigarettes?	Nangilemmengam kadagiti sigariliok?
Which one of you is Tom's doctor?	Asino kadakayo ti doktor ni Tom?
Why is life so full of suffering?	Apay kadi a ti biag ket napnuan iti panagsagaba?
You're in better shape than I am.	Nasalsalun-atka ngem iti siak.
Applications are due October 20th.	Agpatingga iti maika-20 ti Oktubre dagiti aplikasion.
Blood circulates through the body.	Aglawlawlaw ti dara iti entero a bagi.
Do you have any idea what this is?	Adda kadi ideam no ania daytoy?
Don't smoke while you are on duty.	Saanka nga agsigarilio no addaka iti trabahom.
He came at three in the afternoon.	Immay isuna iti alas tres iti malem.
I am supposed to meet him at four.	Kasinnarakko koma isuna iti alas kuatro.
I don't have any time to watch TV.	Awan la panawenko nga agbuya iti TV.
I saw him coming out of the hotel.	Nakitak isuna a rimmuar manipud iti otel.
I was with friends all last night.	Nagpatpatnag a kaduak dagiti gagayyemko.
I'd like you to have a blood test.	Kayatko a maipaamiris ti daram.
I'd rather stay home and watch TV.	Agtalinaedak laengen iti balay ket agbuyaak iti TV.
I'll be free all Monday afternoon.	Siwayawayaak inton malem ti Lunes.
I've been in Boston since October.	Addaak iti Boston idi pay Oktubre.
Is there an easier way to do this?	Adda kadi nalaklaka a wagas a panangaramid iti daytoy?
It has to be done a different way.	Masapul a maaramid iti sabali a wagas.
Lost in thought, I missed my stop.	Iti kauneg ti panagpampanunotko, nalabsak ti pagsardengak.
None of us actually saw it happen.	Awan kadatayo ti talaga a nakakita a napasamak.
Painters such as Picasso are rare.	Manmano laeng dagiti pintor a kas ken ni Picasso.
Please give me something to drink.	Pangngaasim ta ikkannak iti mabalin nga inumek.
She has known him for a long time.	Nabayagen nga am-ammona isuna.
The store might be closed already.	Amangan no nakaserra itan ti pagtagilakuan.
There is milk in the refrigerator.	Adda gatas iti repriheradura.
Tom and I walk to school together.	Agkaduakami ken ni Tom a magmagna a sumrek iti eskuela.
Tom didn't speak French very well.	Saan a makasao a nasayaat ni Tom iti French.
We celebrate Christmas every year.	Rambakantayo ti Paskua iti tinawen.
What time do you leave for school?	Ania nga oras a mapanka iti eskuela?
You look so much like your mother.	Kaing-ingasmo la unay ti nanangmo.
You may choose whichever you want.	Mabalinmo a pilien ti ania man a kayatmo.
You must do your homework at once.	Nasken a leppasem a dagus ti asignaturam.
Disneyland was established in 1955.	Nabangon ti Disneyland idi 1955.
Do you know where Tom put the keys?	Ammom kadi no sadino ti nangipanan ni Tom kadagiti tulbek?
Does Tom really want me to do this?	Talaga kadi a kayat ni Tom nga aramidek daytoy?
He is not interested in art at all.	Awan a pulos panagayatna iti arte.
He was weak from the loss of blood.	Agkakapsut isuna iti pannakaadas ti darana.
I paid 300 dollars for this guitar.	Tallo gasut a doliar ti imbayadko iti daytoy a gitara.
I was born in the month of October.	Nayanakak iti bulan ti Oktubre.
I'd like to have my blood examined.	Kayatko a maamiris ti darak.
I'm going to go out this afternoon.	Rummuarak ita a malem.
It was hot, so I turned on the fan.	Nakabarbara, isu a pinaandarko ti bentilador.
It's illegal to park your car here.	Maiparit nga iparadam ti kotsem ditoy.
October is still three months away.	Tallo a bulan pay sa Oktubre.
She was pleased to see the results.	Naragsakan isuna a nakakita kadagiti resulta.
There were few people on the beach.	Bassit ti tao iti aplaya.
There's only one possible decision.	Adda maymaysa laeng a mabalin a pangngeddeng.
Tom didn't agree with our decision.	Saan nga immanamong ni Tom iti pangngeddengtayo.
Tom didn't understand the question.	Saan a naawatan ni Tom ti saludsod.
Was Tom the one who suggested this?	Ni kadi Tom ti nangisingasing iti daytoy?
We captured some of the terrorists.	Nakemmegmi ti sumagmamano kadagiti terorista.
What do you usually do on weekends?	Ania kadi ti masansan nga aramidenda no kasta a Sabado wenno Domingo?
What would you like me to tell Tom?	Ania ti kayatmo nga ibagak ken ni Tom?
Who are you to tell me what I need?	Asinoka koma a mangibaga kaniak no ania ti masapulko?
Why are you telling me all of this?	Apay nga ibagbagam kaniak amin dagitoy?
Why did you decide to learn French?	Apay nga inkeddengmo ti agsursuro iti French?
Why did you tell Tom Mary was ugly?	Apay nga imbagam ken ni Tom a nalaad ni Mary?
Why didn't you just tell the truth?	Apay a dimo latta koman imbaga ti agpayso?
Would you please sign our petition?	DI la mabalin a pirmaam ti petisionmi?
You didn't tell me Tom was so rich.	Dimo imbagbaga kaniak a nakabakbaknang gayam ni Tom.
You may do whatever you want to do.	Mabalinmo nga aramiden ti ania man a kayatmo nga aramiden.
You must clean your room every day.	Masapul a dalusam ti siledmo iti inaldaw.
You should not keep people waiting.	Saan a maiparbeng a pagur-urayem dagiti tao.
You wouldn't recognize Tom anymore.	Saanmon a malasin pay ni Tom.
A lot has changed since I was a kid.	Adun ti nagbaliw sipud pay idi maysaak nga ubing.
A lot of people are waiting for Tom.	Adu a tattao ti agur-uray ken ni Tom.
Are you coming to the party tonight?	Umayka kadi iti pasken inton rabii?
Ask Tom if he'll attend the meeting.	Saludsodem ken ni Tom no dumar-ay isuna iti miting.
Can you get Tom to come to my party?	Mabalin kadi a sukonem ni Tom tapno umay iti panagpaskenko?
Could you please wipe off the table?	DI la mabalin a punasam daydiay lamisaan?
Didn't you say Tom was an architect?	Saan kadi nga imbagam a maysa nga arkitekto ni Tom?
Do you know which suitcase is Tom's?	Ammom kadi no ania kadagitoy ti maleta ni Tom?
Do you think they'll be back for me?	Panagkunam, agsublida ngata gapu kaniak?
Does anyone know why Tom isn't here?	Adda kadi makaammo no apay nga awan ni Tom ditoy?
Don't let Tom take advantage of you.	Dimo itulok a gundawayannaka ni Tom.
Has that been scientifically proven?	Napaneknekan kadin a sientipikal?
He died when he was scarcely thirty.	Tallopulona laeng idi matay.
He encountered unexpected obstacles.	Nakasagang kadagiti saan a ninamnama a lapped.
He was in the army for thirty years.	Nagpaay isuna iti armada iti uneg ti tallopulo a tawtawen.
He was sitting between Mary and Tom.	Nakatugaw isuna iti nagbaetan da Mary ken Tom.
How long may I borrow this notebook?	Kasano kabayag a mabalin a bulodek daytoy a kuaderno?
I had my fingers caught in the door.	Naipit dagiti ramayko iti ridaw.
I have a feeling you'll get the job.	Panagriknak ket maalam ti trabaho.
I know Tom doesn't want to be there.	Ammok a saan a kayat ni Tom nga adda isuna ditoy.
I really wish I knew how to do that.	Arapaapko la unay a masursurok no kasano nga aramiden dayta.
I think we have a lot to talk about.	Panagkunak ket adu ti nasken a pagsaritaanta.
I think you know what we have to do.	Panagkunak ket ammomon no ania ti rumbeng nga aramidenta.
I went to the coffee shop yesterday.	Napanak sadiay pagkapean idi kalman.
I'll begin doing the job right away.	Rugiakon a dagus ti trabaho.
I'm actually coming home in October.	Kinapudnona ket agawidak inton Oktubre.
I'm going there. No one can stop me.	Mapanak idiay. Awan ti makalapped kaniak.
Margit was born in Bordeaux in 1908.	Naipasngay ni Margit idiay Bordeaux idi 1908.
Mary is expecting a baby in October.	Padpadaanan ni Mary ti panagpasngayna inton Oktubre.
Nobody knows it's my birthday today.	Awan makaammo a kasangayko ita.
Please go away and stop annoying me.	Pangngaasim ta adaywannak ket sardengannak a kuriruen.
The band sounds different this time.	Sabali ti panagtugtog ti banda ita a gundaway.
This song reminds me of my hometown.	Malagipko ti nakayanakak nga ili iti daytoy a kanta.
Tom died in October three years ago.	Pimmusay ni Tom iti Oktubre tallo a tawenen ti napalabas.
Tom has other things to worry about.	Adda pay sabsabali a bambanag a pakasikoran ni Tom.
Tom has to give Mary another chance.	Ikkan koma ni Tom ni Mary iti sabali a gundaway.
Tom is going to eat with us tonight.	Makipangrabii ni Tom ita kadatayo.
Tom is richer than anyone else here.	Nabakbaknang ni Tom ngem iti uray asino man ditoy.
Tom is the tallest guy in his class.	Ni Tom ti katayagan a lalaki iti klasena.
Tom is way too old to be doing this.	Lakay unayen ni Tom tapno aramidenna daytoy.
Tom was Mary's first real boyfriend.	Ni Tom ti kaunaan a napaypayso a nobio ni Mary.
Tom was captured almost immediately.	Agarup natiliw met la a dagus ni Tom.
Tom wrote that song three years ago.	Insurat ni Tom dayta a kanta tallo a tawenen ti napalabas.
We have a lot of things to consider.	Adu dagiti bambanag a masapul nga ikonsideratayo.
We might not need to sell our house.	Mabalin a saanen a kasapulan nga ilakotayo ti balaytayo.
We never lock our doors around here.	Saanmi nga ibalbalunet dagiti ridawmi ditoy.
When I grow up, I want to be a king.	Inton dumakkelak, kayatko ti agbalin nga ari.
When did you have your wall painted?	Kaano a pinapintaam ti didingmo?
Who would you recommend for the job?	Asino kadi ti maisingasingmo para iti trabaho?
Will you call me when you get there?	Awagannakto kadi no makadanonkan idiay?
You always try to get what you want.	Kanayonmo nga ikagumaanan a maala no ania ti kayatmo.
You don't have to tell me your name.	Saan a nasken nga ibagam kaniak ti naganmo.
You need to be home before midnight.	Masapul nga addaka iti balay sakbay ti tengnga ti rabii.
You promised me that you would help.	Inkarim kaniak a tumulongka.
Are you sure this is where Tom lives?	Siguradoka kadi a ditoy ti pagnanaedan ni Tom?
Do you think you could take me there?	Panagkunam mabalinnak nga ipan sadiay?
He had three sons who became lawyers.	Tallo a putotna a lallaki ti nagbalin nga abogado.
He has a large family to provide for.	Dakkel ti familiana a pakanenna.
How long has Tom been a student here?	Kasano kabayagen nga estudiante ni Tom ditoy?
I don't know anything about your job.	Awan a pulos ti ammok maipapan iti trabahom.
I returned to Boston on October 20th.	Nagsubliak iti Boston idi maika-20 ti Oktubre.
I wonder why everybody left so early.	Masdaawak no apay a nakasapsapa a pimmanaw ti amin.
I'm sorry, but I can't hear you well.	Dispensarem, ngem dika mangngeg a nalaing.
I'm too scared to go there by myself.	Mabutengak unay a mapanak sadiay a sisiak.
I'm used to staying up late at night.	Nairuamak nga agpuypuyat iti rabii.
If possible, I'd like to go home now.	No mabalin, kayatko ti agawid itan.
My best friend really understands me.	Maawatannak a talaga ti kagayyemak unay.
Picasso painted this picture in 1950.	Impinta ni Picasso daytoy a ladawan idi 1950.
The magazine is issued twice a month.	Mamindua iti tunggal bulan a mairuruar ti magasin.
The terrorists released the hostages.	Winayawayaan dagiti terorista dagiti hostage.
They incited him to commit the crime.	Sinugsoganda isuna a mangaramid iti krimen.
Tom and Mary became lifelong friends.	Da Tom ken Mary ket nagsinninged iti tungpal biag.
Tom and Mary were married in October.	Nagkallaysa da Tom ken Mary iti Oktubre.
Tom is three years younger than Mary.	Naub-ubing iti tallo a tawen ni Tom ngem ni Mary.
We might not need to sign a contract.	Mabalin a saanen a masapul nga agpirmatayo iti maysa a kasuratan.
We'll continue this discussion later.	Ituloytayonto daytoy a patangan inton madamdama.
We've got to do something about that.	Nasken nga adda maaramidtayo a pamuspusan maipapan iti dayta.
What do you think of the new teacher?	Ania ti makunam maipapan iti kabarbaro a mannursuro?
What time will you have to go to bed?	Ania nga oras a mapanka maturog?
Do you know how long you've been here?	Ammom kadi no kasanon kabayag nga addaka ditoy?
Don't be afraid of speaking in public.	Dika agamak nga agsao iti publiko.
He doesn't do stupid things like that.	Saanna nga aramiden dagiti linalanggong a bambanag a kakasta.
How many hours have you been studying?	Mano nga oras a nagbasaka kadagiti leksionmo?
I don't want to know what his name is.	Diak kayat a maammuan no ania ti naganna.
I was disappointed with those results.	Naupayak kadagidiay a resulta.
I will be fourteen years old tomorrow.	Katorsekon no bigat.
Please teach me how to play this game.	Pangngaasim ta isurom kaniak no kasano nga ay-ayamen daytoy nga ay-ayam.
The death penalty should be abolished.	Rebbengna a maikkat ti dusa a patay.
The exhibit runs through October 20th.	Maisayangkat ti eksibit agingga iti maika-20 ti Oktubre.
Tom will be furious when he finds out.	Makapungtot la ketdi ni Tom no maammuanna.
We returned to Boston on October 20th.	Nagsublikami iti Boston idi maika-20 ti Oktubre.
Does anybody here know where Tom lives?	Adda kadi makaammo kadakayo ditoy no sadino ti pagnanaedan ni Tom?
Don't you get it? This isn't about you.	Dimo kadi maawatan? Saan a maipanggep kenka daytoy.
Don't you just hate this kind of movie?	Dimo kadi kagura ti kastoy a klase ti sine?
He killed himself at the age of thirty.	Pinapatayna ti bagina iti edadna a tallopulo.
He wanted to be respected by everybody.	Kayatna a respetuen isuna ti amin.
He would be very glad to hear the news.	Maragsakan la ketdi isuna a makangngeg iti damag.
I have neither time nor money for that.	Awan oras wenno kuartak a para iti dayta.
I really need to talk to you privately.	Kasapulan unay a makisaritaak kenka a duduata laeng.
I returned from Boston on October 20th.	Nagsubliak manipud Boston idi maika-20 ti Oktubre.
I've seen a couple of Kurosawa's films.	Nakabuyaakon iti dua a pelikula ni Kurusawa.
It was a fine day, so we went swimming.	Nasayaat nga aldaw, isu a napankami naglalangoy.
Japan relies on Arab countries for oil.	Agpampanuray ti Japon iti lana kadagiti Arabo a pagilian.
Our teacher gives us a lot of homework.	Inikkannakami ti mannursuromi iti adu nga aramiden iti pagtaengan.
That was why he entered the university.	Kasta no apay a simrek isuna iti unibersidad.
That's not happening till October 20th.	Saan a mapasamak dayta agingga iti maika-20 ti Oktubre.
The children were swimming in the nude.	Silalabus dagiti ubbing nga aglalangoy.
Tom certainly knows why Mary left town.	Ammo la ketdi ni Tom no apay a pimmanaw ni Mary iti ili.
Tom didn't understand a word Mary said.	Saan a naawatan ni Tom ti balikas nga imbaga ni Mary.
What do you think of the original plan?	Ania ti makunam iti orihinal a plano?
Come here. I want to show you something.	Umayka ditoy. Adda ipakitak kenka.
Could you please tell me how to do this?	Di la mabalin nga ibagam no kasano nga aramiden daytoy?
Do you have any idea why Tom isn't here?	Adda kadi pamalpalatpatam no apay nga awan ni Tom ditoy?
Do you think we made the wrong decision?	Panagkunam kadi ket biddut ti pangngeddengtayo?
Don't you just hate the way Tom behaves?	Dimo kadi, aya, kagura ti ug-ugalien ni Tom?
Finding a good place to live isn't easy.	Ti panagbirok ti nasayaat nga lugar nga paggianan ket haan nga nalaka.
He ordered them to release the prisoner.	Imbilinna kadakuada nga ibulosda ti balud.
How many schools are there in your city?	Mano dagiti eskuela nga adda iti siudadyo?
I can read German, but I can't speak it.	Makabasaak iti Gewrman, ngem diak makapagsao.
I couldn't get another copy of the book.	Awanen ti maalak a sabali a kopia ti libro.
I don't feel that way about you anymore.	Saankon a marikna ti kas idi kenka.
I don't have as much money as you think.	Awan ti kas kaadu ti kuartak a kas iti pampanunotem.
I lost the watch that my father gave me.	Napukawko ti relo nga inted ni tatangko.
I need your passport and three pictures.	Masapulko ti pasaportem ken tallo a ladawam.
I want to become a doctor in the future.	Kayatko ti agbalin a doktor iti masakbayan.
None of us did what Tom wanted us to do.	Awan kadatayo ti nangaramid iti kayat ni Tom nga aramidentayo.
Sputnik was launched on October 4, 1957.	Naipatayab ti Sputnik idi Oktubre 4, 1957.
The public was notified on October 20th.	Napakaammuan ti publiko idi maika-20 ti Oktubre.
They were all surprised to see me there.	Nasdaawda amin a nakakita kaniak idiay.
Tom didn't think that would ever happen.	Saan nga ipagarup ni Tom a mabalin a mapasamak dayta.
Tom is saving money so he can go abroad.	Agur-urnong ni Tom iti kuarta tapno makapan iti sabali a pagilian.
Tom promised me that he would come back.	Inkari ni Tom kaniak nga agsubli isuna.
What's your favorite television program?	Ania ti paboritom a programa iti telebision?
"Where's your cousin?" "She's just left."	"Sadino ti ayanna ti kasinsinmo?" "Kapampanawna laeng."
Absence of rain caused the plants to die.	Ti kaawan ti tudo ti makaigapu iti pannakatay dagiti mula.
As for me, I have nothing to complain of.	No siak la a maysa, awan ti reklamok.
Do you know what Tom's favorite color is?	Ammom kadi no ania ti paborito ni Tom a maris?
He called his mother up from the airport.	Inawaganna ti nanangna manipud iti eropuerto.
How long have you and Tom been roommates?	Kasano kabayagen nga agkakuartuankayo ken ni Tom?
How would you feel if your wife left you?	Ania ti mariknam no pinanawannaka ti baketmo?
I had no difficulty in finding his house.	Saanak a narigatan a nangsapul iti balayna.
I will tell it to him at the proper time.	Ibagakto kenkuana iti maitutop a panawen.
Run fast, or you will be late for school.	Partakam ti agtaray, maladawkan iti eskuela.
The doctors are still trying to save Tom.	Padpadasen pay laeng dagiti doktor nga alawen ni Tom.
The pyramids were built in ancient times.	Naaramid dagiti piramide kadagiti duog a panawen.
The rest of us all had the smoked salmon.	Ti dadduma kadatayo amin ket bagitayo ti sinuoban a salmon.
They showed me a lot of beautiful photos.	Pinakitaandak iti adu a nagpipintas a retrato.
Tom didn't think you would like the idea.	Saan nga ipagarup ni Tom a magustuam ti idea.
Tom knew why Mary wanted to quit her job.	Ammo ni Tom no apay a kayat ni Mary ti agikkat iti trabaho daytoy.
Tom might go to Boston to look for a job.	Amangan no mapan idiay Boston ni Tom nga agbirok iti trabaho.
Tom, Mary and John have all been invited.	Naawis amin da Tom, Mary ken John.
We must stop Tom before he kills himself.	Masapul a lapdantayo ni Tom sakbay a mapatayna ti bagbagina.
When the cat is away, the mice will play.	No awan ti pusa, agay-ayam dagiti bao.
Who's the boy that's swimming over there?	Asino daydiay ubing a lalaki nga aglanglangoy idiay?
Call your mom and tell her you'll be late.	Awagam ni inam ken ibagam nga maladawka.
I don't think there's much to worry about.	Panagkunak ket awan met ti pakadanagan unay.
I have already finished reading this book.	Nalpaskon a nabasa daytoy a libro.
I took shelter under my friend's umbrella.	Nakilinongak iti payong ti gayyemko.
I wish our classroom were air-conditioned.	De-aircon koma ti siled-pagadalanmi.
I've got accustomed to speaking in public.	Nairuamakon nga agsao iti publiko.
Run fast, otherwise you will miss the bus.	Partakam ti agtaray, no saan dimo makamakam ti bus.
Tom looked so different after his haircut.	Sabalin unayen ti langa ni Tom kalpasan a makapagpapukis.
Tom plans to stay in Boston until October.	Panggep ni Tom ti agtalinaed iti Boston agingga iti Oktubre.
We need to save up money to buy a new car.	Masapul nga agurnongtayo iti kuarta tapno makagatangtayo iti baro a kotse.
What would you do if you were in my place?	Ania ti aramidem no sika ti adda iti lugarko?
His main object in life was to become rich.	Ti kangrunaan a panggepna iti biag ket ti agbalin a baknang.
How long have you and Tom been living here?	Kasano kabayagnan nga agnanaedkayo ken ni Tom ditoy?
I am interested in studying German culture.	Interesadoak a mangadal iti kultura nga Aleman.
I was taken to a circus for the first time.	Intugotdak iti circus iti umuna a gundaway.
I've been saving up to buy a new saxophone.	Agur-urnongak tapno adda igatangko iti baro a saxophone.
It was raining and the game was called off.	Agtudtudo isu a naisardeng ti ay-ayam.
She prides herself on her skill in cooking.	Ipagpampannakkelna ti kinalaingna nga agluto.
The journalist was kidnapped by terrorists.	Kinidnap dagiti terorista ti agiwarwarnak.
Tom and Mary are the only ones still alive.	Da laengen Tom ken Mary ti adda a sibibiag pay.
Tom begged Mary to give him another chance.	Nagpakaasi ni Tom ken ni Mary nga ikkanna iti sabali pay a gundaway.
Tom closed his eyes and thought about Mary.	Nagkidem ni Tom ket pinanunotna ni MAry.
Tom got his first car when he was eighteen.	Naaddaan ni Tom iti kotse idi agtawen iti sangapulo-ket-walo.
Tom is the only person who can help me now.	Ni Tom laeng ti kakaisuna a tao a makatulong ita kaniak.
Tom makes lots of promises he doesn't keep.	Adu ti ikarkari ni Tom a dina met tungtungpalen.
Tom saved all of the letters Mary sent him.	Inurnong ni Tom amin a surat nga impatulod ni Mary kenkuana.
We caught him trying to go out of his room.	Natiliwanmi isuna nga agpanggep a rummuar iti siledna.
Your plan requires a large amount of money.	Agkasapulan ti planom iti dakkel a gatad ti kuarta.
