Who?	چه کسی؟
Didn't I tell you to clean your room?	بهت نگفتم اتاقت را تمیز کنی؟
Do they sell notebooks at that store?	آیا آنها در آن فروشگاه دفتر می فروشند؟
Do you have plans for tomorrow night?	برنامه ای برای فردا شب داری؟
Do you think they might be dangerous?	شما فکر می کنید که آنها ممکن است خطرناک باشند؟
Don't cut in when others are talking.	وقتی دیگران صحبت می‌کنند، حرفشان را قطع نکنید.
Don't open your umbrella in the hall.	در سالن چترت را باز نکن.
Even without makeup, she's very cute.	حتی بدون آرایش او بسیار بانمک است.
Every member of the club was present.	کلیه اعضای کلوب حاضر بودند.
Father set the alarm for six o'clock.	پدر زنگ ساعت را برای ساعت شش تنظیم کرد.
For all I know, he was born in Italy.	تمام چیزی که می دانم اینست که او در ایتالیا متولد شده است.
He had a share in completing the job.	او در به پایان رساندن کار سهمی داشت.
He had a share in completing the job.	او نقشی در به پایان رساندن کار داشت.
He has no close friends to talk with.	او دوست نزدیکی برای گفتگو نداشت.
He was born in a small town in Italy.	او در شهر کوچکی در ایتالیا متولد شده است.
He will be my deputy while I am away.	تا وقتی نیستم، او جانشین من خواهد بود.
I decided to come to Japan last year.	سال پیش من تصمیم گرفته بودم که به ژاپن بیایم
I exempted her from working overtime.	من او را از اضافه کار معاف کردم.
I had met him many times before then.	من قبل از آن، چندین بار او را ملاقات کرده بودم.
I have never heard of him since then.	تا قبل ار این هرگز از او چیزی نشنیده بودم.
I interpreted his silence as consent.	من سکوت او را به رضایت تعبیر می کنم.
I looked to see if he was teasing me.	نگاه کردم ببینم سر به سرم نمی‌گذارد.
I must replace that fluorescent lamp.	باید آن لامپ مهتابی را عوض کنم.
I think I understand what went wrong.	من فکر می کنم فهمیدم که کجای کار اشتباه بود.
I want to go with you, but I'm broke.	می خواهم با تو بیایم، اما پول ندارم.
I will be waiting for you in my room.	در اتاقم منتظرت خواهم بود.
I will stand by you whatever happens.	هر چه پیش آید من در کنار تو می‌ایستم.
I'm not accustomed to such treatment.	من به چنین رفتارهایی عادت نکرده ام.
I'm really not interested in history.	من واقعاً علاقه ای به تاریخ ندارم.
In case of fire, you should dial 119.	در صورت آتش سوزی، شما باید با شماره 119 تماس بگیرید.
It's all just a big misunderstanding.	همه اش تنها یک سوء تفاهم بزرگ است.
Needless to say, he never came again.	نیازی به گفتن نیست که او دیگر هرگز باز نگشت.
Not knowing what to do, I called her.	بدون اینکه بدانم چه می کنم، به او زنگ زدم.
She is looking for a large apartment.	او به دنبال یک آپارتمان بزرگ است.
She never forgets to admire our baby.	او هرگز تعریف کردن از نوزاد ما را فراموش نمی کند.
She was satisfied that he was honest.	او قانع شد که او صداقت دارد.
That scandal cost him his reputation.	آن افتضاح به قیمت آبرویش تمام شد.
The crocodile is a protected species.	تمساح از گونه های تحت حمایت است.
The doctor prescribed Tom a sedative.	دکتر برای تام یک آرام‌بخش تجویز کرد.
The game was put off until next week.	بازی تا هفته آینده متوقف شد.
The roof is really in need of repair.	پشت بام واقعا به تعمیر احتیاج دارد.
The soldier aimed his gun at the man.	سرباز با اسلحه به سمت مرد نشانه گیری کرد.
The store is open all the year round.	این فروشگاه در تمام طول سال باز است.
The workers took pride in their work.	کارگران به کارشان می بالند.
These things always happen in threes.	تا سه نشود بازی نشود.
They insisted on my paying the money.	آنها اصرار کردند که من پول را بپردازم.
They say that ferns can have flowers.	آنها می گویند سرخس ها می توانند گل داشته باشند.
This book contains forty photographs.	این کتاب حاوی چهل عکس است.
This bus will take you to the museum.	این اتوبوس شما را تا موزه می برد .
This gun is reportedly very powerful.	طبق گزارش،اسلحه خیلی قدرتمند است.
Tom arrived just in the nick of time.	تام دقیقاً آخرین لحظه رسید.
Tom doesn't always play by the rules.	تام همیشه مطابق قانون بازی نمی کند.
Tom doesn't need to worry about Mary.	نباید که تام نگران ماری باشد.
Tom plans to go camping next weekend.	تام برنامه ریزی کرده برای تعیطلات آخر هفته بعدی به کمپ بره.
Tom said that he was too busy to eat.	تام گفت اینقدر سرش شلوغه که نمیتونه غذا بخوره.
We were very sleepy the next morning.	ما صبح روز بعد خیلی خواب آلود بودیم.
When does your summer vacation start?	تعطیلاتِ تابستانیت کِی شروع میشه؟
Who did you vote for in the election?	به چه کسی در این انتخابات رأی دادی؟
Why are you so interested in history?	چرا اینقدر به تاریخ علاقه دارید؟
Would you like another piece of cake?	یک تکه‌ی کیک دیگر میل دارید؟
You should go and have your hair cut.	شما باید بروید و موهایتان را کوتاه کنید.
April is the fourth month of the year.	آوریل، چهارمین ماه سال است.
Athletes usually abstain from smoking.	ورزشکاران معمولاً از استعمال دخانیات اجتناب می‌کنند.
Can I offer you another piece of cake?	می توانم به شما قطعه دیگری کیک تعارف نمایم؟
Do you have much snow in your country?	آیا در کشور شما برف زیاد می بارد؟
Dolphins are very intelligent animals.	دلفین ها حیوانات بسیار هوشمندی هستند.
Don't put all your eggs in one basket.	همه تخم مرغ هایتان را در یک سبد نگذارید.
Exams are right after summer vacation.	امتحان درست بعد از تعطیلاتِ تابستان.
Have you ever seen sausage being made?	تا به حال طریقه ساخت سوسیس رو دیده اید?
He felt in his pocket for his lighter.	او برای فندک دست به جیبش برد.
He is as tall as any boy in his class.	او به بلندی هیچ پسری در کلاسش نیست.
He pushed his nose against the window.	او بینی‌اش را روی پنجره فشار داد.
He said he would come and he did come.	او گفت که خواهد آمد و واقعاً آمد.
He seems to have been a great athlete.	او وانمود می کند که ورزشکاری بزرگ بوده است.
He stayed in New York for three weeks.	او برای سه هفته در نیویورک ماند
He survived being struck by lightning.	او از اصابت صاعقه، جان سالم به در برد.
He was compelled to sign the contract.	او مجبور شد قرارداد را امضاء کند.
I am very interested in those stories.	من به چنین داستانهایی خیلی علاقه دارم.
I can't agree with you on this matter.	من در این موضوع با تو موافق نیستم.
I didn't see any children in the park.	هیچ بچه ای در پارک ندیدم.
I had no choice but to take the plane.	من انتخاب دیگری نداشتم جز اینکه سوار هواپیما شوم.
I have received no reply from you yet.	من هنوز هیچ جوابی از شما دریافت نکرده ام.
I hope that all your dreams come true.	امیدوارم همهٔ رؤیاهایت به حقیقت بپیوندند.
I hope that all your dreams come true.	امیدوارم همهٔ رؤیاهایت محقق شوند.
I just want to ask you some questions.	فقط می‌خواهم چند سؤال از شما بپرسم.
I tried to stop Tom from hurting Mary.	سعی کردم تام را از آسیب رساندن به ماری بازدارم.
I wasn't able to believe him at first.	در ابتدا توان این را نداشتم که باورش کنم.
I'd prefer to speak to you in private.	من ترجیح می دادم که به طور خصوصی با شما سخن بگویم.
I'm jealous that you have a good boss.	از اینکه کارفرمای خوبی داری، به تو حسادت می کنم.
Look at that building. Is it a temple?	به این ساختمان نگاه کن.آیا آن یک معبد است؟
Man is the only animal that can laugh.	انسان تنها حیوانی است که می تواند بخندد.
My T-shirt shrank because I washed it.	تی شرتم آب رفت چون شستمش.
My baby can't talk yet. He just cries.	بچه‌ام هنوز نمی‌تواند حرف بزند؛ فقط گریه می‌کند.
My clothes get wet so I took off them.	لباس هایم خیس شده بودند برای همین آنها را از تن بیرون کردم.
My toolbox is in the back of my truck.	جعبه ابزام پشت وانتم هست.
Older people are more prone to injury.	افراد مسن‌تر بیشتر در معرض جراحت هستند.
She gets up the earliest in my family.	او زودتر از همه در خانواده من از خواب بیدار می شود.
She had a thoughtful look on her face.	او نگاه متفکرانه ای بر چهره اش داشت.
Some people keep rare animals as pets.	برخی افراد، حیوانات کمیاب را بعنوان حیوان خانگی نگه می دارند.
The only constant in nature is change.	تنها ثابت در طبیعت تغییر است.
The police didn't book Tom for murder.	پلیس تام را به قتل متهم نکرد.
The two mountains are of equal height.	دو کوه از بلندای یکسانی برخوردار هستند.
There were a lot of murders last year.	پارسال قتل‌های زیادی اتفاق افتاد.
There's nothing to eat in the kitchen.	هیچ چیزی برای خوردن در آشپزخانه نیست.
They called the village New Amsterdam.	آنها به آن دهکده نیو آمستردام می گویند.
Tom hasn't seen much of Mary recently.	تام اخیراً مری را زیاد ندیده است.
Tom is the one who told me what to do.	تام کسی است که به من گفت چه کار کنم.
Tom must decide what to do right away.	تام باید فوراً تصمیم بگیرد که چه کاری باید انجام دهد.
We could not see anyone in the street.	ما نمی توانستیم هیچ کسی را در خیابان ببینیم.
We live in the vicinity of the school.	ما در حومه ی مدرسه زندگی می کنیم.
We need a place to stay for the night.	ما به جایی نیاز داریم، که شب آنجا بمانیم.
Why won't anybody answer my questions?	چرا هیچ کس پاسخ سؤالهایم را نمی دهد؟
Will you put the glasses on the table?	آیا لیوانها را روی میز خواهید گذاشت؟
You can stay here as long as you like.	شما می‌توانید هرچقدر می‌خواهید اینجا بمانید.
A little learning is a dangerous thing.	یادگیری اندک، چیز خطرناکی است.
A man is known by the company he keeps.	یک مرد از روی افرادی که با آنها معاشرت می‌کند شناخته می‌شود.
All the students began talking at once.	همه دانش آموزان همزمان شروع به صحبت کردن نمودند.
Children grow up astonishingly quickly.	بچه‌ها به طرز شگفت‌آوری سریع بزرگ می‌شوند.
Do I need to explain the reason to him?	آیا لازم است دلیل را به او توضیح دهم؟
Do you know how my friends describe me?	می دانی دوستانم چگونه مرا توصیف می کنند؟
Do you think Tom will like the concert?	فکر می کنی تام کنسرت را دوست خواهد داشت؟
Don't confuse astrology with astronomy.	طالع‌بینی را با ستاره‌شناسی اشتباه نکن.
Don't try to walk before you can crawl.	قبل از اینکه بتوانی گاگله کنی سعی نکن راه بروی.
Each speaker was allotted five minutes.	به هر سخنران پنج دقیقه اختصاص داده شد.
Father sometimes took me to his office.	پدرم گاهی مرا به اداره اش می برد.
He became ever more famous as a critic.	او در نقّادی از هر زمانی مشهورتر شد.
He hurried on to make up for lost time.	او عجله کرد تا زمان از دست رفته را جبران کند.
Her house is at the foot of a mountain.	خانه او در کوهپایه است.
I can resist everything but temptation.	من در مقابل همه چیز غیر از وسوسه می‌توانم مقاومت کنم.
I can't prune this tree. It's too tall.	من نمی‌توانم این درخت را هرس کنم. زیاد بلند است.
I love you from the bottom of my heart.	من شما را از ته قلبم دوست دارم.
I really want to be with Tom right now.	واقعا دلم می خواهد هم اکنون با تام باشم.
I said to myself, "That's a good idea."	با خودم گفتم: «این فکر خوبی است.»
I think Tom is beating around the bush.	فکر کنم تام دارد طفره می رود.
I'll explain how to take this medicine.	من توضیح خواهم داد که چگونه این دارو را مصرف کنید.
In Japan there are four seasons a year.	در ژاپن، هر سال چهار فصل دارد.
Late autumn in Scotland is rather cold.	اواخر پاییز در اسکاتلند نسبتاً سرد است.
Let's go back before it begins to rain.	بیا برگردیم قبل از آنکه باران باریدن بگیرد.
Most Japanese temples are made of wood.	اکثر معبدهای ژاپنی از چوب ساخته شده‌اند.
My teacher recommended that dictionary.	معلم‌ام آن واژه‌نامه را توصیه کرد.
Now it's time for the weather forecast.	اکنون زمان پیش بینی هواست.
Our planet, Earth, is always in motion.	سیاره‌ی ما، زمین، همواره در حرکت است.
Scotland can be very warm in September.	اسکاتلند در ماه سپتامبر ممکن است خیلی گرم باشد.
Several newspapers published the story.	مجلا ت گونا گونی آن داستان را منتشر کردند.
She asked me to help her with the work.	او از من خواست در کار به او کمک کنم.
She should listen more to other people.	او باید بیشتر به دیگران گوش دهد.
The Japanese economy developed rapidly.	اقتصاد ژاپن به سرعت پیشرفت کرد.
The people who were here have all gone.	افرادی که اینجا بودند، همه رفته‌اند.
There is a downhill after every uphill.	بعد از هر سربالایی یک سرازیری است.
There is a very old temple in the town.	در شهر یک معبد خیلی قدیمی وجود دارد.
This room is used for various purposes.	این اتاق برای چندین منظور استفاده می شود.
Tom didn't have the guts to shoot Mary.	تام جرئتش را نداشت به ماری شلیک کند.
Tom doesn't believe that Mary is happy.	تام باور نمی کند که مری خوشبخت است.
What is the tallest mountain in Europe?	مرتفع ترین کوه اروپا چیست؟
When it was time to vote, he abstained.	هنگامی که زمان رأی دادن بود، او از از رأی دادن خودداری کرد.
A computer is an absolute necessity now.	اکنون کامپیوتر یک ضرورت مسلم است.
By the way, are you free this afternoon?	راستی, امروزبعد از ظهروقت داری (بیکاری)؟
Does Tom have a key to Mary's apartment?	آیا تام کلید خانه ی ماری را دارد؟
Don't make a mountain out of a molehill.	از کاهی کوهی ساختن.
Drastic times call for drastic measures.	دوران ناگوار، روش های ناگوار می طلبند.
He changes his schedule from day to day.	او برنامه ی روزانه اش را روز به روز عوض می کند.
He doesn't want me to go, but I mean to.	او نمی‌خواهد که من بروم، ولی من قصد دارم این کار را بکنم.
He read the article over and over again.	او مقاله را بارها مطالعه کرد.
He wrote this book at the age of twenty.	او این کتاب را در سن بیست‌سالگی نوشت.
His answer was to strike me on the head.	پاسخ او مرا مجاب کرد.
I have no words to express my gratitude.	من نمی‌توانم قدرشناسی‌ام را با کلمات بیان کنم.
I walk my dog in the park every morning.	من هر روز صبح سگم را برای قدم زدن به پارک میبرم.
I wish I had more time to talk with her.	کاش وقت بیشتری برای حرف زدن با او داشته باشم.
I'm afraid I can't make it at that time.	من نگران هستم، که نتوانم در موقع مقرر آن را درست کنم.
I'm looking forward to seeing you again.	چشم‌انتظار دیدار مجدد شما هستم.
If you have nothing to say, say nothing.	اگر هیچ چیز برای گفتن ندارید، هیچ چیز نگویید.
If you see Tom, say hello to him for me.	اگه تام رو دیدی، از طرف من بهش سلام برسان.
Is the water hot enough to make the tea?	آیا برای تهیه چای، آب به اندازه کافی داغ است؟
It has developed into a very large city.	این شهر گسترش یافته و به شهر بزرگی تبدیل شده است.
It may be difficult, but not impossible.	ممکن است سخت باشد، ولی غیر‌ممکن نیست.
It's about time for the train to arrive.	الآن تقریبا زمانی است که قطار می رسد.
Mary helped her mother with the cooking.	ماری به مادرش در آشپزی کمک کرد.
Mastering a foreign language isn't easy.	تسلط بر یه زبان خارجی آسون نیست.
My bag is too old. I must buy a new one.	کیف من کهنه است. من باید یکی نو بخرم.
My mom wants me to study in Switzerland.	مادرم می خواهد که من در سوئیس درس بخوانم.
My mother always wears a kimono at home.	مادرم همیشه در خانه کیمونو می پوشد.
My mother often bakes apple pies for us.	مادرم اغلب برای ما پای سیب می پزد.
My shoelace got caught in the escalator.	بند کفشم در پله برقی گیر کرد.
Obviously, he's not that kind of person.	روشن است که او چنین آدمی نیست.
Ten years have passed since I came here.	ده سال از زمانی که من به اینجا آمدم، گذشته است.
The soldier returned home on a furlough.	سرباز با یک مرخصی به خانه بازگشت.
The sun has just sunk below the horizon.	خورشید همین حالا به زیر افق کشیده شد.
There are a lot of children in the park.	اینجا در پارک بچه های زیادی هستند.
They say that a large dam will be built.	آنها می گویند که سد بزرگی ساخته خواهد شد.
This box is empty. It has nothing in it.	این جعبه خالی است. هیچ چیز درون آن نیست.
This moment will be recorded in history.	این لحظه ای است که در تاریخ ثبت خواهد شد.
Tom dropped Mary off in front of John's.	تام ماری را جلوی خانه ی جان پیاده کرد.
Tom is the one who gave me this bicycle.	تام کسی است که این دوچرخه را به من داد.
Tom was my best friend when I was a kid.	وقتی که من بچه بودم، تام بهترین دوست من بود.
We are working in the interest of peace.	ما در جهت صلح تلاش می کنیم.
We discussed the matter with each other.	ما مساله را با یکدیگر مورد بررسی قرار دادیم.
We have to find Tom before it gets dark.	باید قبل از اینکه هوا تاریک شود، تام را پیدا کنیم.
What's your favorite TV show theme song?	آهنگ برنامه تلویزیونی مورد علاقه ات چیست؟
About how much would a taxi be from here?	کرایه‌ی تاکسی از اینجا تقریباً چقدر می‌شود؟
Although I was tired, I did my very best.	هرچند خسته بودم، حداکثر ممکن سعی ام را کردم.
At one time Nigeria was a British colony.	زمانی، نیجریه ، مستعمره بریتانیا بود.
Do you want to go to the station with me?	می خواهی با من به ایستگاه بروی؟
Either you or I will get the first prize.	یا من یا تو جایزه اول را برنده خواهیم شد.
Even if I had wished to stop, I couldn't.	حتی اگر می خواستم توقف کنم، نمی توانستم.
How often do you replace your toothbrush?	هر چند وقت یک بار مسواکت را تعویض می‌کنی؟
I bought ingredients for curry on Sunday.	من مواد اولیه برای کاری را روز یکشنبه خریدم.
I correspond with many friends in Canada.	من با بسیاری از دوستان در کانادا نامه نگاری می کنم.
I think Tom is going to try to kill Mary.	تفکر کنم تام می خواهد سعی کند ماری را بکشد.
I'm not going to explain it to you again.	دوباره برایت توضیح نمی‌دهم.
I'm sick and tired of all this bickering.	من از این همه جر و بحث خسته و بیزارم.
I've already considered that possibility.	من واقعاً آن احتمال را در نظر گرفته ام.
It is easier to stay out than to get out.	بیرون ماندن راحت‌تر از بیرون رفتن است.
It is impossible to resolve the conflict.	حل مخاصمه، غیر ممکن است.
Mother divided the cake into three parts.	مادر کیک را به سه قسمت تقسیم کرد.
Occasionally, things don't go as planned.	گاهی اوقات، کار‌ها طبقِ برنامه پیش نمی‌رود.
She had to speak before a large audience.	می‌بایست در مقابل حاضر زیادی سخنرانی کند.
She regretted not having gone into music.	او پشیمان بود از اینکه به سراغ موسیقی نرفته است.
Sorry, I didn't know you were still here.	ببخشید،من نمی دانستم تو همچنان اینجا بودی.
Sunlight is the main source of vitamin D.	نور خورشید منبع اصلی ویتامین دی است.
That experiment led to a great discovery.	این آزمایش منجر به کشف بزرگی شد.
That way I kill two birds with one stone.	این طور دو پرنده را با یک سنگ می‌زنم.
The new store is going to open next week.	فروشگاه جدید هفته‌ی آینده باز می‌شود.
They were not aware that I was not there.	آنها خبر نداشتند که من آنجا نیستم.
They're all figments of your imagination.	آنها همگی ساخته‌های خیالت هستند.
Tom doesn't know how to have a good time.	تام نمی داند چطور اوقات خوشی داشته باشد.
Tom is dating a Chinese exchange student.	تام با یک دانشجوی تبادلی چینی دوست است.
Tom is scrupulous in matters of business.	تام در موارد حرفه‌ای مو را از ماست می‌کشد.
Tom is scrupulous in matters of business.	تام در موارد حرفه‌ای موشکافانه است.
Tom lay in bed staring up at the ceiling.	تام در رختخواب خوابیده بود و به سقف نگاه می کرد.
Tom lay in bed staring up at the ceiling.	توماس روی تخت دراز کشیده بود و به سقف نگاه می کرد.
Tom sat on his bed and opened his laptop.	تام روی تختش نشست و لپ تاپش رو باز کرد.
Tom went to the park on Sunday afternoon.	تام بعد از ظهر یکشنبه به پارک رفت.
What is that big building in front of us?	آن ساختمان بلندی که جلو ماست، چیست؟
You have to get above a "C" in the class.	شما باید در این کلاس بالاتر از سی نمره بگیرید.
Actually, I did want to ask you one thing.	در واقع، می خواستم از شما یک چیزی را بپرسم.
At first I did not like him, but now I do.	ابتدا از او خوشم نمی آمد ولی حالا چرا.
Didn't I tell you to take out the garbage?	بهت نگفتم آشغال‌ها را ببری بیرون؟
Do you think Tom would want to go with us?	شما فکر می کنید تام با ما خواهد آمد؟
Don't criticize what you can't understand.	به چیزی که نمی‌فهمید انتقاد نکنید.
Everyone is insane, in his or her own way.	هر کس به شیوهٔ خودش دیوانه است.
Have you told anyone where our hideout is?	آیا تو به کسی گفته ای که مخفیگاه ما کجاست؟
He had time to prepare his men for battle.	او برای آماده کردن مردانش برای جنگ فرصت داشت.
Her daughter has become a beautiful woman.	دختر او به زن زیبایی تبدیل شده است.
How did you know I wanted to speak to Tom?	شما چطور فهمیدید که من می خواستم با تام صحبت کنم؟
However hard he may try, he won't succeed.	هر چقدر هم او تلاش کند، موفق نخواهد شد.
I can resist everything except temptation.	من در مقابل هر چیزی می‌توانم مقاومت کنم غیر از وسوسه.
I didn't know where I should wait for her.	نمی دانستم کجا باید منتظر او بمانم.
I got acquainted with him three years ago.	من سه سال پیش با او آشنا شدم.
I know that Tom is a very valuable client.	من میدونم که تام مشتری ارزشمندی است
I was rendered speechless by his rudeness.	به خاطر گستاخی او، زبانم بند آمد.
I would prefer to speak to you in private.	من ترجیح می دادم که به طور خصوصی با شما سخن بگویم.
I'm not used to making speeches in public.	من عادت به سخنرانی کردن در حضور جمع ندارم.
I've been reading that book all afternoon.	من تمام بعد از ظهر آن کتاب را داشتم می خواندم.
I've never seen anything like this before.	من تا به حال چیزی مانند این ندیدم.
It isn't going to be difficult to do this.	انجام این کار دشوار نخواهد بود.
It looks like the wind's getting stronger.	به نظر می آید که باد شدیدتر می شود.
Many men were badly wounded in the battle.	خیلی از مردان در جنگ شدیدا مجروح شدند.
My father has been out of work for a year.	پدرم به مدت یک سال بیکار بوده است.
New York is the busiest city in the world.	نیویورک شلوغ ترین شهر دنیا است.
She refused to say more about that matter.	او قبول نکرد بیشتر در آن مورد بگوید.
The bigger they are, the harder they fall.	هر چه بزرگتر باشند، سخت‌تر سقوط می کنند.
The only language Tom can speak is French.	تنها زبانی که تام می‌تواند به آن صحبت کند فرانسوی است.
The waitress brought Tom a glass of water.	پیشخدمت برا ی تام یک لیوان آب آورد.
The whole nation mourned the hero's death.	تمام ملل برای مرگ قهرمانانشان سوگواری می کنند.
There is little hope that he will recover.	امید کمی به بهبود او هست.
This is the room where the body was found.	این اتاقی است که جسد در آن یافت شد.
This problem is difficult for me to solve.	برایم دشوار است که این مسئله را حل کنم.
Tom crawled into bed just before midnight.	تام درست قبل از نیمه شب به درون رختخوابش خزید.
Tom doesn't know a whole lot about racing.	تام آنقدرها راجع به مسابقه دادن نمی‌داند.
Tom doesn't know whether it's true or not.	تام نمی‌داند که این راست است یا نه.
Tom is the one who showed me how to do it.	تام کسی است که به من نشان داد چه طور انجامش بدهم.
Tom just loves pineapple upside-down cake.	تام کیک آناناسی سر و ته شده را خیلی دوست دارد.
Tom took the broom out of the hall closet.	تام جارو را از کمد دیواری داخل راهرو برداشت.
We are going to travel abroad this summer.	ما می خواهیم این تابستان به خارج سفر کنیم.
We can hear the church bell every morning.	هر روز صبح می‌توانیم صدای ناقوس کلیسا را بشنویم.
We have heard of your success in the exam.	ما از موفقیتت در امتحان شنیده ایم.
A Persian cat was sleeping under the table.	گربه ای ایرانی زیر میز خوابیده بود.
Can you recommend a hotel near the airport?	می‌توانی یک هتل نزدیک فرودگاه پیشنهاد کنی؟
Did you find the book you were looking for?	کتابی که دنبالش می گشتی رو پیدا کردی؟
He directed all his energy to his business.	او همه انرژی خود را معطوف به کارش کرده است.
He insulted her. That is why she got angry.	به او دشنام داد.به همین خاطر او عصبانی گشت.
I don't suppose you'd consider helping Tom.	فکر نکنم شما کمک به تام را مدنظر قرار دهید.
I don't understand why this has to be done.	نمی فهمم چرا این کار باید انجام شود.
I need a lot of cloth to make a long dress.	من برای درست کردن یک لباس بلند به مقدار زیادی پارچه احتیاج دارم.
I sometimes go by bus and sometimes I walk.	من بعضی وقتها با اتوبوس میرم و بعضی وقتها پیاده
I want to stay in a hotel near the airport.	من میخواهم در یک هتل نزدیک فرودگاه اقامت کنم.
I'd be unhappy, but I wouldn't kill myself.	خوشبخت نخواهم بود، ولی خود را نخواهم کشت.
If possible, I'd like to receive an answer.	در صورت امکان، مایلم پاسخی دریافت کنم.
It was almost noon by the time Tom woke up.	وقتی تام از خواب بیدار شد، تقریبا ظهر بود.
My business acquaintances know this number.	آشناهای حرفه‌ای من این شماره را می‌دانند.
Never in my life have I heard such a thing.	من تا کنون چنین چیزی در زندگی نشنیده ام.
Permanent peace is nothing but an illusion.	صلح پایدار چیزی نیست بجز یک توهم.
Please put the dustpan in the broom closet.	لطفاً خاک انداز را درون کمد جارو بذار.
She thinks of everything in terms of money.	او همه چیز را پول می‌بیند.
She told her son to behave himself at home.	او به پسرش گفت که در خانه مؤدبانه و درست رفتار کند.
The cold weather continued for three weeks.	هوای سرد تا سه هفته ادامه یافت.
The principal of our school is an American.	مدیر مدرسه‌ی ما یک آمریکایی است.
There's nothing worth watching on TV today.	امروز در تلویزیون برنامه ای که ارزش دیدن داشته باشد، نیست.
They are the only people who know the fact.	آنها تنها کسانی هستند که حقیقت را می دانند.
Tom asked several people the same question.	تام از چندین نفر، سوال مشابهی را پرسید.
Tom climbed up the stairs to his apartment.	تام از پله ها تا خانه اش بالا رفت.
Tom tossed his dirty clothes in the hamper.	تام لباس‌های کثیفش را داخل سبد رخت چرک پرت کرد.
We were compelled to put off our departure.	ما مجبور شدیم عزیمت خود را به تعویق بیندازیم.
You have to strike the iron while it's hot.	تا تنور داغ است نان را بچسبان.
Young parents often indulge their children.	والدین جوان اغلب کودکان خود را نازپرورده می‌کنند.
Your family should come before your career.	کار و شغل تو باید قبل از خانواده ات قرار گیرد.
A bird in the hand is worth two in the bush.	سیلی نقد به از حلوای نسیه.
A fox is not caught twice in the same snare.	یک روباه دوبار در یک دام نمی افتد.
A fox is not caught twice in the same snare.	عاقل از یک سوراخ دوبار گزیده نمی‌شود.
A fox is not caught twice in the same snare.	روباه در یک تله دو بار گیر نمی‌افتد.
Everybody knew she could speak English well.	همه می‌دانستند که او می‌تواند انگلیسی را خوب صحبت کند.
He got over the shock of his father's death.	او بر شوک مرگ پدر خودش غلبه کرد.
He is always saying bad things about others.	او همیشه از دیگران بدگویی می‌کند.
He made up his mind to keep his plan secret.	تصمیم گرفت نقشه‌اش را مخفی نگه دارد.
He struggled to keep up with his classmates.	اون تلاش كرد تا پابه پايِ همكلاسي هاش (ازنظرِدرسي) پيش بره يا همگام باشه.
He was on the roof with his electric guitar.	او بالا پشت بام بود با گیتار برقی اش.
He was relieved of his heavy responsibility.	او از مسئولیت سنگین خود رها شد.
He will have no chance of winning her heart.	او شانسی برای به دست آوردن قلب او ندارد.
Her success made her the target of jealousy.	موفقیتش او را آماج حسادت کرد.
How did you come up with such a good excuse?	چگونه چنین بهانهٔ خوبی پیدا کردی؟
I cannot thank you enough for your kindness.	من نتوانم از لطف شما به قدر کافی تشکر کنم.
I guarantee this watch to keep perfect time.	من تضمین می کنم که این ساعت زمان دقیق را نشان دهد.
I had not gone a mile when it began to rain.	یک مایل نرفته بودم که باران شروع شد.
I need a pair of scissors to cut this paper.	برای بریدن این کاغذ به یک قیچی دو پاره ای احتیاج دارم.
I think that China will play an active role.	فکر می‌کنم چین نقش فعالی خواهد داشت.
I thought my eyes were playing tricks on me.	فکر کردم چشم‌هایم مرا فریب می‌دهند.
In the heat of the moment, Tom slapped Mary.	در آن بلبشور، تام به ماری سیلی زد.
Individuality is very important in the West.	فردیت در غرب بسیار اهمیت دارد.
It is impossible for him to become a doctor.	ممکن نیست که او پزشک شود.
It is impossible to finish this in two days.	امکان ندارد بتوانی این کار را در طی دو روز انجام دهی.
It may sound like a lie, but it's the truth.	دروغ به نظر میرسد، ولی این حقیقت است.
It's still too early to talk about this now.	الآن هم هنوز زود است که راجع به آن صحبت کنیم.
My brother wants to go to the moon some day.	برادر من میخواهد که روزی به ماه برود.
Nothing could induce him to change his mind.	هیچ چیز نمی تواند تصمیم او را تغییر دهد.
Our teacher warned him not to be late again.	معلم ما به او هشدار داد که دیگر دیر نکند.
Scotland is famous for its woollen textiles.	اسکاتلند به خاطر منسوجات پشمی‌اش شهرت دارد.
Some stars began to appear in the night sky.	برخی ستارگان در آسمان شب شروع به پدیدار شدن می کنند.
Some stars began to appear in the night sky.	چند ستاره در آسمان شب شروع به پدیدار شدن کردند.
Some stars began to appear in the night sky.	تعدادی از ستارگان شروع به پیدا شدن در آسمان شب کردند.
That is the exactly the same idea as I have.	دقیقاً همان ایده ای است که من دارم.
The more popcorn you eat, the more you want.	پاپ‌کورن هر چه بیشتر بخوری، بیشتر می‌خواهی.
The old woman is too weak to get out of bed.	آن پیرزن آنقدر ضعیف است که نمی تواند از رختخواب برخیزد.
They are bound together by common interests.	آنها بر اساس علایق مشترک با هم در ارتباط هستند.
They are just waiting for the storm to pass.	آنها فقط منتظرند که توفان تمام شود.
They were not at all like average Americans.	آنها اصلاً مانند آمریکایی‌های معمولی نبودند.
This factory produces 500 automobiles a day.	این کارخانه در روز 500 اتومبیل تولید می کند.
Today's paper says that a typhoon is coming.	روزنامه امروز می گوید طوفان می آید.
Tom bends over backwards to make Mary happy.	تام پل‌می‌زند تا ماری را خوشحال کند.
