Run!	Chạy!
Are you saying my life is in danger?	Cậu nói rằng tôi đang gặp nguy hiểm đến tính mạng sao?
Aren't you supposed to be at school?	Giờ này sao không ở trường?
At least tell me where you're going.	Ít nhất bạn cũng phải cho tôi biết bạn định đi đâu.
Can you spell your last name for me?	Bạn có thể đánh vần họ của bạn dùm tôi?
Could you please turn down the heat?	Bạn có thể vui lòng giảm nhiệt độ xuống không?
Do you have a lot of money with you?	Cậu mang theo nhiều tiền chứ?
Do you have any idea who killed Tom?	Bạn có bất cứ suy luận nào về người đã giết Tom không?
Do you know how to use a dictionary?	Bạn có biết cách dùng từ điển không?
Do you know the town where he lives?	Bạn có biết thị trấn nơi anh ấy ở không?
Do you think you're smarter than me?	Cậu nghĩ mình thông minh hơn tớ á?
Don't forget to call me up tomorrow.	Đừng quên gọi tôi dậy vào ngày mai.
Every town in America has a library.	Thị trấn nào ở Mỹ cũng có thư viện.
From there, one could see perfectly.	Có một điểm nhìn hoàn hảo ở đằng đó.
He has decided to carry on the work.	Anh quyết định tiếp tục công việc.
He has more money than he can spend.	Số tiền anh ấy có được nhiều đến độ tiêu không xuể.
He has more money than he can spend.	Anh ta nhiều tiền đến độ tiêu không hết.
He is not too poor to buy a bicycle.	Anh ấy không nghèo tới mức không mua nổi một chiếc xe đạp.
He is short, but good at basketball.	Nó tuy lùn nhưng chơi bóng rổ rất giỏi.
He is short, but good at basketball.	Nó lùn nhưng rất giỏi môn bóng rổ.
He married his daughter to a lawyer.	Ông ấy đã gả con gái mình cho một luật sư.
He promised not to tell another lie.	Nó đã hứa không nói dối nữa.
He was looking through a microscope.	Anh ta nhìn bằng kính hiển vi.
He was thrown in prison for robbery.	Anh ta bị bỏ tù vì ăn trộm.
Hello. Could I speak to Tom Jackson?	Xin chào. Tôi có thể nói chuyện với Tom Jackson được không?
How many hours of sleep do you need?	Bạn cần bao nhiêu tiếng đồng hồ để ngủ vậy?
I dedicate this book to my daughter.	Tôi dành tặng cuốn sách này cho con gái tôi.
I don't go out by myself after dark.	Tôi không đi ra ngoài một mình sau khi trời đã tối.
I don't think Tom liked the concert.	Tôi không nghĩ là Tom thích buổi hòa nhạc đó.
I don't think he is fit for the job.	Tôi không cho rằng anh ấy phù hợp với công việc đó.
I don't want to discuss my problems.	Tớ không muốn nói về vấn đề của mình.
I doubt that Tom will agree to that.	Tôi không chắc là Tom sẽ đồng ý với điều đó.
I finally came up with a great idea.	Cuối cùng tôi cũng tìm được một ý tưởng tuyệt vời.
I hardly ever speak French nowadays.	Dạo này tôi rất ít nói tiếng Pháp.
I hardly ever speak French nowadays.	Dạo này tôi rất ít khi nói tiếng Pháp.
I heard you're pretty good at chess.	Tôi nghe nói là bạn chơi cờ vua khá giỏi.
I heard you're pretty good at chess.	Nghe nói là bạn khá giỏi chơi cờ vua.
I heard you're pretty good at chess.	Tôi nghe nói là bạn khá giỏi cờ vua.
I just spent an hour talking to Tom.	Tôi vừa dành một tiếng nói chuyện với Tom.
I just spent an hour talking to Tom.	Tôi vừa dành một tiếng đồng hồ nói chuyện với Tom.
I just spent an hour talking to Tom.	Tôi vừa dành một giờ đồng hồ nói chuyện với Tom.
I overslept and was late for school.	Tôi đã ngủ dậy muộn và bị muộn học.
I skip ads on videos whenever I can.	Tôi bỏ qua quảng cáo trên video bất cứ khi nào có thể.
I tried, but I wasn't able to do it.	Tôi đã thử, nhưng tôi không thể làm được việc đó.
I wish I knew what Tom was thinking.	Ước gì tôi biết Tom đang nghĩ gì.
I wish I knew what Tom was thinking.	Tôi ước gì tôi biết những gì Tom đang nghĩ trong đầu.
I'm going to do what I've been told.	Tôi sẽ làm những điều mà tôi đã nói.
I'm not as stupid as you think I am.	Tôi không có ngốc như bạn tưởng đâu.
I'm not telling you my phone number.	Tôi sẽ không nói cho bạn biết số điện thoại của tôi đâu.
I'm trying to find a picture of Tom.	Tôi đang cố gắng tìm một bức ảnh của Tom.
Is it comfortable to travel by ship?	Đi thuyền có thoải mái không?
Is it possible to see Venus tonight?	Tôi nay có thể thấy sao Vệ Nữ không?
Is your house far from your company?	Nhà của bạn có xa công ty (của bạn) không?
It is no use crying over spilt milk.	Chuyện gì đã qua thì cho qua.
It is up to us to help those people.	Tùy chúng tôi giúp đỡ những người đó.
Let's try to answer these questions.	Hãy thử trả lời những câu hỏi này.
May I direct your attention to this?	Xin làm ơn chú ý.
My mother carefully opened the door.	Mẹ tôi cẩn thận mở cửa.
Replace the old tires with new ones.	Hãy thay lốp cũ bằng lốp mới đi.
She came to Japan to study Japanese.	Cô ấy đến Nhật để học Nhật ngữ.
She doesn't have a driver's license.	Chị ấy không có bằng lái xe.
She encouraged him to write a novel.	Cô ấy khuyến khích anh ấy viết một cuốn tiểu thuyết.
She was named after her grandmother.	Cô ta được đặt tên theo tên bà mình.
Steven Spielberg is a film director.	Steven Spielberg là một đạo diễn.
That is what they study English for.	Đó là mục đích mà họ học tiếng Anh.
The bus stopped, but no one got out.	Xe buýt đã dừng nhưng không một ai xuống xe cả.
The bus stopped, but nobody got off.	Xe buýt đã dừng nhưng không một ai xuống xe cả.
The company wants to hire 20 people.	Công ty muốn thuê 20 người.
The dragon is an imaginary creature.	Rồng là một loài sinh vật tưởng tượng.
The jets took off one after another.	Máy bay phản lực lần lượt cất cánh.
The police officer blew his whistle.	Cảnh sát thổi còi.
The president has abolished slavery.	Tổng thống đã bỏ chế độ sở hữu nô lệ.
The situation seemed out of control.	Tình hình có vẻ mất kiểm soát.
The stars were twinkling in the sky.	Các vì sao đang lấp lánh trên bầu trời.
The stars were twinkling in the sky.	Những ngôi sao đang sáng lấp lánh trên bầu trời.
The very thought is abhorrent to me.	Chỉ nghĩ đến nó thôi là tôi đã thấy đáng sợ rồi.
The village I live in is very small.	Ngôi làng nơi tôi sống rất nhỏ.
There won't be so many people there.	Sẽ không có nhiều người ở đó.
This broken vase cannot be repaired.	Cái bình hoa vỡ này không thể sửa được.
This flashlight needs two batteries.	Cái đèn pin này cần hai cục pin.
Today I want to eat something light.	Hôm nay tôi muốn ăn gì đó nhẹ nhẹ quá.
Today I want to eat something light.	Hôm nay tôi muốn ăn thứ gì đó nhẹ nhàng quá.
Tom and I were meant for each other.	Tôi và Tom đã từng là thứ gì đó của nhau.
Tom assumed that Mary would be late.	Tom đoán là Mary sẽ tới muộn.
Tom came straight home after school.	Sau khi tan học, Tom đã về thẳng nhà.
Tom came straight home after school.	Tom đã về thẳng nhà sau khi tan học.
Tom doesn't know a lot about Boston.	Tom không biết nhiều về Boston.
Tom doesn't like milk in his coffee.	Tom không thích bỏ sữa vào cà phê.
Tom doesn't trust a thing Mary says.	Tom không tin bất cứ điều gì Mary nói.
Tom dried himself with a bath towel.	Tom đã lau người bằng khăn tắm.
Tom dried himself with a bath towel.	Tom lau người bằng khăn tắm.
Tom has a drawer full of USB cables.	Tom có một ngăn tủ đầy cáp USB.
Tom has red spots all over his body.	Tom nổi những đốm đỏ khắp người.
Tom heard someone whistling outside.	Tom đã nghe thấy ai đó huýt sáo ở bên ngoài.
Tom heard someone whistling outside.	Tom nghe thấy tiếng ai đó huýt sáo ở bên ngoài.
Tom hurt his knee when he fell down.	Tom đã bị thương ở đầu gối khi nó té xuống.
Tom is starting to get on my nerves.	Tom bắt đầu làm tôi thấy khó chịu.
Tom is still on the phone with Mary.	Tom vẫn còn nói chuyện điện thoại với Mary.
Tom is the person I was waiting for.	Lúc đó tôi đang đợi Tom.
Tom killed himself three months ago.	Tom đã tự tử ba tháng trước.
Tom killed himself three months ago.	Tom đã tự tử 3 tháng trước.
Tom kissed Mary and she slapped him.	Tom đã hôn Mary và cô tát anh ta.
Tom knew that Mary couldn't do that.	Tom đã biết là Mary không thể làm điều đó.
Tom knew that Mary couldn't do that.	Tom đã biết là Mary không thể làm điều đó được.
Tom lacks the talent to be an actor.	Tom thiếu tài năng để trở thành một diễn viên.
Tom lived in Boston three years ago.	Tom từng sống ở Boston ba năm về trước.
Tom looks funny wearing those shoes.	Tom đi đôi giày đó trông thật buồn cười.
Tom opened the conference room door.	Tom mở cửa phòng họp.
Tom said he hopes you won't do that.	Tom nói là anh ấy mong bạn sẽ không làm điều đó.
Tom said that he heard the gunshots.	Tom đã nói rằng anh ấy nghe thấy tiếng súng.
Tom tries to avoid traveling by air.	Tom cố tránh di chuyển bằng đường hàng không.
Tom would never sell his car to you.	Tom sẽ không bao giờ bán ô tô của mình cho bạn đâu.
Tom's cat rubbed against Mary's leg.	Con mèo của Tom đã cọ vào chân của Mary.
Tom's cat rubbed against Mary's leg.	Con mèo của Tom cọ cọ vào chân của Mary.
Translate this into English, please.	Làm ơn hãy dịch cái này sang tiếng Anh.
Twenty teams entered the tournament.	Hai mươi đội bước vào giải đấu.
We can't sleep because of the noise.	Chúng tôi không ngủ được vì ồn quá.
We have enough money to buy this CD.	Chúng tôi có đủ tiền để mua chiếc CD này.
We heard what sounded like gunshots.	Chúng tôi nghe thấy như những tiếng súng nổ.
We've spent a lot of time in Boston.	Bọn tôi ở Boston khá lâu.
Words once said can't be taken back.	Một lời nói ra, ngựa giỏi đuổi không kịp.
Would you like to have another beer?	Ông có muốn uống thêm bia không?
You have no idea what you've missed.	Cậu không biết mình bỏ lỡ thứ gì đâu.
You may have read this book already.	Có thể bạn đã đọc cuốn này rồi.
You must keep the promises you make.	Bạn phải giữ lời hứa.
You've told me that a hundred times.	Bạn đã nói với tôi điều đó mấy trăm lần rồi.
"When do you swim?" "I swim in July."	"Bạn bơi khi nào?" "Tôi bơi vào tháng Bảy."
All you have to do is to work harder.	Những gì bạn phải làm là làm việc chăm chỉ hơn.
Compared with yours, my car is small.	So với chiếc xe của anh, xe tôi nhỏ hơn.
Could I have one more coffee, please?	Cho tôi xin thêm một ít cà phê được không?
Do you really think Tom is unmarried?	Bạn có thực sự nghĩ là Tom chưa kết hôn không?
Do you really think Tom is unmarried?	Bạn có thật sự nghĩ là Tom chưa kết hôn không?
Do you think you might recognize Tom?	Cậu có nghĩ cậu nhận ra Tom không?
Does Tom know what you're doing here?	Tom có biết là bạn đang làm gì ở đây không?
Does Tom know what you're doing here?	Tom có biết bạn đang làm gì ở đây không thế?
Don't look a gift horse in the mouth.	Đừng có mà được voi đòi tiên.
For further information, see page 16.	Hãy tham khảo thông tin chi tiết ở trang 16.
Has this ever happened to you before?	Việc này đã từng xảy ra với bạn trước đây chưa?
He has already finished his homework.	Anh ấy đã làm xong bài tập về nhà.
He has already finished his homework.	Anh ấy đã làm xong bài tập.
He has already finished his homework.	Cậu ấy đã hoàn thành xong bài tập.
He is too young to go swimming alone.	Cháu nó còn nhỏ quá không đi bơi một mình được.
He lent me the money quite willingly.	Anh ta rất sẵn lòng cho tôi vay tiền.
He reluctantly agreed to my proposal.	Anh ta miễn cưỡng đồng ý với đề nghị của tôi.
He was born in a small town in Italy.	Anh ấy được sinh ra trong một thị trấn nhỏ ở Ý.
Here is the book you are looking for.	Đây là cuốn sách mà bạn đang tìm đấy.
Honesty isn't always the best policy.	Thật thà không phải lúc nào cũng là cha quỷ quái.
How do you feel about his suggestion?	Bạn thấy lời gợi ý của anh ta thế nào?
How much money does Tom make a month?	Tom kiếm được bao nhiêu tiền trong một tháng?
I am getting off at the next station.	Tôi sẽ xuống ở chặng đỗ tới.
I am looking for a job near my house.	Tôi đang tìm kiếm một công việc gần nhà.
I awoke to find a burglar in my room.	Tôi tỉnh dậy và thấy một tên trộm trong phòng mình.
I borrow books from the city library.	Tôi đang mượn sách ở thư viện thành phố.
I can't eat or drink very hot things.	Tôi không thể ăn hay uống những thức ăn rất nóng.
I can't go to school today. I'm sick.	Tôi không thể đến trường ngày hôm nay. Tôi đang bị ốm.
I did everything I could to save Tom.	Tớ đã làm tất cả những gì có thể để cứu Tom.
I don't have anything to give to you.	Tôi chẳng có gì để mà cho bạn cả.
I don't know how to thank you enough.	Tôi không biết làm thế nào để cảm ơn bạn đủ.
I don't know which of you is crazier.	Tôi không biết ai trong số các bạn điên rồ hơn.
I don't remember anything about that.	Tôi không nhớ gì về điều đó.
I don't want anyone to know I'm rich.	Tôi không muốn bất cứ ai biết là tôi giàu.
I don't want spaghetti again tonight.	Tôi không muốn lại ăn mỳ Ý tối nay nữa.
I don't want spaghetti again tonight.	Tôi không muốn lại phải ăn mỳ Ý tối nay nữa.
I had no notion that you were coming.	Tôi không hề biết là anh sẽ đến.
I have lots of affairs to look after.	Tôi có nhiều việc phải làm.
I have never read such a scary novel.	Tôi chưa từng đọc cuốn tiểu thuyết nào đáng sợ như vậy.
I made Tom leave his suitcase behind.	Tôi đã khiến cho Tom bỏ vali của nó lại.
I made Tom leave his suitcase behind.	Tao đã khiến cho Tom bỏ vali của nó lại.
I made Tom leave his suitcase behind.	Tôi đã khiến cho Tom để vali của nó lại.
I meant to call her, but I forgot to.	Tôi định gọi cho cô ấy mà lại quên mất.
I need to go to the library tomorrow.	Tôi cần phải đi đến thư viện vào ngày mai.
I need to go to the library tomorrow.	Ngày mai tôi cần phải đi tới thư viện.
I often don't have time to eat lunch.	Tôi thường không có thời gian ăn trưa.
I pretended that it didn't bother me.	Tôi giả vờ rằng điều đó chẳng ảnh hưởng gì đến mình.
I started learning Chinese last week.	Tuần trước tôi mới bắt đầu học tiếng Trung quốc.
I think that I have to do that today.	Tôi nghĩ là tôi phải làm việc đó hôm nay.
I think that I have to do that today.	Tôi nghĩ tôi phải làm việc đó vào hôm nay.
I think that Tom is allergic to cats.	Tôi nghĩ là Tom bị dị ứng mèo.
I think that Tom is allergic to cats.	Tôi nghĩ Tom bị dị ứng với mèo.
I thought you said your name was Tom.	Tôi tưởng bạn nói tên bạn là Tom.
I thought you wanted me to handle it.	Tôi đã nghĩ là bạn muốn tôi đưa cái đó cho bạn.
I told you not to do anything stupid.	Tôi đã bảo bạn đừng có làm điều gì ngu xuẩn rồi cơ mà.
I want to hear the rest of the story.	Tôi muốn nghe toàn bộ câu chuyện.
I want to hear the rest of the story.	Tớ muốn nghe toàn bộ câu chuyện.
I want to hear the rest of the story.	Mình muốn nghe toàn bộ câu chuyện.
I want to hear the rest of the story.	Tao muốn nghe toàn bộ câu chuyện.
I wish I hadn't asked Tom to do that.	Ước gì tôi đã không nhờ Tom làm việc đó.
I wish I hadn't asked Tom to do that.	Tôi ước là tôi đã không nhờ Tom làm điều đó.
I wonder whether Tom can come or not.	Tôi tự hỏi là Tom có thể đến được hay không.
I would never have agreed to do that.	Mình sẽ không bao giờ đồng ý làm việc đó.
I'd love to find out why she said so.	Tôi rất muốn tìm hiểu lý do tại sao cô ấy nói vậy.
I'll explain everything to you later.	Tôi sẽ giải thích mọi thứ cho bạn sau.
I'll pay you at the end of the month.	Tôi sẽ trả lương cho cậu vào cuối tháng.
I'll pick you up tomorrow after work.	Tôi sẽ đón bạn vào ngày mai sau khi xong việc.
I'm afraid you don't have any choice.	Tôi e rằng bạn không còn lựa chọn nào khác.
I'm afraid you have the wrong number.	Tôi e là bạn đã nhầm số rồi.
I'm going to need a little more time.	Tôi sẽ cần thêm một chút thời gian.
I'm not even going to let Tom see it.	Tôi không định cho Tom thấy thứ này.
I'm not going to tell you what to do.	Tôi sẽ không nói cho bạn biết phải làm gì.
I'm satisfied with my current income.	Tôi thỏa mãn với thu nhập hiện tại của tôi.
I'm satisfied with my current income.	Tôi cảm thấy thỏa mãn với thu nhập hiện tại của bản thân.
I'm sure Tom didn't want to be alone.	Tôi chắc rằng Tom không muốn ở một mình.
I'm sure Tom didn't want to be alone.	Tôi chắc rằng Tom không muốn trở nên cô đơn.
If possible, I'd like to go home now.	Nếu có thể, tôi muốn được về nhà ngay bây giowf.
If you are hungry, why don't you eat?	Nếu ấy đói thì sao không ăn đi?
It's not always easy to stay healthy.	Không phải dễ để có sức khỏe tốt.
It's pretty clear you have a problem.	Rõ ràng là cậu có vấn đề.
Let's help them solve their problems.	Chúng ta hãy giúp họ giải quyết vấn đề.
Look what I got Tom for his birthday.	Xem mình có gì cho Tom nhân ngày sinh nhật này.
My younger brother is still sleeping.	Em trai tôi vẫn đang ngủ.
Please fill in this application form.	Xin điền vào đơn này.
Please fill in this application form.	Xin điền vào mẫu đơn này.
She argued with him and then hit him.	Cô ta gây sự rồi đánh anh ấy.
She had a touch of a cold last night.	Tối qua cô ấy bị cảm nhẹ.
She is always complaining of her job.	Cô ta luôn phàn nàn về công việc của mình.
She is likely to live to one hundred.	Bà ấy có thể sẽ sống đến 100 tuổi.
She is likely to live to one hundred.	Cô ấy có thể sẽ sống đến một trăm tuổi.
She sings as well as plays the piano.	Cô ấy không chỉ chơi piano mà còn hát nữa.
She's studying French and web design.	Cô ấy học tiếng Pháp và thiết kế web.
Take the leftover food home with you.	Bạn hãy mang đồ ăn dư về nhà
The boy captured the bird with a net.	Cậu bé đã bắt con chim đó bằng một tấm lưới.
The boy tried eating with chopsticks.	Cậu bé thử ăn bằng đũa.
The concert lasted about three hours.	Buổi hoà nhạc kéo dài 3 tiếng đồng hồ.
The defendant was sentenced to death.	Bị can đã bị tuyên án tử hình.
The red hat goes well with her dress.	Chiếc mũ đỏ này rất hợp với chiếc váy của cô ấy.
The television is in the living room.	Cái ti vi được đặt ở phòng khách.
The world doesn't revolve around you.	Thế giới không quay quanh bạn.
The world doesn't revolve around you.	Thế giới không quay quanh mày.
Their company created forty new jobs.	Công ty của họ đã tạo ra thêm bốn mươi chỗ làm.
Their losses reached one million yen.	Chúng nó lỗ tới một triệu yên lận.
There are many careers open to women.	Có rất nhiều công việc rộng mở dành cho phụ nữ.
This is a portrait of my late father.	Đây là bức chân dung người cha quá cố của tôi.
This is a portrait of my late father.	Đây là bức chân dung người cha đã mất của tôi.
Those hens lay eggs almost every day.	Mấy con gà đó hầu như ngày nào cũng đẻ trứng.
Tom and I are both very proud of you.	Cả Tom và tôi đều rất tự hào về bạn.
Tom can borrow my car for a few days.	Tom có thể mượn chiếc ô tô của tôi trong vài ngày.
Tom can speak French better than you.	Tom nói tiếng Pháp tốt hơn cậu.
Tom chased the cats out of his house.	Tom đuổi bọn mèo ra khỏi nhà anh ta.
Tom doesn't get out of the city much.	Tôi không rời khỏi thành phố nhiều lắm.
Tom is really conservative, isn't he?	Tom là một người bảo thủ, phải không?
Tom is still young and inexperienced.	Tom vẫn còn trẻ và thiếu kinh nghiệm.
Tom is the smartest one in our class.	Tom là người thông minh nhất trong lớp của chúng tôi.
Tom is three years younger than Mary.	Tom nhỏ hơn Mary 3 tuổi.
Tom is three years younger than Mary.	Tom nhỏ hơn Mary 3 năm.
Tom is three years younger than Mary.	Tom trẻ hơn Mary 3 tuổi.
Tom isn't going to hurt anybody else.	Tom sẽ không làm tổn thương bất cứ người khác.
Tom noticed the door was half closed.	Tom để ý thấy cánh cửa chỉ khép hờ.
Tom showed Mary his stamp collection.	Tom cho Mary xem bộ sưu tập tem của anh ta.
Tom threw Mary's phone into the pool.	Tom đã ném điện thoại của Mary vào bể bơi.
Tom threw Mary's phone into the pool.	Tom ném điện thoại của Mary vào hồ bơi.
Tom usually goes to bed at ten-forty.	Tom thường đi ngủ lúc 10 giờ 40.
Too much drinking will make you sick.	Uống nhiều quá sẽ bệnh.
We need to rack our brains some more.	Chúng ta cần phải động não hơn nữa
We think you're doing very well here.	Chúng tôi nghĩ bạn đang làm việc rất tốt ở đây.
We were very sleepy the next morning.	Buổi sáng hôm sau, chúng tôi rất buồn ngủ.
We're saving up to build a new house.	Chúng tôi đang tiết kiệm để xây một ngôi nhà mới.
What do you think Tom's shoe size is?	Cậu nghĩ Tom đi giày cỡ bao nhiêu?
What do you want to talk to me about?	Bạn muốn nói chuyện với tôi về điều gì?
Which language is the most difficult?	Ngôn ngữ nào khó nhất?
You can't always make everyone happy.	Bạn không thể lúc nào cũng làm hài lòng mọi người.
You can't trust computer translation.	Bạn không thể tin tưởng vào máy dịch được.
You did not come to school yesterday.	Hôm qua bạn không đi học.
You don't give up too easily, do you?	Bạn đã không bỏ cuộc dễ dàng quá, đúng không?
You don't have to go to school today.	Hôm nay cậu không phải đến trường.
You have been gone for so many years.	Bạn đã ra đi nhiều năm nay.
You have every right to be mad at me.	Bạn giận tôi là đúng.
You have every right to be mad at me.	Bạn có mọi lý do để giận tôi.
You want to see Tom again, don't you?	Bạn muốn gặp lại Tom, có phải không?
You'd better tell Tom not to do that.	Cậu nên khuyên Tom đừng làm việc đó.
Chances are the bill will be rejected.	Nhiều khả năng là dự luật sẽ bị bác bỏ.
Come and see me whenever you are free.	Đến gặp tôi bất cứ lúc nào bạn rảnh.
Did you really have to yell that loud?	Bạn có cần phải hét to thế không?
Did you really have to yell that loud?	Bạn có cần thiết phải hét to thế không?
Do you know whose handwriting this is?	Bạn có biết đây là chữ của ai không?
Do you sometimes study in the library?	Bạn có thỉnh thoảng ra thư viện học không?
Do you usually have tea for breakfast?	Bạn thường dùng trà cho bữa sáng à?
Don't underestimate her determination.	Đừng coi nhẹ quyết tâm của cô ấy.
Everyone has strengths and weaknesses.	Người nào cũng có cái hay và cái dở của họ.
Follow me and I will show you the way.	Đi theo tôi và tôi sẽ chỉ cho bạn đường đi.
Follow me and I will show you the way.	Đi theo tôi và tôi sẽ chỉ cho bạn cách.
Follow me and I will show you the way.	Đi theo tao rồi tao sẽ chỉ cho mày cách.
Have you made sure the door is locked?	Bạn đã kiểm tra lại xem cửa đã khóa không chưa?
He encouraged his son to study harder.	Ông ta cổ vũ con trai mình học hành chăm chỉ hơn.
He had no idea what these words meant.	Anh ấy hoàn toàn không biết từ này nghĩa là gì.
He had no idea what these words meant.	Anh ấy hoàn toàn không biết những từ này nghĩa là gì.
He lost a fortune in the stock market.	Anh ấy đã mất một khoản tiền lớn trong chứng khoán.
He lost a fortune in the stock market.	Ông ấy đã mất một khoản tiền lớn trong thị trường chứng khoán.
He was forced to return to Washington.	Anh ấy bị bắt buộc phải quay về Washington.
He's feeling tired after German class.	Anh ấy đang cảm thấy mệt mỏi sau giờ học tiếng Đức.
He's feeling tired after German class.	Anh ấy cảm thấy mệt mỏi sau giờ tiếng Đức.
He's the projectionist at the theater.	Anh ta là người điểu khiển máy chiếu trong rạp hát.
Her words were like those of an angel.	Lời cô ta nói cứ như lời của một thiên thần.
Honesty is not always the best policy.	Thật thà không phải lúc nào cũng là cha quỷ quái.
How many boys are there in your class?	Trong lớp bạn có bao nhiêu con trai?
How many boys are there in your class?	Có bao nhiêu con trai trong lớp bạn?
How many times do I need to repeat it?	Tôi cần phải lặp lại điều này bao nhiêu lần nữa?
I am left with all the responsibility.	Cuối cùng tôi phải chịu toàn bộ trách nhiệm.
I am thinking of going to Los Angeles.	Tôi đang nghĩ đến việc đi Los Angeles.
I could have killed you, but I didn't.	Tôi có thể giết cậu nhưng tôi đã không làm vậy.
I didn't know that Tom would say that.	Tôi không biết Tom sẽ nói thế.
I don't want anybody writing about me.	Tôi không muốn bất kỳ ai viết về tôi.
I hope that I've done the right thing.	Tôi hy vọng mình đã làm điều đúng đắn.
I hope that the economy picks up soon.	Tôi mong là kinh tế sẽ sớm phục hồi.
I just did what anybody would've done.	Tôi chỉ làm điều mà ai cũng làm thôi mà.
I look forward to reading your report.	Tôi chờ đọc báo cáo của anh.
I passed up an opportunity to see him.	Tôi để vuột mất cơ hội gặp ông ấy.
I spent all the savings I had on this.	Tôi đã sử dụng toàn bộ số tiền tiết kiệm của mình để mua cái này.
I studied in Boston from 2003 to 2007.	Tôi học ở Boston từ năm 2003 đến năm 2007.
I study French in addition to English.	Tôi không chỉ học tiếng Anh, mà còn học cả tiếng Pháp nữa.
I think that's a little too expensive.	Tôi nghĩ là cái đó hơi đắt.
I think that's a little too expensive.	Tôi nghĩ cái đó hơi đắt.
I think that's a little too expensive.	Tôi nghĩ là cái kia hơi đắt.
I think they'll permit you to do that.	Tôi nghĩ là họ sẽ cho phép bạn làm điều đó.
I thought we should start celebrating.	Tôi nghĩ chúng ta nên bắt đầu ăn mừng.
I want to borrow your car for an hour.	Tôi muốn mược xe của bạn trong vòng một giờ.
I want you to get a good night's rest.	Mình mong cậu có một đêm ngủ ngon.
I wonder if this is some sort of scam.	Tôi tự hỏi không biết đây có phải là một âm mưu gì không.
I wonder if you could help me do that.	Tôi không biết là bạn có thể giúp tôi làm điều đó không.
I'll be there, although I may be late.	Tôi sẽ đến đó, mặc dù có lẽ là tôi sẽ đến muộn.
I've been looking for my keys all day.	Tôi đã tìm kiếm chùm chìa khoá của tôi cả ngày nay.
I've been waiting for her for an hour.	Cho đến giờ tôi đã đợi cô ta một tiếng đồng hồ.
If you worry too much, you'll go bald.	Lo lắng nhiều quá thì sẽ bị hói đầu đấy.
If you worry too much, you'll go bald.	Âu lo nhiều quá thì sẽ hói đầu đấy.
Let's talk about this when I get home.	Hãy nói về chuyện này khi tôi về nhà.
Mary helped her mother prepare dinner.	Mary giúp mẹ cô ấy chuẩn bị bữa tối.
Mary used to dream about marrying Tom.	Mary từng mơ thấy việc kết hôn với Tom.
My father asked me to open the window.	Bố tôi đã nhờ tôi mở cửa sổ ra.
My father asked me to open the window.	Bố tôi nhờ tôi mở cửa sổ ra.
My grandfather is very hard to please.	Ông tôi rất khó chiều.
My hobbies are karate and calligraphy.	Sở thích của tôi là karate và thư pháp.
Please tell me what you need me to do.	Hãy nói cho tôi biết bạn cần tôi làm gì.
She couldn't come because he was sick.	Cô ấy không thể đến bởi vì anh ấy bệnh.
She introduced me to him at the party.	Cô ấy giới thiệu tôi cho hắn ở buổi tiệc.
She left France for the United States.	Cô ấy rời Pháp để đến Hoa Kỳ.
She left France for the United States.	Cô ấy rời Pháp để đến Mỹ.
She said she would be back right away.	Cô ấy nói là cô ấy sẽ quay trở lại ngay.
She said she would be back right away.	Cô ấy nói cô ấy sẽ quay trở lại ngay.
She saw some books lying on the piano.	Cô ấy thấy vài cuốn sách nằm trên cây đàn dương cầm.
She was made to wait for over an hour.	Chị ấy bị bắt chờ hơn một tiếng đồng hồ.
She was made to wait for over an hour.	Cô ấy đã phải đợi hơn một tiếng.
She was made to wait for over an hour.	Cô ấy đã bị bắt phải đợi hơn một tiếng.
Something terrible is going to happen.	Cái gì đó rất kinh khủng sắp xảy ra.
Something terrible is going to happen.	Cái gì đó rất kinh khủng sẽ xảy ra.
That is the shop where I used to work.	Đó là cửa hàng nơi mà tôi đã từng làm việc.
The book is now ready for publication.	Cuốn sách đã sẵn sàng để xuất bản rồi.
The bowl contains many kinds of candy.	Cái tô có rất nhiều loại kẹo.
The couple decided to adopt an orphan.	Cặp vợ chồng quyết định nhận một đứa con nuôi.
The crowd poured out through the gate.	Đám đông tràn qua cửa.
The gate is closed all the year round.	Cái cổng bị đóng cả năm trời nay.
The new term starts in April in Japan.	Ở Nhật Bản, học kỳ mới sẽ bắt đầu vào tháng Tư.
The post office is near the bookstore.	Bưu điện ở gần hiệu sách.
The restaurant is on the ground floor.	Nhà hàng đó ở tầng 1.
The truck carried a load of furniture.	Chiếc xe tải đó đã chất đầy nội thất.
There is a traffic jam on the highway.	Trên đường cao tốc đang xảy ra tình trạng tắc đường.
There were fifty entries for the race.	Có 20 thí sinh trong cuộc cạnh tranh.
They are going to emigrate to America.	Họ định di cư sang Mỹ.
They are going to emigrate to America.	Họ có ý định di cư sang Hoa Kỳ.
Thirteen passengers were hospitalized.	Có 13 hành khách đã nhập viện.
Tom and I have some catching up to do.	Tom và tớ có vài việc cần làm.
Tom apologized to me for his rudeness.	Tom xin lỗi tôi vì đã hành xử thô lỗ.
Tom apologized to me for his rudeness.	Tom xin lỗi tôi vì đã cư xử thô lỗ.
Tom asked Mary how much money she had.	Tom hỏi Mary có bao nhiêu tiền.
Tom asked Mary how much money she had.	Tom hỏi Mary rằng cô ấy có bao nhiêu tiền.
Tom could've done that, but he didn't.	Tom đã có thể làm việc đó, nhưng anh ấy không làm.
