I'm OK.	Mən yaxşıyam.
This box contains apples.	Bu qutuda almalar var.
This is my business card.	Bu mənim vizit kartımdır.
This isn't an apple tree.	Bu alma ağacı deyil.
This knife is very sharp.	Bu bıçaq çox itidir.
Tom became a taxi driver.	Tom taksi sürücüsü oldu.
Tom comes here every day.	Tom bura hər gün gəlir.
Tom didn't open the beer.	Tom pivəni açmadı.
Tom doesn't want to come.	Tom gəlmək istəmir.
Tom is a careless driver.	Tom səhlənkar sürücüdür.
Tom is a reckless driver.	Tom ehtiyatsız sürücüdür.
Tom is a talented singer.	Tom istedadlı müğənnidir.
Tom is going to hurt you.	Tom səni incidəcək.
Tom is looking for a job.	Tom iş axtarır.
Tom isn't afraid of Mary.	Tom Meridən qorxmur.
Tom jumped into the pool.	Tom hovuza tullandı.
Tom ran toward the house.	Tom evə tərəf qaçdı.
Tom used to be a soldier.	Tom əvvəllər əsgər idi.
Tom wants to go to Japan.	Tom Yaponiyaya getmək istəyir.
Ukraine is a big country.	Ukrayna böyük ölkədir.
We don't know the lyrics.	Biz mahnının sözlərini bilmirik.
We want nothing from you.	Biz sizdən heç nə istəmirik.
What do you think of war?	Müharibə haqqında nə düşünürsünüz?
When did he go to Europe?	O Avropaya nə vaxt getdi?
Where do they want to go?	Onlar hara getmək istəyirlər?
Where do you play tennis?	Siz harada tennis oynayırsınız?
Where do you play tennis?	Harada tennis oynayırsan?
Where is the nearest pub?	Ən yaxın pivəxana haradadır?
Who was your inspiration?	Siz kimdən ilham alardınız?
Whose dictionary is this?	Bu kimin lüğətidir?
Why did you buy a flower?	Niyə gül aldın?
Why do bad things happen?	Niyə pis şeylər baş verir?
Write at least 250 words.	Ən azı 250 söz yazın.
You don't have to beg me.	Mənə yalvarmağa məcbur deyilsən.
You have great potential.	Sənin böyük potensialın var.
You should have told him.	Sən ona deməliydin.
You're a beautiful woman.	Sən gözəl qadınsan.
You've already forgotten.	Sən artıq unutmusan.
You've already forgotten.	Siz artıq unutmusunuz.
You've come just in time.	Lap vaxtında gəlmisən.
Can you tell me about Tom?	Mənə Tom haqqında danışa bilərsən?
Could you come and get me?	Gəlib məni götürə bilərsən?
Death is similar to sleep.	Ölüm yuxuya bənzəyir.
Do you have any daughters?	Sənin ümumiyyətlə qızın var?
Does your head still ache?	Başın hələ də ağrıyır?
Don't cancel anything yet.	Hələ ki heç nəyi ləğv etmə.
Don't get so carried away.	Çox qapılma.
Everyone in Cuba likes it.	Kubada hamının bundan xoşu gəlir.
Give some meat to the dog.	İtə biraz ət ver.
He acted without thinking.	O düşünmədən hərəkət etdi.
He drives a pink Cadillac.	O çəhrayı Kadillak sürür.
He has a house of his own.	Onun öz evi var.
He is my youngest brother.	O mənim ən kiçik qardaşımdır.
He is shaking like a leaf.	O yarpaq kimi əsir.
He knows many folk dances.	O çoxlu milli rəqs bilir.
He ran into the classroom.	O, sinif otağına qaçdı.
His ashes are buried here.	Onun külü burada basdırılıb.
How did Tom get to Boston?	Tom Bostona necə getdi?
How do we fix the problem?	Biz bu problemi necə həll edə bilərik?
I am four months pregnant.	Mən dörd aylıq hamiləyəm.
I am from the Netherlands.	Mən Niderlanddanam.
I bought a book yesterday.	Mən dünən kitab aldım.
I don't get what you mean.	Nə demək istədiyinizi başa düşmürəm.
I don't know the password.	Parolu bilmirəm.
I don't know the password.	Mən şifrəni bilmirəm.
I don't know what I'll do.	Bilmirəm nə edəcəm.
I feed my dog twice a day.	Mən itimi gündə iki dəfə yemləyirəm.
I got married 8 years ago.	Mən səkkiz il əvvəl evləndim.
I have great news for you.	Sənin üçün əla xəbərim var.
I prefer staying to going.	Mən qalmağı getməkdən üstün tuturam.
I saw him enter the house.	Mən onun evə girdiyini gördüm.
I understand your problem.	Sizin probleminizi başa düşürəm.
I understand your problem.	Sənin problemini başa düşürəm.
I want to be a journalist.	Mən jurnalist olmaq istəyirəm.
I want to scratch my nose.	Burnumu qaşımaq istəyirəm.
I went to school with Tom.	Mən məktəbə Tomla getdim.
I'd like to buy this doll.	Mən bu gəlinciyi almaq istərdim.
I'll take care of the cat.	Mən pişiyin qayğısına qalaram.
I'm the one in the middle.	Ortadakı mənəm.
Is Tom still working here?	Tom hələ də burda işləyir?
It is a little cool today.	Bu gün biraz sərindir.
Leaves fall in the autumn.	Payızda yarpaqlar tökülür.
Luckily, you were at home.	Xoşbəxtlikdən siz evdə idiniz.
Mary is Tom's twin sister.	Meri Tomun əkiz bacısıdır.
My brother lives in Tokyo.	Mənim qardaşım Tokioda yaşayır.
My father is a bus driver.	Mənim atam avtobus sürücüsüdür.
Our class has 41 students.	Bizim sinifdə 41 şagird var.
People can't live forever.	İnsanlar əbədi yaşaya bilmirlər.
Pinocchio had a long nose.	Pinokkionun uzun burnu var idi.
Please give me an ashtray.	Zəhmət olmasa, mənə külqabı verin.
She did not read the book.	O, kitabı oxumadı.
She painted the wall pink.	O, divarı çəhrayı rəngə boyadı.
Should I wash the lettuce?	Kahını yumalıyam?
Soak this sponge in water.	Bu süngəri suda islat.
Someone asked about Texas.	Kimsə Texas haqqında soruşdu.
Sugar is soluble in water.	Şəkər suda həll olur.
Tell Tom it was a mistake.	Toma de ki, bu səhv idi.
Tell Tom it was a mistake.	Toma deyin ki, bu bir səhv idi.
The girl broke the window.	Qız pəncərəni sındırdı.
Their wedding is tomorrow.	Onların toyu sabahdır.
They didn't find anything.	Onlar heç nə tapmadılar.
This is a good dictionary.	Bu yaxşı lüğətdir.
This is smaller than that.	Bu ondan balacadır.
This is the flag of Japan.	Bu Yaponiyanın bayrağıdır.
Tom and I help each other.	Tom və mən birbirimizə kömək edirik.
Tom asked me about my job.	Tom məndən işim barədə soruşdu.
Tom doesn't have a sister.	Tomun bacısı yoxdur.
Tom drank a cup of coffee.	Tom bir fincan qəhvə içdi.
Tom has to go to the bank.	Tom banka getməlidir.
Tom is chewing bubble gum.	Tom saqqız çeynəyir.
Tom says he doesn't snore.	Tom deyir ki, o xorlamır.
Tom wrote to me yesterday.	Tom dünən mənə yazdı.
We hardly know each other.	Demək olar bir-birimizi tanımırıq.
We have nothing in common.	Bizim ortaq heç nəyiminiz yoxdur.
We're here to protect you.	Biz sizi qorumaq üçün buradayıq.
When does the movie start?	Film nə vaxt başlayır?
Where do you think we are?	Səncə biz haradayıq?
Will it be sunny tomorrow?	Sabah hava günəşli olacaq?
Will you be here tomorrow?	Sabah burada olacaqsan?
You don't have to help me.	Mənə kömək etməyə məcbur deyilsən.
You forgot to buy lettuce.	Kahı almaq yadından çıxıb.
You should lock your door.	Sən qapını bağlamalısan.
You should lock your door.	Siz gərək qapınızı bağlayasınız.
You're in the right place.	Siz düzgün yerdəsiniz.
Autumn changed into winter.	Payız yerini qışa verdi.
Can you do it or can't you?	Sən bunu bacararsan ya yox?
Can you do it or can't you?	Sən bunu edə bilərsən, ya yox?
Canada produces good wheat.	Kanada yaxşı buğda istehsal edir.
China is bigger than Japan.	Çin Yaponiyadan böyükdür.
Do I need to make a speech?	Mən də nitq söyləməliyəm?
Do you think fish can hear?	Səncə balıqlar eşidə bilir?
French is my mother tongue.	Fransız dili mənim ana dilimdir.
He decided to go to France.	O Fransaya getmək qərarına qəldi.
He does not live in Sendai.	O, Sendayda yaşamır.
He got home at seven sharp.	O, düz saat yeddidə evə gəldi.
He held a pen in his hands.	O, əlində qələm tutmuşdu.
He will get well very soon.	O tezliklə yaxşılaşacaq.
Her family moved to Brazil.	Onun ailəsi Braziliyaya köçdü.
I am waiting for my driver.	Sürücümü gözləyirəm.
I did none of those things.	Bunlardan heç birini etməmişəm.
I don't want to look silly.	Mən axmaq kimi görünmək istəmirəm.
I grew up in the mountains.	Mən dağlarda böyümüşəm.
I have never been to China.	Heç vaxt Çində olmamışam.
I have never been to Paris.	Mən heç vaxt Parisdə olmamışam.
I just want to talk to you.	Mən sadəcə sənlə danışmaq istəyirəm.
I just wasn't ready for it.	Mən sadəcə olaraq buna hazır deyildim.
I last saw them in Albania.	Mən axırıncı dəfə onları Albaniyada gördüm.
I might be able to do that.	Mən onu edə bilərəm.
I no longer live in Boston.	Mən daha Bostonda yaşamıram.
I started reading the book.	Mən kitabı oxumağa başladım.
I thought you were injured.	Mən zənn etdim ki, sən yaralanmısan.
I will call you in an hour.	Mənə bir saata sənə zəng vuracam.
I won't be here next month.	Gələn ay mən burada olmayacam.
I would like to buy a sofa.	Divan almaq istərdim.
I'm listening to the radio.	Radioya qulaq asıram.
It hasn't always been easy.	Bu həmişə asan olmayıb.
It was filmed in Australia.	Bu Avstraliyada çəkilib.
It's raining cats and dogs.	Şıdırğı yağış yağır.
Japan is full of surprises!	Yaponiya sürprizlərlə doludur!
My aunt has three children.	Mənim xalamın üç uşağı var.
My brother works in France.	Mənim qardaşım Fransada işləyir.
My father has a restaurant.	Atamın restoranı var.
My father is a businessman.	Mənim atam iş adamıdır.
My sister married a doctor.	Mənim bacım həkimə ərə gedib.
One language is not enough.	Bir dil kifayət deyil.
Our train stopped suddenly.	Bizim qatar birdən dayandı.
She passed the examination.	O, imtahanı keçdi.
She writes about Sri Lanka.	O Şri Lanka haqqında yazır.
Taiwan isn't part of China.	Tayvan Çinin bir hissəsi deyil.
The baby is still sleeping.	Körpə hələ yatır.
The old man died last week.	Qoca ötən həftə öldü.
The old man died last week.	Qoca kişi keçən həftə öldü.
The soup needs more garlic.	Supa daha çox sarımsaq lazımdır.
There was blood everywhere.	Hər yerdə qan var idi.
There's no need to explain.	İzah etməyə ehtiyac yoxdur.
There's no need to explain.	İzaha ehtiyac yoxdur.
There's nothing to discuss.	Müzakirə etməli heç nə yoxdur.
They both can speak French.	Onlar ikisi də fransızca danışırlar.
They danced all night long.	Onlar bütün gecə boyu rəqs etdilər.
They remained in Tennessee.	Onlar Tennessidə qaldılar.
They supplied us with food.	Onlar bizi qida məhsulları ilə təmin edirlər.
This dictionary isn't mine.	Bu lüğət mənim deyil.
Tom and I are good friends.	Tom və mən yaxşı dostlarıq.
Tom fell into a deep sleep.	Tom dərin yuxuya getdi.
Tom is an excellent driver.	Tom əla sürücüdür.
Tom is shaking like a leaf.	Tom yarpaq kimi əsir.
Tom looked into the coffin.	Tom tabutun içinə baxdı.
Tom really does talk a lot.	Tom həqiqətən çox danışır.
Tom visited Mary yesterday.	Tom dünən Mary'ə baş çəkdi.
Tom was a wonderful person.	Tom əla adam idi.
We accepted his invitation.	Biz onun dəvətini qəbul etdik.
We all die sooner or later.	Gec ya tez hamımız öləcəyik.
Where can I exchange money?	Harada pul dəyişə bilərəm?
Why should we learn French?	Biz niyə fransız dilini öyrənməliyik?
Will he come home by seven?	O, saat yeddiyə kimi evə gələcək?
You must perform your duty.	Siz öz vəzifənizi yerinə yetirməlisiniz.
An elephant has a long nose.	Filin uzun burnu olur.
Damacus is located in Syria.	Dəməşq Suriyada yerləşir.
Do you have a Playstation 3?	Playstation 3`ün var?
Do you know this place well?	Bu yeri yaxşı tanıyırsan?
Even Tom got up early today.	Hətta Tom belə bu gün erkən yuxudan durdu.
Fill this bottle with water.	Bu butulkanı su ilə doldur.
France is in western Europe.	Fransa Qərbi Avropadadır.
He doesn't want you to know.	O sənin bilməyini istəmir.
He wrote a book about China.	O, Çin haqqında kitab yazdı.
I buy milk almost every day.	Mən demək olar ki hər gün süd alıram.
I don't know where to begin.	Mən bilmirəm hardan başlayım.
I haven't seen Tom for days.	Günlərdir ki, Tom-u görmürəm.
I just saw Tom kissing Mary.	Mən indicə Tomun Merini öpdüyünü gördüm.
I need a box about this big.	Mənə təxminən bu böyüklükdə bir qutu lazımdır.
I recommend that restaurant.	Mən o restoranı məsləhət görürəm.
I thought Tom was at school.	Mən elə bilirdim ki, Tom məktəbdədir.
I try not to think about it.	Bunun haqqında fikirləşməməyə çalışıram.
I try not to think about it.	Çalışıram ki, bunun haqqında düşünməyim.
I want to talk to Tom alone.	Mən Tomla təklikdə danışmaq istəyirəm.
I was born on April 3, 1950.	Mən 1950-ci il aprelin 3-də doğulmuşam.
I was very tired last night.	Ötən gecə çox yorğun idim.
I'll be a little late today.	Bu gün biraz gecikəcəm.
I'm going to need your help.	Sizin köməyinizə ehtiyacım olacaq.
I'm not going to drink this.	Bunu içmək fikrim yoxdur.
I'm not going to drink this.	Bunu içməyəcəm.
I'm playing with my friends.	Mən dostlarımla oynayıram.
I've said what I had to say.	Mən deməli olduğumu demişəm.
It was very windy yesterday.	Dünən çox küləkli idi.
It's too late for apologies.	Üzr istəmək üçün artıq çox gecdir.
Jesus was born in Bethlehem.	İsa Betlehəmdə doğulub.
Let's listen to some Chopin.	Gəl biraz Şopenə qulaq asaq.
Many Americans blamed Spain.	Amerikanların çoxu İspaniyanı günahlandırdı.
Mary is sewing baby clothes.	Meri uşaq paltarı toxuyur.
Mother is making tea for us.	Ana bizim üçün çay hazırlayır.
Mushrooms are in season now.	İndi göbələk mövsümüdür.
My mother has four brothers.	Anamın dörd qardaşı var.
Neither of them are drivers.	Onların heç birisi sürücü deyil.
She greeted us with a smile.	O bizi təbəssümlə salamladı.
She said that she was happy.	O dedi ki, xoşbəxtdir.
Spain is a European country.	İspaniya Avropa ölkəsidir.
Take two of these red pills.	Bu qırmızı həblərdən ikisini götür.
The dog didn't eat the meat.	İt əti yemədi.
There is a cat on the chair.	Stulun üstündə pişik var.
There's a lot we don't know.	Bizim bilmədiyimiz çox şey var.
These oranges are very sour.	Bu portağallar çox turşdurlar.
They're going to torture us.	Onlar bizə işgəncə verəcəklər.
This hat is too big for you.	Bu şlyapa səninçün çox böyükdür.
This is a pocket dictionary.	Bu cib lüğətidir.
This room is cleaned by Tom.	Bu otağı Tom təmizləyib.
Tom can no longer live here.	Tom daha burada yaşaya bilməz.
Tom doesn't want Mary to go.	Tom Merinin getməyini istəmir.
Tom is a responsible driver.	Tom məsuliyyətli sürücüdür.
Tom is always late to class.	Tom həmişə dərsə gecikir.
Tom is an aggressive driver.	Tom aqressiv sürücüdür.
Tom is much better than you.	Tom səndən xeyli yaxşıdır.
Tom is swimming in the pool.	Tom hovuzda üzür.
Tom is used to living alone.	Tom tək yaşamağa öyrəşib.
Tom might understand French.	Tom Fransızca anlaya bilər.
Tom never talks about money.	Tom heç vaxt pul haqqında danışmır.
Tom prefers speaking French.	Tom fransızca danışmağa üstünlük verir.
Tom said that Mary was deaf.	Tom Mary'nin eşitmə qüsurlu olduğunu söylədi.
Tom vomited into the bucket.	Tom vedrənin içinə qusdu.
We have two television sets.	Bizim iki televizorumuz var.
We're not in touch with Tom.	Biz Tomla əlaqə saxlamırıq.
Where is the south terminal?	Cənub terminalı hardadır?
Which newspaper do you read?	Hansı qəzeti oxuyursan?
Who can tell the difference?	Kim fərqi deyə bilər?
Why did you leave Tom alone?	Tomu niyə tək qoydun?
Why didn't you go to Boston?	Niyə Bostona getmədiniz?
Why is this happening to us?	Bu niyə bizim başımıza gəlir?
You are as white as a sheet.	Sən kağız kimi ağappaqsan.
You need written permission.	Sizə yazılı icazə lazımdır.
You're forgetting something.	Sən nəyisə unudursan.
You're making a big mistake.	Siz böyük səhv edirsiniz.
A lot of people aren't happy.	Çox insanlar xoşbəxt deyil.
Autumn is my favorite season.	Payız mənim sevimli fəslimdir.
Does this book belong to you?	Bu kitab sizə məxsusdur?
Have you bought a watermelon?	Qarpız almısan?
He always keeps his promises.	O həmişə sözünün üstündə durur.
He can speak eight languages.	O səkkiz dildə danışa bilir.
He was late for the 7:30 bus.	O, 7:30 avtobusuna gecikmişdi.
He's aware of his own faults.	O öz səhvlərindən agahdır.
Her sister lives in Scotland.	Onun bacısı Şotlandiyada yaşayır.
Her son called from New York.	Onun oğlu Nyu-Yorkdan zəng vurdu.
His ambition knows no bounds.	Onun ambisiyası sərhəd tanımır.
I am working at the workshop.	Mən emalatxanada işləyirəm.
I can't take my eyes off her.	Mən gözümü ondan çəkə bilmirəm.
I didn't want this to happen.	Mən bunun baş verməsini istəmirdim.
I gazed at the sea for hours.	Mən saatlarla dənizi izlədim.
I just want to humiliate Tom.	Mən sadəcə Tomu alçaltmaq istəyirəm.
I know you don't know either.	Mən bilirəm ki, siz də bilmirsiniz.
I know you don't know either.	Mən bilirəm ki, sən də bilmirsən.
I thought everyone was happy.	Mən elə bilirdim ki, hamı xoşbətdir.
I wrote my name on the paper.	Mən adımı kağıza yazdım.
I'm going to work by bicycle.	Mən işə velosipedlə gedirəm.
I'm not your teacher anymore.	Mən daha sənin müəllimin deyiləm.
I'm not your teacher anymore.	Mən daha sizin müəlliminiz deyiləm.
I'm trying to save your life.	Mən sənin həyatını xilas etməyə çalışıram.
Idaho is famous for potatoes.	Aydaho kartofu ilə məşhurdur.
If that happens, let me know.	Əgər bu baş versə, mənə bildir.
Is it a very serious problem?	Bu çox ciddi problemdir?
Japan is smaller than Canada.	Yaponiya Kanadadan balacadır.
Men know nothing about women.	Kişilər qadınlar haqqında heç nə bilmirlər.
My father works at a factory.	Mənim atam fabrikdə işləyir.
Nixon was born in California.	Nikson Kaliforniyada doğulub.
None of my friends play golf.	Mənim dostlarımın heç biri qolf oynamır.
One language is never enough.	Bir dil heç vaxt kifayət deyil.
One of them was Tom's friend.	Onlardan biri Tomun dostu idi.
Please bring me a cup of tea.	Zəhmət olmasa, mənə bir fincan çay gətir.
She gave birth to a baby boy.	O, oğlan doğdu.
She was there in the morning.	O səhər burada idi.
Spain is a developed country.	İspaniya inkişaf etmiş ölkədir.
The child's nose is bleeding.	Uşağın burnu qanayır.
The child's nose is bleeding.	Uşağın burnundan qan gəlir.
The monkey climbed up a tree.	Meymun ağaca dırmaşdı.
The train is 30 minutes late.	Qatar 30 dəqiqə gecikir.
There are two thousand books.	İki min kitab var.
These cars are made in Japan.	Bu maşınlar Yaponiyada istehsal olunub.
This dictionary is expensive.	Bu lüğət bahalıdır.
This is my daughter's school.	Bu mənim qızımın məktəbidir.
This is the American Embassy.	Bu Amerika səfirliyidir.
This is the American Embassy.	Bu ABŞ səfirliyidir.
This tea is called green tea.	Bu çay yaşıl çay adlanır.
Tom and Mary are vegetarians.	Tom və Mary vegetariandırlar.
Tom found a four-leaf clover.	Tom dördyarpaqlı yonca tapdı.
Tom hasn't yet given up hope.	Tom hələ ümidini üzməyib.
Tom is an old friend of mine.	Tom mənim köhnə dostumdur.
Tom is proud of his students.	Tom tələbələri ilə fəxr edir.
Tom isn't drinking green tea.	Tom yaşıl çay içmir.
Tom shouldn't go there alone.	Tom oraya yalnız getməməlidir.
Tom will be back after lunch.	Tom qəlyanaltıdan sonra geri gələcək.
Tom will never see you again.	Tom bir də səni heç vaxt görməyəcək.
We weren't always optimistic.	Biz həmişə optimist olmamışıq.
What is the president's plan?	Prezidentin planı nədir?
Why are people scared of you?	Niyə adamlar səndən qorxurlar?
Why don't you just apologize?	Niyə sadəcə üzr istəmirsiniz?
Why is my dad in the kitchen?	Atam niyə mətbəxdədir?
You must answer the question.	Siz suala cavab verməlisiniz.
You remind me of your father.	Sən mənə atanı xatırladırsan.
You won't find anything here.	Siz burada heç nə tapmayacaqsınız.
Did anybody see what happened?	Kimsə nə baş verdiyini gördü?
Did you buy a washing machine?	Paltaryuyan maşın almısınız?
Do you like apples or oranges?	Alma xoşlayırsan ya portağal?
Don't eat before going to bed.	Yatmazdan əvvəl yemə!
Don't say anything to anybody.	Heç kimə heç nə demə!
Don't worry about your family.	Ailənə görə narahat olma.
Don't worry. I'll talk to Tom.	Narahat olma. Mən Tomla danışaram.
He bought me a new dictionary.	O mənə yeni lüğət aldı.
He has fallen in love with me.	O mənə aşiq oldu.
He leaves for school at seven.	O, saat yeddidə məktəbə gedir.
He painted a picture of a dog.	O it şəkli çəkdi.
He returned from the workshop.	O, emalatxanadan qayıtdı.
He was born in Athens in 1956.	O 1956-cı ildə Afinada doğulub.
How many moons does Mars have?	Marsın neçə peyki var?
I am singing with my children.	Mən uşaqlarımla birgə oxuyuram.
I came to Japan two years ago.	Mən Yaponiyaya iki il əvvəl gəlmişəm.
I didn't expect this from you.	Səndən bunu gözləmirdim.
I don't have time to help Tom.	Toma kömək etməyə vaxtım yoxdur.
I don't have to clean my room.	Mən otağımı təmizləməyə məcbur deyiləm.
I don't know anyone named Tom.	Mən Tom adlı heç kimi tanımıram.
I don't know how to thank you.	Bilmirəm sənə necə təşəkkür edim.
I hate this part of the movie.	Filmin bu hissəsindən zəhləm gedir.
I have an apartment in Boston.	Mənim Bostonda mənzilim var.
I haven't eaten breakfast yet.	Mən hələ qəlyanaltı etməmişəm.
I learned to live without her.	Mən onsuz yaşamağı öyrəndim.
I live about a mile from here.	Mən buradan təxminən bir mil uzaqlıqda yaşayıram.
I saw a house with a red roof.	Mən qırmızı damlı ev gördüm.
I went to the airport by taxi.	Mən hava limanına taksi ilə getdim.
I'd like to see the agreement.	Sazişi görmək istərdim.
I'm not going to school today.	Mən bugün məktəbə getmirəm.
I'm sure Tom doesn't hate you.	Əminəm ki, Tom sizə nifrət etmir.
I'm sure Tom doesn't hate you.	Əminəm ki, Tom sənə nifrət etmir.
Isn't there a pharmacy nearby?	Buralarda bir aptek yoxdurmu?
Japan is an industrial nation.	Yaponiya sənaye ölkəsidir.
Luxembourg is a small country.	Lüksemburq balaca ölkədir.
Mary is carrying a watermelon.	Meri qarpız daşıyır.
Oslo is the capital of Norway.	Oslo Norveçin paytaxtıdır.
Please wait five more minutes.	Xahiş edirəm, beş dəqiqə daha artıq gözləyəsiniz.
Relax, Tom. We're on vacation.	Rahat ol, Tom. Biz məzuniyyətdəyik.
She bought a book at the shop.	O, mağazada kitab aldı.
She has something in her hand.	Onun əlində nəisə var.
She is said to have been rich.	Deyirlər ki, o varlıdır.
She looked at him with hatred.	O ona nifrətlə baxdı.
She wants to dye her hair red.	O saçını qırmızıya boyamaq istəyir.
Tasmania belongs to Australia.	Tasmaniya Avstraliyaya aiddir.
That house is built of bricks.	O ev kərpicdən tikilib.
The war had lasted four years.	Müharibə dörd il çəkmişdi.
They became citizens of Japan.	Onlar Yaponiya vətəndaşı oldular.
They haven't contacted us yet.	Onlar hələ bizimlə əlaqə saxlamayıblar.
This box contains five apples.	Bu qutuda beş alma var.
This is a very difficult exam.	Bu çox çətin imtahandır.
This product is made in Italy.	Bu məhsul İtaliyada istehsal olunub.
Tom and Mary are the same age.	Tom və Meri eyni yaşdadırlar.
Tom drank a glass of red wine.	Tom bir qədəh qırmızı şərab içdi.
Tom is too poor to marry Mary.	Tom Meriylə evlənmək üçün çox kasıbdır.
Tom opened a can of tuna fish.	Tom tunes balığı konservi açdı.
Tom said that he liked Boston.	Tom Bostonu xoşladığını dedi.
Tom swallowed his chewing gum.	Tom saqqızını uddu.
Tom washed his face and hands.	Tom üzünü və əllərini yudu.
Watermelons are in season now.	İndi qarpız mövsümüdür.
We were so young at that time.	O vaxtlar biz çox cavan idik.
What kind of wine do you have?	Səndə hansı şərabdan var?
What kind of wine do you have?	Sizdə hansı şərabdan var?
What time does the game start?	Oyun nə vaxt başlayır?
When does the restaurant open?	Restoran nə vaxt açılır?
Women like men with mustaches.	Qadınların bığlı kişilərdən xoşu gəlir.
Would you give me your number?	Mənə öz nömrəni verə bilərsən?
A dead leaf fell to the ground.	Yerə quru bir yarpaq düşdü.
Beer bottles are made of glass.	Pivə butulkaları şüşədən hazırlanır.
Cranes are big beautiful birds.	Durnalar böyük gözəl quşlardır.
He's a member of the golf club.	O, qolf klubunun üzvüdür.
I don't enjoy talking with you.	Mən səninlə danışmaqdan zövq almıram.
I don't understand the problem.	Mən problemi başa düşmürəm.
I don't want to live by myself.	Mən tək yaşamaq istəmirəm.
I gave her her dictionary back.	Mən onun lüğətini ona geri qaytardım.
I have a black and a white dog.	Mən bir qara və bir ağ itim var.
I hope my dream will come true.	Ümid edirəm arzum həyata keçər.
I hope my dream will come true.	Ümid edirəm ki, arzum reallaşar.
I plan on going home by myself.	Evə tək getməyi planlayıram.
I think I really love you, Tom.	Məncə səni həqiqətən sevirəm, Tom.
It was a lovely autumn evening.	Xoş bir payız axşamı idi.
Italy invaded Ethiopia in 1935.	İtaliya 1935-ci ildə Efiopiyanı işğal etdi.
Japan's army was very powerful.	Yaponiyanın ordusu çox güclü idi.
Kyiv is the capital of Ukraine.	Kiyev Ukraynanın paytaxtıdır.
Madrid is the capital of Spain.	Madrid İspaniyanın paytaxtıdır.
My room is twice as big as his.	Mənim otağım onunkundan iki dəfə böyükdür.
Panda bears live only in China.	Pandalar ancaq Çində yaşayır.
Paris is the capital of France.	Paris Fransanın paytaxtıdır.
She is always dressed in black.	O həmişə qara geyinir.
She's two years older than you.	O səndən iki yaş böyükdür.
Some girls were playing tennis.	Bəzi qızlar tennis oynayırdılar.
Spanish is her native language.	İspan dili onun ana dilidir.
That has nothing to do with me.	Bunun mənə heç bir adiyyatı yoxdur.
That's complicating the matter.	Bu işi çətinləşdirir.
The capital of Ukraine is Kyiv.	Ukraynanın paytaxtı Kiyevdir.
The driver increased his speed.	Sürücü sürətini artırdı.
The letter was written by hand.	Məktub əllə yazılmışdı.
The news spread all over Japan.	Xəbər bütün Yaponiyaya yayıldı.
The squirrel ate the hazelnuts.	Dələ fındıqları yedi.
The talks will last three days.	Danışıqlar üç gün davam edəcək.
The water here is very shallow.	Burada su çox dayazdır.
Their plane will soon take off.	Onların təyyarəsi birazdan qalxacaq.
Their wedding will be tomorrow.	Onların toyu sabah olacaq.
These pants are too big for me.	Bu şalvar mənə çox böyükdür.
This dictionary has 12 volumes.	Bu lüğət 12 cildlikdir.
This time Tom and I are paying.	Bu dəfə Tom və mən oynayırıq.
Tom can't read without glasses.	Tom eynəksiz oxuya bilmir.
Tom doesn't like to eat onions.	Tom soğan yeməyi xoşlamır.
Tom is neither rich nor famous.	Tom nə varlıdır nə də məşhur.
Tom is probably a little tired.	Tom yəqin ki, biraz yorğundur.
Tom knows who broke the window.	Tom pəncərəni kimin sındırdığını bilir.
We learn a good deal at school.	Biz məktəbdə çox şey öyrənmişik.
What are you really doing here?	Doğrudan, sən burada neynəyirsən?
You would make a good diplomat.	Səndən yaxşı diplomat olardı.
You would make a good diplomat.	Sizdən yaxşı diplomat olardı.
Doesn't your job start tomorrow?	Sənin işin sabah başlamır?
He does not live there any more.	O, artıq orada yaşamır.
He likes swimming in the summer.	O, yayda üzməyi xoşlayır.
He's good at this sort of thing.	O belə şeylərdə yaxşıdır.
He's leaving for China tomorrow.	O sabah Çinə yola düşür.
How did you know I was Canadian?	Siz hardan bildiniz ki, mən kanadalıyam?
I am going to Spain in the fall.	Mən payızda İspaniyaya gedirəm.
I am thinking about my children.	Uşaqlarımı düşünürəm.
I can't breathe through my nose.	Burnumla nəfəs ala bilmirəm.
I don't want anything from them.	Mən onlardan heç nə istəmirəm.
I hope you'll give me something.	Ümüdvaram ki mənə nəsə verəcəksən.
I looked around, but saw nobody.	Mən ətrafa baxdım amma heç kimi görmədim.
I will buy a new car next month.	Mən gələn ay təzə maşın alacam.
I'd like us to be friends again.	İstərdim ki, yenidən dost olaq.
I've given Tom too many chances.	Mən Tom-a çox şans vermişəm.
Our supply of food is exhausted.	Bizim qida ehtiyatımız tükənib.
Poverty is the root of all evil.	Kasıblıq bütün pisliklərin köküdür.
She is two years older than you.	O səndən iki yaş böyükdür.
Soccer is very popular in Spain.	Futbol İspaniyada çox populyardır.
Some things are never forgotten.	Bəzi şeylər heç vaxt unudulmur.
Sri Lanka is a beautiful island.	Şri Lanka gözəl adadır.
That's not your problem anymore.	O daha sənin problemin deyil.
That's not your problem anymore.	O daha sizin probleminiz deyil.
The capital of Morocco is Rabat.	Mərakeşin paytaxtı Rabat şəhəridir.
The capital of Poland is Warsaw.	Polşanın paytaxt şəhəri Varşavadır.
The entire town was under water.	Bütün şəhər suyun altında idi.
The fire was on the first floor.	Yanğın birinci mərtəbədə idi.
